"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9","microRNA 10","microRNA 11"
"ARHGAP31","0.00161","0.155","0.177","5","hsa-miR-4730","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-4706","hsa-miR-6131","","","","","",""
"LRIT3","0.00155","0.155","0.0808","3","hsa-miR-1238-5p","hsa-miR-4481","hsa-miR-6088","","","","","","","",""
"ZNF516","0.00157","0.155","0.216","6","hsa-miR-575","hsa-miR-3180","hsa-miR-4481","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","","","","",""
"H2AFX","0.00176","0.165","0.180","5","hsa-miR-3180","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4706","hsa-miR-6131","","","","","",""
"INO80E","0.00191","0.169","0.0866","3","hsa-miR-128-1-5p","hsa-miR-6787-5p","hsa-miR-663a","","","","","","","",""
"RTN4R","0.00191","0.169","0.0866","3","hsa-miR-7110-5p","hsa-miR-6787-5p","hsa-miR-663a","","","","","","","",""
"CTDNEP1","0.00220","0.189","0.231","6","hsa-miR-1233-5p","hsa-miR-3184-5p","hsa-miR-125a-3p","hsa-miR-128-1-5p","hsa-miR-6787-5p","hsa-miR-663a","","","","",""
"SP110","0.00226","0.189","0.190","5","hsa-miR-6869-5p","hsa-miR-92a-2-5p","hsa-miR-1307-3p","hsa-miR-4732-5p","hsa-miR-6088","","","","","",""
"AKT1S1","0.00266","0.195","0.197","5","hsa-miR-4675","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","hsa-miR-6857-5p","","","","","",""
"ARL8A","0.00266","0.195","0.240","6","hsa-miR-7110-5p","hsa-miR-3184-5p","hsa-miR-1228-5p","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","","","","",""
"HIST1H2BL","0.00278","0.195","0.0981","3","hsa-miR-3940-5p","hsa-miR-1238-5p","hsa-miR-4481","","","","","","","",""
"NPW","0.00284","0.195","0.0433","2","hsa-miR-663a","hsa-miR-6787-5p","","","","","","","","",""
"PEX26","0.00279","0.195","0.342","9","hsa-miR-4419b","hsa-miR-92a-2-5p","hsa-miR-4675","hsa-miR-6869-5p","hsa-miR-1307-3p","hsa-miR-4481","hsa-miR-4706","hsa-miR-663a","hsa-miR-6787-5p","",""
"PIAS4","0.00249","0.195","0.147","4","hsa-miR-1307-3p","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-1203","","","","","","",""
"SETD1B","0.00240","0.195","0.305","8","hsa-miR-3940-5p","hsa-miR-1238-5p","hsa-miR-7110-5p","hsa-miR-4481","hsa-miR-1233-5p","hsa-miR-6746-5p","hsa-miR-8069","hsa-miR-92a-2-5p","","",""
"ZNF556","0.00281","0.195","0.280","7","hsa-miR-4532","hsa-miR-4734","hsa-miR-575","hsa-miR-8073","hsa-miR-6787-5p","hsa-miR-663a","hsa-miR-4419b","","","",""
"DYNAP","0.00330","0.217","0.104","3","hsa-miR-5572","hsa-miR-6857-5p","hsa-miR-575","","","","","","","",""
"SDF4","0.00330","0.217","0.104","3","hsa-miR-92a-2-5p","hsa-miR-6787-5p","hsa-miR-663a","","","","","","","",""
"GPRIN1","0.00387","0.239","0.110","3","hsa-miR-6784-5p","hsa-miR-4532","hsa-miR-3184-5p","","","","","","","",""
"HIST1H2BE","0.00387","0.239","0.110","3","hsa-miR-3940-5p","hsa-miR-1238-5p","hsa-miR-4481","","","","","","","",""
"HPCAL1","0.00377","0.239","0.164","4","hsa-miR-6746-5p","hsa-miR-6784-5p","hsa-miR-4532","hsa-miR-125a-3p","","","","","","",""
