Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11
RDH11,0.022222222222222254,0.595,0.803,0.987,2,hsa-miR-92a-2-5p,hsa-miR-6131,,,,,,,,,
FXR1,0.022222222222222254,0.412,0.773,0.701,2,hsa-miR-125a-3p,hsa-miR-4276,,,,,,,,,
FUT1,0.022222222222222254,0.208,0.773,0.424,2,hsa-miR-8069,hsa-miR-4648,,,,,,,,,
TMED4,0.022222222222222254,0.628,0.807,1.05,2,hsa-miR-92a-2-5p,hsa-miR-6857-5p,,,,,,,,,
RAB4A,0.022222222222222254,0.343,0.773,0.606,2,hsa-miR-4687-5p,hsa-miR-4419b,,,,,,,,,
ERGIC1,0.022222222222222254,0.472,0.778,0.788,2,hsa-miR-1307-3p,hsa-miR-4258,,,,,,,,,
RABAC1,0.022222222222222254,0.182,0.773,0.39,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
PACSIN1,0.022222222222222254,0.233,0.773,0.459,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
LYRM4,0.022222222222222254,0.466,0.775,0.779,2,hsa-miR-3180,hsa-miR-4787-5p,,,,,,,,,
RABGEF1,0.022222222222222254,0.305,0.773,0.554,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
RAC1,0.022222222222222254,0.369,0.773,0.641,2,hsa-miR-5572,hsa-miR-6857-5p,,,,,,,,,
FN3K,0.022222222222222254,0.324,0.773,0.58,2,hsa-miR-4787-5p,hsa-miR-92b-5p,,,,,,,,,
PACS1,0.022222222222222254,0.189,0.773,0.398,2,hsa-miR-6869-5p,hsa-miR-1307-3p,,,,,,,,,
FUT2,0.022222222222222254,0.189,0.773,0.398,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
FKBP8,0.022222222222222254,0.388,0.773,0.667,2,hsa-miR-6857-5p,hsa-miR-7110-5p,,,,,,,,,
GALNT6,0.022222222222222254,0.227,0.773,0.45,2,hsa-miR-6088,hsa-miR-6869-5p,,,,,,,,,
KCNJ6,0.022222222222222254,0.466,0.775,0.779,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
PAG1,0.022222222222222254,0.331,0.773,0.589,2,hsa-miR-125a-3p,hsa-miR-1343-3p,,,,,,,,,
TRAPPC10,0.022222222222222254,0.324,0.773,0.58,2,hsa-miR-1233-5p,hsa-miR-6805-5p,,,,,,,,,
FDXACB1,0.022222222222222254,0.182,0.773,0.39,2,hsa-miR-4419b,hsa-miR-6746-5p,,,,,,,,,
FAM83H,0.022222222222222254,0.201,0.773,0.416,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
TRAF6,0.022222222222222254,0.35,0.773,0.615,2,hsa-miR-6869-5p,hsa-miR-92a-2-5p,,,,,,,,,
MAP2K7,0.022222222222222254,0.466,0.775,0.779,2,hsa-miR-4732-5p,hsa-miR-6746-5p,,,,,,,,,
FBXO31,0.022222222222222254,0.17,0.773,0.372,2,hsa-miR-1343-3p,hsa-miR-8073,,,,,,,,,
FBXL2,0.022222222222222254,0.246,0.773,0.476,2,hsa-miR-125a-3p,hsa-miR-6131,,,,,,,,,
PHF7,0.022222222222222254,0.331,0.773,0.589,2,hsa-miR-5572,hsa-miR-4258,,,,,,,,,
VSTM4,0.022222222222222254,0.17,0.773,0.372,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
FBLIM1,0.022222222222222254,0.233,0.773,0.459,2,hsa-miR-6131,hsa-miR-125a-3p,,,,,,,,,
RBM27,0.022222222222222254,0.285,0.773,0.528,2,hsa-miR-6088,hsa-miR-125a-3p,,,,,,,,,
CABP4,0.022222222222222254,0.472,0.778,0.788,2,hsa-miR-1343-3p,hsa-miR-8073,,,,,,,,,
ZNF417,0.022222222222222254,0.776,0.844,1.39,2,hsa-miR-1307-3p,hsa-miR-4419b,,,,,,,,,
CHMP1B,0.022222222222222254,0.472,0.778,0.788,2,hsa-miR-1228-5p,hsa-miR-4419b,,,,,,,,,
DCTN6,0.022222222222222254,0.595,0.803,0.987,2,hsa-miR-6088,hsa-miR-4419b,,,,,,,,,
ERN1,0.022222222222222254,0.214,0.773,0.433,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
ZNF561,0.022222222222222254,0.176,0.773,0.381,2,hsa-miR-92a-2-5p,hsa-miR-1307-3p,,,,,,,,,
PGK1,0.022222222222222254,0.305,0.773,0.554,2,hsa-miR-1343-3p,hsa-miR-125a-3p,,,,,,,,,
CSTF2,0.022222222222222254,0.324,0.773,0.58,2,hsa-miR-5572,hsa-miR-92a-2-5p,,,,,,,,,
PDRG1,0.022222222222222254,0.272,0.773,0.511,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
CPSF7,0.022222222222222254,0.227,0.773,0.45,2,hsa-miR-6857-5p,hsa-miR-92a-2-5p,,,,,,,,,
HMGB1,0.022222222222222254,0.808,0.858,1.48,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
TIAL1,0.022222222222222254,0.628,0.807,1.05,2,hsa-miR-4675,hsa-miR-4419b,,,,,,,,,
CCDC6,0.022222222222222254,0.506,0.788,0.84,2,hsa-miR-5572,hsa-miR-7110-5p,,,,,,,,,
CRTAP,0.022222222222222254,0.324,0.773,0.58,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
C19orf47,0.022222222222222254,0.501,0.788,0.831,2,hsa-miR-4481,hsa-miR-6131,,,,,,,,,
BRMS1L,0.022222222222222254,0.506,0.788,0.84,2,hsa-miR-575,hsa-miR-4258,,,,,,,,,
PPP1R15B,0.022222222222222254,0.805,0.857,1.47,2,hsa-miR-4419b,hsa-miR-6746-5p,,,,,,,,,
BACE2,0.022222222222222254,0.506,0.788,0.84,2,hsa-miR-6131,hsa-miR-4730,,,,,,,,,
CRK,0.022222222222222254,0.799,0.854,1.45,2,hsa-miR-5572,hsa-miR-6857-5p,,,,,,,,,
MAP3K9,0.022222222222222254,0.637,0.81,1.06,2,hsa-miR-3184-5p,hsa-miR-6746-5p,,,,,,,,,
ANP32E,0.022222222222222254,0.506,0.788,0.84,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
RNF187,0.022222222222222254,0.425,0.773,0.719,2,hsa-miR-3184-5p,hsa-miR-6805-5p,,,,,,,,,
CYTH2,0.022222222222222254,0.22,0.773,0.442,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
DARS2,0.022222222222222254,0.412,0.773,0.701,2,hsa-miR-6869-5p,hsa-miR-4419b,,,,,,,,,
DBN1,0.022222222222222254,0.272,0.773,0.511,2,hsa-miR-4675,hsa-miR-575,,,,,,,,,
DBT,0.022222222222222254,0.418,0.773,0.71,2,hsa-miR-6088,hsa-miR-7110-5p,,,,,,,,,
TMEM67,0.022222222222222254,0.195,0.773,0.407,2,hsa-miR-4481,hsa-miR-8069,,,,,,,,,
SOX4,0.022222222222222254,0.799,0.854,1.45,2,hsa-miR-4276,hsa-miR-4687-5p,,,,,,,,,
RPF2,0.022222222222222254,0.425,0.773,0.719,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
RPL12,0.022222222222222254,0.195,0.773,0.407,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
RPL18A,0.022222222222222254,0.437,0.773,0.736,2,hsa-miR-5572,hsa-miR-6784-5p,,,,,,,,,
COMMD2,0.022222222222222254,0.182,0.773,0.39,2,hsa-miR-6088,hsa-miR-6869-5p,,,,,,,,,
CEP120,0.022222222222222254,0.311,0.773,0.563,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
RSBN1L,0.022222222222222254,0.375,0.773,0.649,2,hsa-miR-3180,hsa-miR-1307-3p,,,,,,,,,
CERS2,0.022222222222222254,0.362,0.773,0.632,2,hsa-miR-6857-5p,hsa-miR-4419b,,,,,,,,,
CES2,0.022222222222222254,0.305,0.773,0.554,2,hsa-miR-6805-5p,hsa-miR-6869-5p,,,,,,,,,
TMEM106B,0.022222222222222254,0.337,0.773,0.597,2,hsa-miR-4532,hsa-miR-4258,,,,,,,,,
GATAD1,0.022222222222222254,0.489,0.788,0.814,2,hsa-miR-6131,hsa-miR-125a-3p,,,,,,,,,
CHCHD5,0.022222222222222254,0.285,0.773,0.528,2,hsa-miR-125a-3p,hsa-miR-6131,,,,,,,,,
FPR1,0.022222222222222254,0.489,0.788,0.814,2,hsa-miR-1238-5p,hsa-miR-4481,,,,,,,,,
RRAGD,0.022222222222222254,0.272,0.773,0.511,2,hsa-miR-1343-3p,hsa-miR-8073,,,,,,,,,
RPP14,0.022222222222222254,0.406,0.773,0.693,2,hsa-miR-4419b,hsa-miR-6131,,,,,,,,,
CLASP1,0.022222222222222254,0.305,0.773,0.554,2,hsa-miR-7110-5p,hsa-miR-92a-2-5p,,,,,,,,,
CLDN4,0.022222222222222254,0.362,0.773,0.632,2,hsa-miR-4481,hsa-miR-4675,,,,,,,,,
DYNC1LI2,0.022222222222222254,0.489,0.788,0.814,2,hsa-miR-4419b,hsa-miR-6746-5p,,,,,,,,,
CLEC17A,0.022222222222222254,0.266,0.773,0.502,2,hsa-miR-4419b,hsa-miR-6088,,,,,,,,,
CTC1,0.022222222222222254,0.495,0.788,0.822,2,hsa-miR-4706,hsa-miR-6880-3p,,,,,,,,,
COL1A1,0.022222222222222254,0.506,0.788,0.84,2,hsa-miR-4675,hsa-miR-7110-5p,,,,,,,,,
CLU,0.022222222222222254,0.337,0.773,0.597,2,hsa-miR-1228-5p,hsa-miR-4706,,,,,,,,,
CALM3,0.022222222222222254,0.575,0.797,0.952,2,hsa-miR-3184-5p,hsa-miR-6088,,,,,,,,,
CNNM4,0.022222222222222254,0.388,0.773,0.667,2,hsa-miR-575,hsa-miR-1203,,,,,,,,,
DCAF8,0.022222222222222254,0.285,0.773,0.528,2,hsa-miR-4648,hsa-miR-1233-5p,,,,,,,,,
TRPV2,0.022222222222222254,0.575,0.797,0.952,2,hsa-miR-125a-3p,hsa-miR-4732-5p,,,,,,,,,
ERC1,0.022222222222222254,0.337,0.773,0.597,2,hsa-miR-6805-5p,hsa-miR-1307-3p,,,,,,,,,
PCP4L1,0.022222222222222254,0.246,0.773,0.476,2,hsa-miR-3184-5p,hsa-miR-6805-5p,,,,,,,,,
TNFRSF10A,0.022222222222222254,0.195,0.773,0.407,2,hsa-miR-1238-5p,hsa-miR-4481,,,,,,,,,
RFC2,0.022222222222222254,0.437,0.773,0.736,2,hsa-miR-4419b,hsa-miR-6869-5p,,,,,,,,,
EFTUD2,0.022222222222222254,0.176,0.773,0.381,2,hsa-miR-1233-5p,hsa-miR-4481,,,,,,,,,
EIF1,0.022222222222222254,0.227,0.773,0.45,2,hsa-miR-3184-5p,hsa-miR-6805-5p,,,,,,,,,
EIF1AD,0.022222222222222254,0.425,0.773,0.719,2,hsa-miR-3940-5p,hsa-miR-4419b,,,,,,,,,
PDE7A,0.022222222222222254,0.189,0.773,0.398,2,hsa-miR-125a-3p,hsa-miR-8073,,,,,,,,,
EIF4A3,0.022222222222222254,0.285,0.773,0.528,2,hsa-miR-1233-5p,hsa-miR-4419b,,,,,,,,,
EIF5A,0.022222222222222254,0.195,0.773,0.407,2,hsa-miR-1238-5p,hsa-miR-4481,,,,,,,,,
ELK1,0.022222222222222254,0.24,0.773,0.467,2,hsa-miR-125a-3p,hsa-miR-4675,,,,,,,,,
VGLL4,0.022222222222222254,0.285,0.773,0.528,2,hsa-miR-1233-5p,hsa-miR-4706,,,,,,,,,
KDELR1,0.022222222222222254,0.642,0.81,1.07,2,hsa-miR-128-1-5p,hsa-miR-8069,,,,,,,,,
ELMSAN1,0.022222222222222254,0.437,0.773,0.736,2,hsa-miR-4419b,hsa-miR-1228-5p,,,,,,,,,
RDH10,0.022222222222222254,0.406,0.773,0.693,2,hsa-miR-3940-5p,hsa-miR-575,,,,,,,,,
SYNJ2BP,0.022222222222222254,0.785,0.847,1.41,2,hsa-miR-125a-3p,hsa-miR-4419b,,,,,,,,,
SF3B3,0.022222222222222254,0.785,0.847,1.41,2,hsa-miR-8069,hsa-miR-3184-5p,,,,,,,,,
EMC3,0.022222222222222254,0.35,0.773,0.615,2,hsa-miR-1343-3p,hsa-miR-1307-3p,,,,,,,,,
EMP2,0.022222222222222254,0.431,0.773,0.727,2,hsa-miR-6131,hsa-miR-125a-3p,,,,,,,,,
RCOR1,0.022222222222222254,0.189,0.773,0.398,2,hsa-miR-6088,hsa-miR-8073,,,,,,,,,
EP300,0.022222222222222254,0.24,0.773,0.467,2,hsa-miR-1238-5p,hsa-miR-4481,,,,,,,,,
PCDHA6,0.022222222222222254,0.305,0.773,0.554,2,hsa-miR-4419b,hsa-miR-1307-3p,,,,,,,,,
E2F6,0.022222222222222254,0.412,0.773,0.701,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
DTWD2,0.022222222222222254,0.214,0.773,0.433,2,hsa-miR-8073,hsa-miR-4419b,,,,,,,,,
TXLNA,0.022222222222222254,0.478,0.779,0.796,2,hsa-miR-92a-2-5p,hsa-miR-7110-5p,,,,,,,,,
DRAXIN,0.022222222222222254,0.394,0.773,0.675,2,hsa-miR-5572,hsa-miR-6857-5p,,,,,,,,,
ZNF426,0.022222222222222254,0.672,0.811,1.13,2,hsa-miR-6131,hsa-miR-6088,,,,,,,,,
RIF1,0.022222222222222254,0.425,0.773,0.719,2,hsa-miR-92a-2-5p,hsa-miR-4419b,,,,,,,,,
PTPA,0.022222222222222254,0.484,0.786,0.805,2,hsa-miR-4675,hsa-miR-6805-5p,,,,,,,,,
CPM,0.022222222222222254,0.58,0.798,0.961,2,hsa-miR-4419b,hsa-miR-6746-5p,,,,,,,,,
DESI1,0.022222222222222254,0.279,0.773,0.519,2,hsa-miR-6802-5p,hsa-miR-1343-3p,,,,,,,,,
NUPL2,0.022222222222222254,0.58,0.798,0.961,2,hsa-miR-5572,hsa-miR-4532,,,,,,,,,
TMEM127,0.022222222222222254,0.58,0.798,0.961,2,hsa-miR-1203,hsa-miR-3184-5p,,,,,,,,,
DIAPH1,0.022222222222222254,0.305,0.773,0.554,2,hsa-miR-1233-5p,hsa-miR-92a-2-5p,,,,,,,,,
PDLIM5,0.022222222222222254,0.292,0.773,0.537,2,hsa-miR-4532,hsa-miR-5572,,,,,,,,,
PDLIM3,0.022222222222222254,0.17,0.773,0.372,2,hsa-miR-1307-3p,hsa-miR-6131,,,,,,,,,
DIS3L,0.022222222222222254,0.266,0.773,0.502,2,hsa-miR-1343-3p,hsa-miR-1307-3p,,,,,,,,,
ZC3HAV1L,0.022222222222222254,0.58,0.798,0.961,2,hsa-miR-4732-5p,hsa-miR-6088,,,,,,,,,
LCOR,0.022222222222222254,0.767,0.839,1.36,2,hsa-miR-5572,hsa-miR-6857-5p,,,,,,,,,
PDGFRA,0.022222222222222254,0.285,0.773,0.528,2,hsa-miR-6746-5p,hsa-miR-1233-5p,,,,,,,,,
RGS9BP,0.022222222222222254,0.311,0.773,0.563,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
TMEM81,0.022222222222222254,0.182,0.773,0.39,2,hsa-miR-92a-2-5p,hsa-miR-8069,,,,,,,,,
VMA21,0.022222222222222254,0.272,0.773,0.511,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
RFT1,0.022222222222222254,0.356,0.773,0.623,2,hsa-miR-1233-5p,hsa-miR-4419b,,,,,,,,,
DPM2,0.022222222222222254,0.4,0.773,0.684,2,hsa-miR-125a-3p,hsa-miR-6805-5p,,,,,,,,,
ZNF562,0.022222222222222254,0.58,0.798,0.961,2,hsa-miR-4732-5p,hsa-miR-4706,,,,,,,,,
MIER3,0.022222222222222254,0.46,0.775,0.77,2,hsa-miR-4481,hsa-miR-6088,,,,,,,,,
WASF2,0.022222222222222254,0.595,0.803,0.987,2,hsa-miR-3184-5p,hsa-miR-1307-3p,,,,,,,,,
ZBTB3,0.022222222222222254,0.388,0.773,0.667,2,hsa-miR-4734,hsa-miR-4532,,,,,,,,,
LAMC1,0.022222222222222254,0.375,0.773,0.649,2,hsa-miR-7110-5p,hsa-miR-4481,,,,,,,,,
PLEKHA1,0.022222222222222254,0.61,0.805,1.01,2,hsa-miR-6088,hsa-miR-4419b,,,,,,,,,
UFM1,0.022222222222222254,0.22,0.773,0.442,2,hsa-miR-1343-3p,hsa-miR-8073,,,,,,,,,
SBNO1,0.022222222222222254,0.73,0.825,1.26,2,hsa-miR-6131,hsa-miR-8073,,,,,,,,,
FAM151B,0.022222222222222254,0.443,0.774,0.745,2,hsa-miR-5572,hsa-miR-1343-3p,,,,,,,,,
ECE1,0.022222222222222254,0.443,0.774,0.745,2,hsa-miR-4481,hsa-miR-4787-5p,,,,,,,,,
E2F2,0.022222222222222254,0.443,0.774,0.745,2,hsa-miR-1343-3p,hsa-miR-6746-5p,,,,,,,,,
LGALS3BP,0.022222222222222254,0.292,0.773,0.537,2,hsa-miR-125a-3p,hsa-miR-6869-5p,,,,,,,,,
NDRG1,0.022222222222222254,0.406,0.773,0.693,2,hsa-miR-128-1-5p,hsa-miR-6805-5p,,,,,,,,,
ACACA,0.022222222222222254,0.443,0.774,0.745,2,hsa-miR-1343-3p,hsa-miR-92a-2-5p,,,,,,,,,
LIMS1,0.022222222222222254,0.311,0.773,0.563,2,hsa-miR-4532,hsa-miR-1307-3p,,,,,,,,,
ZSWIM1,0.022222222222222254,0.343,0.773,0.606,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
LIX1L,0.022222222222222254,0.311,0.773,0.563,2,hsa-miR-4419b,hsa-miR-575,,,,,,,,,
RAB32,0.022222222222222254,0.61,0.805,1.01,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
SGTB,0.022222222222222254,0.61,0.805,1.01,2,hsa-miR-6131,hsa-miR-125a-3p,,,,,,,,,
LMBR1L,0.022222222222222254,0.388,0.773,0.667,2,hsa-miR-6857-5p,hsa-miR-125a-3p,,,,,,,,,
LONRF2,0.022222222222222254,0.343,0.773,0.606,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
POLL,0.022222222222222254,0.418,0.773,0.71,2,hsa-miR-125a-3p,hsa-miR-3184-5p,,,,,,,,,
POLDIP2,0.022222222222222254,0.176,0.773,0.381,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
PLEKHM3,0.022222222222222254,0.343,0.773,0.606,2,hsa-miR-6088,hsa-miR-1307-3p,,,,,,,,,
FAM71F2,0.022222222222222254,0.726,0.825,1.26,2,hsa-miR-1307-3p,hsa-miR-6088,,,,,,,,,
NDUFB11,0.022222222222222254,0.208,0.773,0.424,2,hsa-miR-7110-5p,hsa-miR-92a-2-5p,,,,,,,,,
LACTB,0.022222222222222254,0.214,0.773,0.433,2,hsa-miR-125a-3p,hsa-miR-1343-3p,,,,,,,,,
TMEM189,0.022222222222222254,0.73,0.825,1.26,2,hsa-miR-92a-2-5p,hsa-miR-8069,,,,,,,,,
KIAA1328,0.022222222222222254,0.362,0.773,0.632,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
DYRK2,0.022222222222222254,0.614,0.805,1.02,2,hsa-miR-6869-5p,hsa-miR-92a-2-5p,,,,,,,,,
PPP1R16B,0.022222222222222254,0.279,0.773,0.519,2,hsa-miR-8069,hsa-miR-4648,,,,,,,,,
UBE2Z,0.022222222222222254,0.4,0.773,0.684,2,hsa-miR-1238-5p,hsa-miR-4481,,,,,,,,,
MYPN,0.022222222222222254,0.733,0.827,1.27,2,hsa-miR-8073,hsa-miR-6088,,,,,,,,,
PPM1D,0.022222222222222254,0.195,0.773,0.407,2,hsa-miR-4419b,hsa-miR-4687-5p,,,,,,,,,
UCK2,0.022222222222222254,0.24,0.773,0.467,2,hsa-miR-6802-5p,hsa-miR-6088,,,,,,,,,
KDSR,0.022222222222222254,0.233,0.773,0.459,2,hsa-miR-6869-5p,hsa-miR-1343-3p,,,,,,,,,
NLRP9,0.022222222222222254,0.356,0.773,0.623,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
KIAA0930,0.022222222222222254,0.298,0.773,0.545,2,hsa-miR-6802-5p,hsa-miR-6088,,,,,,,,,
POLR3F,0.022222222222222254,0.227,0.773,0.45,2,hsa-miR-8073,hsa-miR-1203,,,,,,,,,
TMEM189-UBE2V1,0.022222222222222254,0.726,0.825,1.26,2,hsa-miR-92a-2-5p,hsa-miR-8069,,,,,,,,,
URM1,0.022222222222222254,0.375,0.773,0.649,2,hsa-miR-3184-5p,hsa-miR-4419b,,,,,,,,,
NKRF,0.022222222222222254,0.272,0.773,0.511,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
PLCG2,0.022222222222222254,0.318,0.773,0.571,2,hsa-miR-6746-5p,hsa-miR-575,,,,,,,,,
ZER1,0.022222222222222254,0.176,0.773,0.381,2,hsa-miR-1233-5p,hsa-miR-92a-2-5p,,,,,,,,,
ZFP30,0.022222222222222254,0.356,0.773,0.623,2,hsa-miR-7110-5p,hsa-miR-4532,,,,,,,,,
ZFP36,0.022222222222222254,0.233,0.773,0.459,2,hsa-miR-4481,hsa-miR-92a-2-5p,,,,,,,,,
PGM2L1,0.022222222222222254,0.61,0.805,1.01,2,hsa-miR-1233-5p,hsa-miR-8073,,,,,,,,,
NECAB3,0.022222222222222254,0.356,0.773,0.623,2,hsa-miR-125a-3p,hsa-miR-4687-5p,,,,,,,,,
KPNA2,0.022222222222222254,0.425,0.773,0.719,2,hsa-miR-4276,hsa-miR-1203,,,,,,,,,
NARS,0.022222222222222254,0.375,0.773,0.649,2,hsa-miR-125a-3p,hsa-miR-6784-5p,,,,,,,,,
NANOS1,0.022222222222222254,0.246,0.773,0.476,2,hsa-miR-3180,hsa-miR-3184-5p,,,,,,,,,
LRP10,0.022222222222222254,0.324,0.773,0.58,2,hsa-miR-4419b,hsa-miR-4532,,,,,,,,,
PNPLA6,0.022222222222222254,0.337,0.773,0.597,2,hsa-miR-1233-5p,hsa-miR-7110-5p,,,,,,,,,
MBNL3,0.022222222222222254,0.324,0.773,0.58,2,hsa-miR-8069,hsa-miR-4783-3p,,,,,,,,,
HNRNPU,0.022222222222222254,0.619,0.807,1.03,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
ZNF681,0.022222222222222254,0.331,0.773,0.589,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
WIPF2,0.022222222222222254,0.61,0.805,1.01,2,hsa-miR-4276,hsa-miR-3184-5p,,,,,,,,,
MTA3,0.022222222222222254,0.388,0.773,0.667,2,hsa-miR-4687-5p,hsa-miR-6088,,,,,,,,,
MEAF6,0.022222222222222254,0.406,0.773,0.693,2,hsa-miR-5572,hsa-miR-575,,,,,,,,,
MELK,0.022222222222222254,0.369,0.773,0.641,2,hsa-miR-1307-3p,hsa-miR-125a-3p,,,,,,,,,
MRPS27,0.022222222222222254,0.298,0.773,0.545,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
ZNF641,0.022222222222222254,0.431,0.773,0.727,2,hsa-miR-125a-3p,hsa-miR-4419b,,,,,,,,,
ZNF639,0.022222222222222254,0.208,0.773,0.424,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
PNPLA3,0.022222222222222254,0.4,0.773,0.684,2,hsa-miR-1343-3p,hsa-miR-4687-5p,,,,,,,,,
POLD3,0.022222222222222254,0.285,0.773,0.528,2,hsa-miR-4481,hsa-miR-575,,,,,,,,,
MICA,0.022222222222222254,0.715,0.822,1.23,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
UMPS,0.022222222222222254,0.208,0.773,0.424,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
DHODH,0.022222222222222254,0.619,0.807,1.03,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
MINOS1,0.022222222222222254,0.375,0.773,0.649,2,hsa-miR-4419b,hsa-miR-6746-5p,,,,,,,,,
SP1,0.022222222222222254,0.715,0.822,1.23,2,hsa-miR-4276,hsa-miR-3184-5p,,,,,,,,,
ZNF607,0.022222222222222254,0.425,0.773,0.719,2,hsa-miR-6131,hsa-miR-6088,,,,,,,,,
MOB3A,0.022222222222222254,0.412,0.773,0.701,2,hsa-miR-4419b,hsa-miR-8069,,,,,,,,,
ZNF554,0.022222222222222254,0.437,0.773,0.736,2,hsa-miR-4532,hsa-miR-6131,,,,,,,,,
MARVELD2,0.022222222222222254,0.201,0.773,0.416,2,hsa-miR-4419b,hsa-miR-6746-5p,,,,,,,,,
ZNF43,0.022222222222222254,0.195,0.773,0.407,2,hsa-miR-125a-3p,hsa-miR-4419b,,,,,,,,,
ZNF8,0.022222222222222254,0.356,0.773,0.623,2,hsa-miR-92a-2-5p,hsa-miR-6131,,,,,,,,,
ZNF699,0.022222222222222254,0.356,0.773,0.623,2,hsa-miR-125a-3p,hsa-miR-4419b,,,,,,,,,
NAB2,0.022222222222222254,0.214,0.773,0.433,2,hsa-miR-6784-5p,hsa-miR-7110-5p,,,,,,,,,
ONECUT3,0.022222222222222254,0.712,0.822,1.22,2,hsa-miR-1233-5p,hsa-miR-92a-2-5p,,,,,,,,,
SHOC2,0.022222222222222254,0.818,0.864,1.52,2,hsa-miR-575,hsa-miR-4419b,,,,,,,,,
ZNF799,0.022222222222222254,0.343,0.773,0.606,2,hsa-miR-92a-2-5p,hsa-miR-7110-5p,,,,,,,,,
ZNF431,0.022222222222222254,0.712,0.822,1.22,2,hsa-miR-4732-5p,hsa-miR-1307-3p,,,,,,,,,
LY6G5B,0.022222222222222254,0.369,0.773,0.641,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
LYRM7,0.022222222222222254,0.437,0.773,0.736,2,hsa-miR-1343-3p,hsa-miR-6131,,,,,,,,,
PMPCA,0.022222222222222254,0.381,0.773,0.658,2,hsa-miR-4419b,hsa-miR-6131,,,,,,,,,
MYO5A,0.022222222222222254,0.35,0.773,0.615,2,hsa-miR-6131,hsa-miR-7110-5p,,,,,,,,,
PNMA2,0.022222222222222254,0.214,0.773,0.433,2,hsa-miR-1238-5p,hsa-miR-4481,,,,,,,,,
ZNF383,0.022222222222222254,0.337,0.773,0.597,2,hsa-miR-4732-5p,hsa-miR-6746-5p,,,,,,,,,
ZNF281,0.022222222222222254,0.431,0.773,0.727,2,hsa-miR-5572,hsa-miR-6857-5p,,,,,,,,,
UBE2V1,0.022222222222222254,0.723,0.825,1.25,2,hsa-miR-92a-2-5p,hsa-miR-8069,,,,,,,,,
UNC13A,0.022222222222222254,0.266,0.773,0.502,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
ZNF70,0.022222222222222254,0.719,0.823,1.24,2,hsa-miR-6131,hsa-miR-8073,,,,,,,,,
MYH11,0.022222222222222254,0.189,0.773,0.398,2,hsa-miR-128-1-5p,hsa-miR-4481,,,,,,,,,
MAPK8IP3,0.022222222222222254,0.233,0.773,0.459,2,hsa-miR-3180,hsa-miR-3184-5p,,,,,,,,,
ZNF695,0.022222222222222254,0.356,0.773,0.623,2,hsa-miR-1307-3p,hsa-miR-4419b,,,,,,,,,
MXRA7,0.022222222222222254,0.285,0.773,0.528,2,hsa-miR-6746-5p,hsa-miR-4419b,,,,,,,,,
MARK2,0.022222222222222254,0.331,0.773,0.589,2,hsa-miR-6857-5p,hsa-miR-6805-5p,,,,,,,,,
RAD51,0.022222222222222254,0.733,0.827,1.27,2,hsa-miR-575,hsa-miR-6746-5p,,,,,,,,,
