Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5
RNF40,0.06896551724137934,0.102,0.458,0.274,2,hsa-miR-6769b-5p,hsa-miR-4472,,,
RPL14,0.06896551724137934,0.093,0.458,0.26,2,hsa-miR-3178,hsa-miR-6769b-5p,,,
PYGO1,0.06896551724137934,0.044,0.458,0.17,2,hsa-miR-4472,hsa-miR-4647,,,
PKD1,0.06896551724137934,0.093,0.458,0.26,2,hsa-miR-4462,hsa-miR-548h-5p,,,
PTBP1,0.06896551724137934,0.113,0.458,0.291,2,hsa-miR-548h-5p,hsa-miR-6869-3p,,,
MTX3,0.06896551724137934,0.125,0.458,0.309,2,hsa-miR-4439,hsa-miR-6857-3p,,,
MEF2D,0.06896551724137934,0.181,0.458,0.39,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
MEX3A,0.06896551724137934,0.102,0.458,0.274,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
MRPS10,0.06896551724137934,0.2,0.458,0.416,2,hsa-miR-6895-3p,hsa-miR-937-5p,,,
MRPS23,0.06896551724137934,0.0792,0.458,0.237,2,hsa-miR-4647,hsa-miR-6895-3p,,,
MTDH,0.06896551724137934,0.0584,0.458,0.199,2,hsa-miR-139-3p,hsa-miR-937-5p,,,
MTHFD1,0.06896551724137934,0.123,0.458,0.306,2,hsa-miR-548h-5p,hsa-miR-139-3p,,,
MTHFD2,0.06896551724137934,0.152,0.458,0.349,2,hsa-miR-548h-5p,hsa-miR-4472,,,
MTPN,0.06896551724137934,0.0362,0.458,0.153,2,hsa-miR-4439,hsa-miR-6857-3p,,,
NUCB1,0.06896551724137934,0.093,0.458,0.26,2,hsa-miR-6769b-5p,hsa-miR-6857-3p,,,
PRRC2B,0.06896551724137934,0.196,0.458,0.41,2,hsa-miR-4472,hsa-miR-7846-3p,,,
PDE4D,0.06896551724137934,0.0362,0.458,0.153,2,hsa-miR-4439,hsa-miR-6857-3p,,,
PEG10,0.06896551724137934,0.188,0.458,0.398,2,hsa-miR-548h-5p,hsa-miR-4472,,,
PIGP,0.06896551724137934,0.0584,0.458,0.199,2,hsa-miR-4439,hsa-miR-6857-3p,,,
SETD1B,0.06896551724137934,0.194,0.458,0.407,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
PLA2G2C,0.06896551724137934,0.0413,0.458,0.164,2,hsa-miR-4472,hsa-miR-6895-3p,,,
PLEKHA3,0.06896551724137934,0.106,0.458,0.28,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
POLA2,0.06896551724137934,0.0468,0.458,0.176,2,hsa-miR-4439,hsa-miR-6857-3p,,,
PRPS1L1,0.06896551724137934,0.0234,0.458,0.121,2,hsa-miR-548h-5p,hsa-miR-3155b,,,
SERTAD2,0.06896551724137934,0.0454,0.458,0.173,2,hsa-miR-4439,hsa-miR-6857-3p,,,
TM9SF3,0.06896551724137934,0.119,0.458,0.3,2,hsa-miR-4472,hsa-miR-548h-5p,,,
SLC25A45,0.06896551724137934,0.0877,0.458,0.251,2,hsa-miR-4439,hsa-miR-6857-3p,,,
LDLR,0.06896551724137934,0.25,0.462,0.482,2,hsa-miR-3155b,hsa-miR-6895-3p,,,
ZNF585B,0.06896551724137934,0.0877,0.458,0.251,2,hsa-miR-139-3p,hsa-miR-4647,,,
ZNF787,0.06896551724137934,0.0214,0.458,0.115,2,hsa-miR-4749-5p,hsa-miR-6869-3p,,,
ZNF799,0.06896551724137934,0.0599,0.458,0.202,2,hsa-miR-4472,hsa-miR-3155b,,,
ZNF8,0.06896551724137934,0.063,0.458,0.208,2,hsa-miR-6769b-5p,hsa-miR-3155b,,,
PHAX,0.06896551724137934,0.213,0.458,0.433,2,hsa-miR-7846-3p,hsa-miR-6895-3p,,,
TSC22D2,0.06896551724137934,0.213,0.458,0.433,2,hsa-miR-4439,hsa-miR-6857-3p,,,
RBM23,0.06896551724137934,0.224,0.461,0.447,2,hsa-miR-4439,hsa-miR-6857-3p,,,
DCAF7,0.06896551724137934,0.266,0.462,0.502,2,hsa-miR-6769b-5p,hsa-miR-3155b,,,
HMGN2,0.06896551724137934,0.241,0.462,0.47,2,hsa-miR-548h-5p,hsa-miR-6895-3p,,,
SF3B3,0.06896551724137934,0.241,0.462,0.47,2,hsa-miR-6769b-5p,hsa-miR-4472,,,
ZNF525,0.06896551724137934,0.0278,0.458,0.133,2,hsa-miR-4439,hsa-miR-6857-3p,,,
YY1,0.06896551724137934,0.237,0.462,0.465,2,hsa-miR-3155b,hsa-miR-139-3p,,,
NUDT3,0.06896551724137934,0.292,0.466,0.537,2,hsa-miR-3155b,hsa-miR-6769b-5p,,,
YIPF4,0.06896551724137934,0.285,0.466,0.528,2,hsa-miR-6769b-5p,hsa-miR-3178,,,
PLAGL2,0.06896551724137934,0.299,0.468,0.545,2,hsa-miR-548h-5p,hsa-miR-3155b,,,
MKNK2,0.06896551724137934,0.312,0.471,0.563,2,hsa-miR-4749-5p,hsa-miR-6857-3p,,,
SKI,0.06896551724137934,0.345,0.482,0.606,2,hsa-miR-4462,hsa-miR-4439,,,
MIDN,0.06896551724137934,0.362,0.484,0.629,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
XIAP,0.06896551724137934,0.405,0.498,0.687,2,hsa-miR-548h-5p,hsa-miR-6895-3p,,,
SLC7A5,0.06896551724137934,0.468,0.528,0.773,2,hsa-miR-3155b,hsa-miR-4749-5p,,,
ZNF562,0.06896551724137934,0.132,0.458,0.32,2,hsa-miR-548h-5p,hsa-miR-4749-5p,,,
ZNF440,0.06896551724137934,0.0584,0.458,0.199,2,hsa-miR-4439,hsa-miR-6857-3p,,,
SMG1,0.06896551724137934,0.188,0.458,0.398,2,hsa-miR-548h-5p,hsa-miR-4647,,,
TMEM184B,0.06896551724137934,0.111,0.458,0.289,2,hsa-miR-4472,hsa-miR-4749-5p,,,
SMOC1,0.06896551724137934,0.0758,0.458,0.231,2,hsa-miR-4439,hsa-miR-6857-3p,,,
SPART,0.06896551724137934,0.0194,0.458,0.11,2,hsa-miR-937-5p,hsa-miR-6769b-5p,,,
SPRY4,0.06896551724137934,0.185,0.458,0.395,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
TCF3,0.06896551724137934,0.0267,0.458,0.13,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
TET3,0.06896551724137934,0.123,0.458,0.306,2,hsa-miR-4439,hsa-miR-6857-3p,,,
THSD4,0.06896551724137934,0.04,0.458,0.162,2,hsa-miR-4472,hsa-miR-4749-5p,,,
MACC1,0.06896551724137934,0.126,0.458,0.312,2,hsa-miR-937-5p,hsa-miR-6895-3p,,,
TMED4,0.06896551724137934,0.152,0.458,0.349,2,hsa-miR-6769b-5p,hsa-miR-6895-3p,,,
TMEM170A,0.06896551724137934,0.121,0.458,0.303,2,hsa-miR-139-3p,hsa-miR-6895-3p,,,
TRA2B,0.06896551724137934,0.0661,0.458,0.214,2,hsa-miR-548h-5p,hsa-miR-6895-3p,,,
ZNF347,0.06896551724137934,0.169,0.458,0.372,2,hsa-miR-3155b,hsa-miR-4647,,,
TRIM37,0.06896551724137934,0.0614,0.458,0.205,2,hsa-miR-937-5p,hsa-miR-548h-5p,,,
TXLNA,0.06896551724137934,0.0966,0.458,0.265,2,hsa-miR-937-5p,hsa-miR-4472,,,
ULBP3,0.06896551724137934,0.0725,0.458,0.225,2,hsa-miR-3178,hsa-miR-7846-3p,,,
ULK1,0.06896551724137934,0.0468,0.458,0.176,2,hsa-miR-6769b-5p,hsa-miR-6895-3p,,,
UNC5B,0.06896551724137934,0.0742,0.458,0.228,2,hsa-miR-6895-3p,hsa-miR-6769b-5p,,,
YARS,0.06896551724137934,0.0645,0.458,0.211,2,hsa-miR-4439,hsa-miR-6857-3p,,,
YPEL2,0.06896551724137934,0.0184,0.458,0.107,2,hsa-miR-4647,hsa-miR-937-5p,,,
ZBTB46,0.06896551724137934,0.125,0.458,0.309,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
ZNF106,0.06896551724137934,0.0693,0.458,0.219,2,hsa-miR-4439,hsa-miR-6857-3p,,,
MAP2K7,0.06896551724137934,0.093,0.458,0.26,2,hsa-miR-3155b,hsa-miR-3178,,,
KCTD15,0.06896551724137934,0.0742,0.458,0.228,2,hsa-miR-4439,hsa-miR-6857-3p,,,
LSM14A,0.06896551724137934,0.0525,0.458,0.188,2,hsa-miR-4439,hsa-miR-6857-3p,,,
ACOX1,0.06896551724137934,0.136,0.458,0.326,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
SH2D5,0.06896551724137934,0.0123,0.415,0.0866,2,hsa-miR-4439,hsa-miR-6857-3p,,,
TOMM5,0.06896551724137934,0.0123,0.415,0.0866,2,hsa-miR-4439,hsa-miR-6857-3p,,,
AP5M1,0.06896551724137934,0.0157,0.448,0.0981,2,hsa-miR-4439,hsa-miR-6857-3p,,,
BRD2,0.06896551724137934,0.0157,0.448,0.0981,2,hsa-miR-4439,hsa-miR-6857-3p,,,
SIX5,0.06896551724137934,0.0157,0.448,0.0981,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
TRPC4AP,0.06896551724137934,0.0148,0.448,0.0952,2,hsa-miR-4439,hsa-miR-6857-3p,,,
ZBTB47,0.06896551724137934,0.0157,0.448,0.0981,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
ABCC6,0.06896551724137934,0.0349,0.458,0.15,2,hsa-miR-4472,hsa-miR-6769b-5p,,,
ACACA,0.06896551724137934,0.086,0.458,0.248,2,hsa-miR-6857-3p,hsa-miR-6769b-5p,,,
ADM,0.06896551724137934,0.0709,0.458,0.222,2,hsa-miR-6769b-5p,hsa-miR-4462,,,
