Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KIAA0754,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,CCDC122,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,SSR3,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,IRAK3,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,2022-09-06 00:00:00,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,MBOAT1,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,BAZ2B,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,STIL,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,WDR1,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,ZNF490,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,MAST3,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,EPG5,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,MPIG6B,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,ATP6V0E1,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,CEP57L1,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,JUN,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,TMEM105,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,CSTF1,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,SRPX2,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,TRAF3,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,ZNF426,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,ZBTB8B,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,FXYD1,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,SLC12A5,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,CDH7,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,PTDSS2,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,CPLX1,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,VAV3,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,AMH,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,MDM4,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,NCOR2,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,DENND6B,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,BVES,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,AKIP1,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,NICN1,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,DNA2,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,C19orf35,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,ZNF107,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,C6orf25,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,ZKSCAN3,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,YES1,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,JUNB,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,SVIP,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,YIF1B,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,RPL24,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,PEAK3,1.0,1.3023255813953492,0.14,0.6473110470111415,0.89,1/1,3.45%,hsa-miR-3178
prerank,HIST1H2AH,0.851851851851852,1.2951565212979517,0.045454545454545456,0.7160015886777465,0.94,2/2,20.69%,hsa-miR-6869-3p;hsa-miR-139-3p
prerank,FOXC1,0.7692307692307692,1.2867786740762366,0.23404255319148937,0.8807998272401806,0.95,3/3,31.03%,hsa-miR-6857-3p;hsa-miR-139-3p;hsa-miR-4439
prerank,AKT1S1,0.8518518518518519,1.2794088948468192,0.2,0.9405979415308945,0.97,2/2,20.69%,hsa-miR-4749-5p;hsa-miR-139-3p
prerank,ZNF585B,0.8518518518518519,1.2663101888014396,0.16326530612244897,1.0,0.98,2/2,20.69%,hsa-miR-4647;hsa-miR-139-3p
prerank,ORAI2,0.7320045205987618,1.248538780748857,0.20512820512820512,1.0,0.98,2/3,20.69%,hsa-miR-3178;hsa-miR-139-3p
prerank,CHAC1,0.7791323192423718,1.24405688282388,0.24444444444444444,1.0,0.98,1/2,6.90%,hsa-miR-6857-3p
prerank,RYBP,0.8177040677135443,1.2343747351542982,0.1956521739130435,1.0,0.98,1/2,6.90%,hsa-miR-6857-3p
prerank,SKI,0.7407407407407407,1.23249789391871,0.2037037037037037,1.0,0.98,2/2,31.03%,hsa-miR-4462;hsa-miR-4439
prerank,MRNIP,0.7307692307692308,1.2123629535283968,0.225,1.0,0.98,3/3,34.48%,hsa-miR-6857-3p;hsa-miR-4439;hsa-miR-4472
prerank,ZNF701,0.7307692307692308,1.2123629535283968,0.225,1.0,0.98,3/3,34.48%,hsa-miR-6857-3p;hsa-miR-4439;hsa-miR-4472
prerank,ATP8B4,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,TDRKH,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,UNK,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,ZC3H11A,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,SLC38A2,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,SRRT,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,GPRC5A,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,STON2,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,FBRS,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,ITPRIPL2,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,NPY4R,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,KLHL38,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,RPL22,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,SLC2A14,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,SLC33A1,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,SLC6A6,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,RNF152,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,ARHGEF18,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,DNAAF2,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,STYK1,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,QSOX1,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,RANBP10,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,ZNF611,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,LMNB2,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,CKAP2L,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,RHEBP1,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,FKBP15,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,SCUBE3,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,PCNP,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,MICAL2,0.9642857142857143,1.1978704525288382,0.18,1.0,0.98,1/1,6.90%,hsa-miR-6857-3p
prerank,DDR2,0.6766223133605233,1.1788384034295303,0.3125,1.0,0.99,1/3,6.90%,hsa-miR-6857-3p
prerank,PANK1,0.6766223133605233,1.1788384034295303,0.3125,1.0,0.99,1/3,6.90%,hsa-miR-6857-3p
prerank,ARHGAP18,0.6766223133605233,1.1788384034295303,0.3125,1.0,0.99,1/3,6.90%,hsa-miR-6857-3p
prerank,RNF165,0.8037257117547139,1.1750772528602251,0.30612244897959184,1.0,0.99,1/2,6.90%,hsa-miR-6857-3p
prerank,SRPRB,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,CHST6,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,ARID5B,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,TRIM72,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,MAOB,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,TTLL7,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,FAHD1,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,TACO1,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,PPARA,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,TTC9C,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,IFNLR1,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,SLC25A36,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,SCOC,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,CAD,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,UBE2I,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,TMEM91,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,EIF1AX,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,RHD,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,KIAA1551,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,SLC24A4,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,H3F3C,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,TBC1D19,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,C19orf44,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,CCNK,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,GEMIN2,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,KCNH2,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,CS,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,SPRY1,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,GDI2,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,TRIM10,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,FICD,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,MNT,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,IL17RA,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,M6PR,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,ARHGAP15,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,MYC,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,CLEC2D,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,H3F3B,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,TNPO1,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,CEP350,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,CXCL8,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,SUZ12,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,KRTAP9-6,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,MLF2,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,GNG12,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,DOCK11,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,SSFA2,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,KIAA1614,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,CDK6,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,ZBTB33,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,NFKBIB,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,FBXL13,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,SCRN1,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,ZNF284,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,KMT2B,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,PDE7B,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,WEE1,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,RAB14,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
prerank,TRIB1,0.9285714285714286,1.1702127659574466,0.2545454545454545,0.997007819534402,0.99,1/1,10.34%,hsa-miR-4647
