"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6"
"ABCG8","0.0617","0.639","0.379","4","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-490-3p","hsa-miR-498","",""
"ABHD15","0.117","0.639","0.402","3","hsa-miR-4715-3p","hsa-miR-520b","hsa-miR-512-3p","","",""
"ABHD18","0.245","0.639","0.474","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"ABI2","0.351","0.639","0.699","3","hsa-miR-548ar-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"ABL2","0.329","0.639","0.586","2","hsa-miR-490-3p","hsa-miR-1208","","","",""
"ABLIM1","0.159","0.639","0.357","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"ACER2","0.139","0.639","0.329","2","hsa-miR-498","hsa-miR-27a-5p","","","",""
"ACOX1","0.362","0.639","0.630","2","hsa-miR-491-5p","hsa-miR-520b","","","",""
"ACTB","0.337","0.639","0.597","2","hsa-miR-548l","hsa-miR-506-3p","","","",""
"ADAM17","0.163","0.639","0.363","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"ADK","0.0570","0.639","0.195","2","hsa-miR-4680-5p","hsa-miR-498","","","",""
"ADORA2B","0.0355","0.639","0.151","2","hsa-miR-452-5p","hsa-miR-1208","","","",""
"AGMAT","0.195","0.639","0.407","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"AGO3","0.0478","0.639","0.406","5","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-516b-3p","hsa-miR-4680-5p","hsa-miR-4715-3p",""
"AKIRIN1","0.220","0.639","0.441","2","hsa-miR-568","hsa-miR-1207-3p","","","",""
"AKT1","0.183","0.639","0.391","2","hsa-miR-451a","hsa-miR-27a-5p","","","",""
"ANGPTL3","0.183","0.639","0.391","2","hsa-miR-548l","hsa-miR-498","","","",""
"ANKS4B","0.199","0.639","0.413","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"ANP32E","0.295","0.639","0.541","2","hsa-miR-506-3p","hsa-miR-548l","","","",""
"APEX2","0.0380","0.639","0.156","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"APH1A","0.0955","0.639","0.262","2","hsa-miR-520b","hsa-miR-491-5p","","","",""
"APOH","0.0787","0.639","0.234","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"ARHGAP1","0.220","0.639","0.441","2","hsa-miR-506-3p","hsa-miR-198","","","",""
"ARL10","0.0551","0.639","0.365","4","hsa-miR-548l","hsa-miR-5583-3p","hsa-miR-520b","hsa-miR-2276-3p","",""
"ARMT1","0.132","0.639","0.318","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"ARRB1","0.0660","0.639","0.212","2","hsa-miR-491-5p","hsa-miR-568","","","",""
"ARRB2","0.0629","0.639","0.206","2","hsa-miR-1302","hsa-miR-491-5p","","","",""
"ASB16","0.325","0.639","0.669","3","hsa-miR-498","hsa-miR-512-3p","hsa-miR-520b","","",""
"ATF7IP","0.110","0.639","0.391","3","hsa-miR-548l","hsa-miR-198","hsa-miR-4715-3p","","",""
"ATG9A","0.283","0.639","0.524","2","hsa-miR-1207-3p","hsa-miR-1302","","","",""
"ATP1B3","0.262","0.639","0.497","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"ATP2A2","0.124","0.639","0.307","2","hsa-miR-568","hsa-miR-548ar-3p","","","",""
"ATP5G3","0.0871","0.639","0.353","3","hsa-miR-452-5p","hsa-miR-548l","hsa-miR-5583-3p","","",""
"ATP6V1C1","0.0989","0.639","0.268","2","hsa-miR-520b","hsa-miR-4715-3p","","","",""
"ATXN1L","0.232","0.639","0.457","2","hsa-miR-491-5p","hsa-miR-4285","","","",""
"AVL9","0.349","0.639","0.614","2","hsa-miR-520b","hsa-miR-548ar-3p","","","",""
"B3GAT2","0.0165","0.639","0.100","2","hsa-miR-548l","hsa-miR-5583-3p","","","",""
"B3GNT2","0.0570","0.639","0.195","2","hsa-miR-568","hsa-miR-5583-3p","","","",""
"BACE2","0.0915","0.639","0.361","3","hsa-miR-1207-3p","hsa-miR-498","hsa-miR-198","","",""
"BAMBI","0.207","0.639","0.424","2","hsa-miR-1302","hsa-miR-1207-3p","","","",""
"BCAS4","0.278","0.639","0.519","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"BCL2L11","0.398","0.639","0.681","2","hsa-miR-5583-3p","hsa-miR-4424","","","",""
"BCL2L2","0.139","0.639","0.329","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"BHMT2","0.0371","0.639","0.249","3","hsa-miR-498","hsa-miR-512-3p","hsa-miR-520b","","",""
"BMI1","0.187","0.639","0.396","2","hsa-miR-580-5p","hsa-miR-452-5p","","","",""
"BMP8B","0.0541","0.639","0.190","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"BSCL2","0.0955","0.639","0.262","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"BTG1","0.257","0.639","0.491","2","hsa-miR-520b","hsa-miR-498","","","",""
"C11orf1","0.00643","0.639","0.130","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-498","","",""
"C12orf49","0.390","0.639","0.669","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"C12orf65","0.0660","0.639","0.212","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"C14orf119","0.0787","0.639","0.234","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"C15orf40","0.0204","0.639","0.268","4","hsa-miR-568","hsa-miR-4680-5p","hsa-miR-520b","hsa-miR-4715-3p","",""
"C17orf75","0.107","0.639","0.387","3","hsa-miR-490-3p","hsa-miR-512-3p","hsa-miR-520b","","",""
"C18orf32","0.283","0.639","0.524","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"C1orf50","0.291","0.639","0.536","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"C5orf51","0.382","0.639","0.658","2","hsa-miR-580-5p","hsa-miR-491-5p","","","",""
"C9orf3","0.136","0.639","0.324","2","hsa-miR-518b","hsa-miR-498","","","",""
"C9orf40","0.0629","0.639","0.206","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CAB39","0.110","0.639","0.285","2","hsa-miR-451a","hsa-miR-490-3p","","","",""
"CADM2","0.167","0.639","0.368","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CAPRIN2","0.147","0.639","0.340","2","hsa-miR-520b","hsa-miR-512-3p","","","",""
"CAPZA2","0.122","0.639","0.409","3","hsa-miR-498","hsa-miR-512-3p","hsa-miR-520b","","",""
"CARHSP1","0.110","0.639","0.285","2","hsa-miR-4680-5p","hsa-miR-516b-3p","","","",""
"CASTOR2","0.275","0.639","0.610","3","hsa-miR-580-5p","hsa-miR-4680-5p","hsa-miR-490-3p","","",""
"CAVIN1","0.220","0.639","0.441","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CCBE1","0.159","0.639","0.357","2","hsa-miR-1207-3p","hsa-miR-1208","","","",""
"CCDC125","0.128","0.639","0.312","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CCDC137","0.0955","0.639","0.262","2","hsa-miR-1208","hsa-miR-452-5p","","","",""
"CCDC198","0.0955","0.639","0.262","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CCDC30","0.102","0.639","0.273","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CCDC39","0.0242","0.639","0.123","2","hsa-miR-1208","hsa-miR-452-5p","","","",""
"CCDC6","0.0915","0.639","0.361","3","hsa-miR-580-5p","hsa-miR-512-3p","hsa-miR-520b","","",""
"CCL5","0.102","0.639","0.273","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CCND2","0.322","0.639","0.666","3","hsa-miR-520b","hsa-miR-1255a","hsa-miR-198","","",""
"CCNT1","0.295","0.639","0.541","2","hsa-miR-198","hsa-miR-5583-3p","","","",""
"CCS","0.220","0.639","0.441","2","hsa-miR-2276-3p","hsa-miR-512-3p","","","",""
"CD164","0.143","0.639","0.335","2","hsa-miR-548l","hsa-miR-1208","","","",""
"CD28","0.0920","0.639","0.257","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CDC14B","0.333","0.639","0.591","2","hsa-miR-490-3p","hsa-miR-2276-3p","","","",""
"CDIPT","0.0787","0.639","0.234","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CDK6","0.153","0.639","0.524","4","hsa-miR-452-5p","hsa-miR-506-3p","hsa-miR-498","hsa-miR-491-5p","",""
"CDKN2AIPNL","0.0560","0.639","0.294","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-490-3p","","",""
"CENPM","0.155","0.639","0.351","2","hsa-miR-498","hsa-miR-1207-3p","","","",""
"CEP104","0.366","0.639","0.636","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CEP120","0.163","0.639","0.363","2","hsa-miR-199b-5p","hsa-miR-548l","","","",""
"CEP72","0.0754","0.639","0.229","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CERS4","0.0915","0.639","0.361","3","hsa-miR-498","hsa-miR-512-3p","hsa-miR-490-3p","","",""
"CHAC1","0.142","0.639","0.439","3","hsa-miR-498","hsa-miR-491-5p","hsa-miR-1302","","",""
"CHCHD5","0.147","0.639","0.340","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CKS2","0.0691","0.639","0.218","2","hsa-miR-548ar-3p","hsa-miR-1255a","","","",""
"CLASP1","0.159","0.639","0.357","2","hsa-miR-490-3p","hsa-miR-452-5p","","","",""
"CLUAP1","0.291","0.639","0.536","2","hsa-miR-548ar-3p","hsa-miR-498","","","",""
"CMPK1","0.113","0.639","0.290","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CNBP","0.379","0.639","0.733","3","hsa-miR-5583-3p","hsa-miR-490-3p","hsa-miR-2276-3p","","",""
"CNKSR3","0.0658","0.639","0.388","4","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-2276-3p","hsa-miR-498","",""
"COX19","0.211","0.639","0.430","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CPS1","0.128","0.639","0.312","2","hsa-miR-1255a","hsa-miR-548l","","","",""
"CPT1A","0.236","0.639","0.463","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CRCP","0.166","0.639","0.541","4","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-2276-3p","hsa-miR-498","",""
"CREB1","0.337","0.639","0.597","2","hsa-miR-512-3p","hsa-miR-520b","","","",""
"CREBZF","0.236","0.639","0.463","2","hsa-miR-548l","hsa-miR-490-3p","","","",""
"CRISPLD2","0.282","0.639","0.617","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-2276-3p","","",""
"CRK","0.113","0.639","0.469","4","hsa-miR-580-5p","hsa-miR-520b","hsa-miR-548l","hsa-miR-1207-3p","",""
"CRY2","0.345","0.639","0.608","2","hsa-miR-1207-3p","hsa-miR-580-5p","","","",""
"CSNK1E","0.175","0.639","0.379","2","hsa-miR-498","hsa-miR-1207-3p","","","",""
"CSTF2","0.171","0.639","0.374","2","hsa-miR-498","hsa-miR-4285","","","",""
"CXCL8","0.0599","0.639","0.201","2","hsa-miR-520b","hsa-miR-1208","","","",""
"CXorf38","0.0330","0.639","0.238","3","hsa-miR-498","hsa-miR-512-3p","hsa-miR-520b","","",""
"CYB5A","0.00872","0.639","0.145","3","hsa-miR-27a-5p","hsa-miR-512-3p","hsa-miR-520b","","",""
"CYCS","0.194","0.639","0.510","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-498","","",""
"CYP1A1","0.0308","0.639","0.139","2","hsa-miR-4680-5p","hsa-miR-452-5p","","","",""
"CYP20A1","0.139","0.639","0.505","4","hsa-miR-490-3p","hsa-miR-548l","hsa-miR-2276-3p","hsa-miR-498","",""
"DAD1","0.0853","0.639","0.245","2","hsa-miR-520b","hsa-miR-4680-5p","","","",""
"DAZAP2","0.150","0.639","0.450","3","hsa-miR-512-3p","hsa-miR-520b","hsa-miR-491-5p","","",""
"DCAF16","0.139","0.639","0.329","2","hsa-miR-516b-3p","hsa-miR-1207-3p","","","",""
