"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6"
"ABCG8","0.0157","0.530","0.304","5","hsa-miR-512-3p","hsa-miR-4722-3p","hsa-miR-490-3p","hsa-miR-498","hsa-miR-6829-3p",""
"ABHD5","0.0182","0.530","0.190","3","hsa-miR-548l","hsa-miR-3973","hsa-miR-1254","","",""
"ACO1","0.0202","0.530","0.112","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"APEX1","0.0201","0.530","0.197","3","hsa-miR-27a-5p","hsa-miR-4483","hsa-miR-3973","","",""
"ARL10","0.0135","0.530","0.292","5","hsa-miR-3973","hsa-miR-548l","hsa-miR-5583-3p","hsa-miR-6829-3p","hsa-miR-4722-3p",""
"B3GAT2","0.0165","0.530","0.100","2","hsa-miR-548l","hsa-miR-5583-3p","","","",""
"BACE2","0.0212","0.530","0.271","4","hsa-miR-2277-3p","hsa-miR-1207-3p","hsa-miR-498","hsa-miR-4722-3p","",""
"BAIAP2L1","0.0183","0.530","0.106","2","hsa-miR-4722-3p","hsa-miR-6829-3p","","","",""
"BFAR","0.0131","0.530","0.0893","2","hsa-miR-4483","hsa-miR-4680-5p","","","",""
"BRSK2","0.0221","0.530","0.117","2","hsa-miR-8072","hsa-miR-4285","","","",""
"C1orf158","0.0183","0.530","0.106","2","hsa-miR-498","hsa-miR-6829-3p","","","",""
"C7orf33","0.0101","0.530","0.0781","2","hsa-miR-124-5p","hsa-miR-3973","","","",""
"CAV2","0.0221","0.530","0.117","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"CERS4","0.0212","0.530","0.271","4","hsa-miR-498","hsa-miR-4722-3p","hsa-miR-512-3p","hsa-miR-490-3p","",""
"CNDP1","0.0163","0.530","0.182","3","hsa-miR-498","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"CYP20A1","0.0129","0.530","0.337","6","hsa-miR-490-3p","hsa-miR-1254","hsa-miR-548l","hsa-miR-106a-3p","hsa-miR-3973","hsa-miR-498"
"DIO2","0.0221","0.530","0.117","2","hsa-miR-6829-3p","hsa-miR-3124-3p","","","",""
"E2F2","0.0141","0.530","0.240","4","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-6829-3p","hsa-miR-3140-5p","",""
"FKTN","0.0201","0.530","0.197","3","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-106a-3p","","",""
"GAS7","0.0165","0.530","0.100","2","hsa-miR-1255a","hsa-miR-3124-3p","","","",""
"GK5","0.0197","0.530","0.321","5","hsa-miR-196a-3p","hsa-miR-498","hsa-miR-1207-3p","hsa-miR-4722-3p","hsa-miR-512-3p",""
"GLYAT","0.0165","0.530","0.100","2","hsa-miR-498","hsa-miR-6829-3p","","","",""
"GPN1","0.0183","0.530","0.106","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"HIC2","0.0208","0.530","0.326","5","hsa-miR-4483","hsa-miR-8072","hsa-miR-2277-3p","hsa-miR-4680-5p","hsa-miR-1255a",""
"IDH2","0.0131","0.530","0.0893","2","hsa-miR-498","hsa-miR-6829-3p","","","",""
"IFT22","0.0183","0.530","0.106","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"KDELR1","0.0108","0.530","0.277","5","hsa-miR-106a-3p","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-3140-5p","hsa-miR-4802-3p",""
"KDSR","0.0201","0.530","0.197","3","hsa-miR-498","hsa-miR-4722-3p","hsa-miR-6829-3p","","",""
