"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6"
"BRMS1L","0.295","0.619","0.541","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"BUB1","0.171","0.619","0.374","2","hsa-miR-6717-5p","hsa-miR-106a-3p","","","",""
"C10orf76","0.216","0.619","0.435","2","hsa-miR-4483","hsa-miR-4680-5p","","","",""
"C11orf58","0.0920","0.619","0.257","2","hsa-miR-5583-3p","hsa-miR-4483","","","",""
"C11orf98","0.0853","0.619","0.245","2","hsa-miR-490-3p","hsa-miR-4722-3p","","","",""
"C14orf119","0.0787","0.619","0.234","2","hsa-miR-6829-3p","hsa-miR-512-3p","","","",""
"C15orf40","0.0893","0.619","0.357","3","hsa-miR-1254","hsa-miR-4680-5p","hsa-miR-4722-3p","","",""
"C16orf72","0.121","0.619","0.301","2","hsa-miR-498","hsa-miR-124-5p","","","",""
"C18orf32","0.283","0.619","0.524","2","hsa-miR-196a-3p","hsa-miR-512-3p","","","",""
"C1orf210","0.139","0.619","0.329","2","hsa-miR-3973","hsa-miR-3124-3p","","","",""
"C3orf62","0.0819","0.619","0.240","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"C6orf223","0.106","0.619","0.279","2","hsa-miR-2277-3p","hsa-miR-8072","","","",""
"C8orf37","0.121","0.619","0.301","2","hsa-miR-1255a","hsa-miR-6717-5p","","","",""
"C9orf3","0.136","0.619","0.324","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"CAB39","0.110","0.619","0.285","2","hsa-miR-451a","hsa-miR-490-3p","","","",""
"CABP4","0.0788","0.619","0.338","3","hsa-miR-106a-3p","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"CAMK4","0.0629","0.619","0.206","2","hsa-miR-196a-3p","hsa-miR-1255a","","","",""
"CARHSP1","0.110","0.619","0.285","2","hsa-miR-3973","hsa-miR-4680-5p","","","",""
"CASP16P","0.236","0.619","0.463","2","hsa-miR-512-3p","hsa-miR-196a-3p","","","",""
"CCDC77","0.220","0.619","0.441","2","hsa-miR-3973","hsa-miR-490-3p","","","",""
"CCNT1","0.295","0.619","0.541","2","hsa-miR-5583-3p","hsa-miR-4802-3p","","","",""
"CCR6","0.113","0.619","0.290","2","hsa-miR-106a-3p","hsa-miR-3124-3p","","","",""
"CD164","0.143","0.619","0.335","2","hsa-miR-548l","hsa-miR-1208","","","",""
"CDC14B","0.112","0.619","0.394","3","hsa-miR-490-3p","hsa-miR-1254","hsa-miR-4722-3p","","",""
"CDK19","0.143","0.619","0.335","2","hsa-miR-106a-3p","hsa-miR-490-3p","","","",""
"CDKL2","0.143","0.619","0.335","2","hsa-miR-3973","hsa-miR-548l","","","",""
"CDKN2AIPNL","0.220","0.619","0.441","2","hsa-miR-512-3p","hsa-miR-490-3p","","","",""
"CDT1","0.0989","0.619","0.268","2","hsa-miR-4722-3p","hsa-miR-6829-3p","","","",""
"CEP104","0.132","0.619","0.424","3","hsa-miR-196a-3p","hsa-miR-6829-3p","hsa-miR-512-3p","","",""
"CHST6","0.228","0.619","0.452","2","hsa-miR-3973","hsa-miR-548l","","","",""
"CLASP1","0.159","0.619","0.357","2","hsa-miR-8072","hsa-miR-490-3p","","","",""
"CLPB","0.0538","0.619","0.363","4","hsa-miR-3124-3p","hsa-miR-4483","hsa-miR-4722-3p","hsa-miR-498","",""
"CLUAP1","0.0893","0.619","0.357","3","hsa-miR-498","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"COL4A3BP","0.249","0.619","0.480","2","hsa-miR-490-3p","hsa-miR-4483","","","",""
"COMMD2","0.0886","0.619","0.251","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"CPM","0.124","0.619","0.413","3","hsa-miR-498","hsa-miR-4722-3p","hsa-miR-1254","","",""
"CPS1","0.128","0.619","0.312","2","hsa-miR-1255a","hsa-miR-548l","","","",""
"CRAMP1","0.143","0.619","0.335","2","hsa-miR-4483","hsa-miR-490-3p","","","",""
"CRCP","0.0601","0.619","0.433","5","hsa-miR-512-3p","hsa-miR-4483","hsa-miR-4722-3p","hsa-miR-196a-3p","hsa-miR-498",""
"CREBZF","0.236","0.619","0.463","2","hsa-miR-548l","hsa-miR-490-3p","","","",""
"CRISPLD2","0.110","0.619","0.463","4","hsa-miR-512-3p","hsa-miR-6829-3p","hsa-miR-4802-3p","hsa-miR-4722-3p","",""
"CTNNB1","0.0989","0.619","0.268","2","hsa-miR-548l","hsa-miR-3973","","","",""
"CTNS","0.0691","0.619","0.218","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"CXorf38","0.159","0.619","0.357","2","hsa-miR-498","hsa-miR-512-3p","","","",""
"CYB5A","0.0691","0.619","0.218","2","hsa-miR-27a-5p","hsa-miR-512-3p","","","",""
"CYB5D1","0.0629","0.619","0.206","2","hsa-miR-106a-3p","hsa-miR-4680-5p","","","",""
"CYCS","0.194","0.619","0.510","3","hsa-miR-512-3p","hsa-miR-498","hsa-miR-4722-3p","","",""
"CYR61","0.0513","0.619","0.184","2","hsa-miR-3973","hsa-miR-548l","","","",""
"DARS2","0.0596","0.619","0.301","3","hsa-miR-1254","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"DDX19B","0.107","0.619","0.387","3","hsa-miR-6829-3p","hsa-miR-196a-3p","hsa-miR-490-3p","","",""
"DDX52","0.136","0.619","0.324","2","hsa-miR-498","hsa-miR-196a-3p","","","",""
"DENND5B","0.262","0.619","0.497","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"DFFA","0.0893","0.619","0.357","3","hsa-miR-490-3p","hsa-miR-6829-3p","hsa-miR-498","","",""
"DHODH","0.145","0.619","0.443","3","hsa-miR-4722-3p","hsa-miR-3124-3p","hsa-miR-3140-5p","","",""
"DICER1","0.203","0.619","0.418","2","hsa-miR-106a-3p","hsa-miR-498","","","",""
"DNAJC10","0.173","0.619","0.550","4","hsa-miR-512-3p","hsa-miR-6717-5p","hsa-miR-106a-3p","hsa-miR-4680-5p","",""
"DNAJC24","0.0599","0.619","0.201","2","hsa-miR-1255a","hsa-miR-490-3p","","","",""
"DNAL1","0.291","0.619","0.629","3","hsa-miR-4722-3p","hsa-miR-512-3p","hsa-miR-5583-3p","","",""
"DPP9","0.106","0.619","0.279","2","hsa-miR-4722-3p","hsa-miR-512-3p","","","",""
"DSN1","0.212","0.619","0.532","3","hsa-miR-4483","hsa-miR-498","hsa-miR-4722-3p","","",""
"DSTYK","0.0658","0.619","0.388","4","hsa-miR-1254","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-106a-3p","",""
"DTWD2","0.106","0.619","0.279","2","hsa-miR-498","hsa-miR-6829-3p","","","",""
"EFCAB11","0.203","0.619","0.418","2","hsa-miR-512-3p","hsa-miR-1208","","","",""
"EFNA5","0.139","0.619","0.329","2","hsa-miR-548l","hsa-miR-6829-3p","","","",""
"EIF5A","0.0955","0.619","0.262","2","hsa-miR-1255a","hsa-miR-196a-3p","","","",""
"ELAVL2","0.167","0.619","0.368","2","hsa-miR-3973","hsa-miR-548l","","","",""
"ELOC","0.117","0.619","0.296","2","hsa-miR-512-3p","hsa-miR-4722-3p","","","",""
"EMC1","0.187","0.619","0.396","2","hsa-miR-512-3p","hsa-miR-196a-3p","","","",""
"EMP2","0.241","0.619","0.469","2","hsa-miR-4680-5p","hsa-miR-4802-3p","","","",""
"ENTHD1","0.171","0.619","0.374","2","hsa-miR-3140-5p","hsa-miR-3973","","","",""
"EPHA4","0.0477","0.619","0.275","3","hsa-miR-1255a","hsa-miR-498","hsa-miR-3124-3p","","",""
"ERBB2","0.195","0.619","0.407","2","hsa-miR-498","hsa-miR-1254","","","",""
"ERCC6L2","0.113","0.619","0.290","2","hsa-miR-4722-3p","hsa-miR-6829-3p","","","",""
"ERN1","0.106","0.619","0.279","2","hsa-miR-490-3p","hsa-miR-4680-5p","","","",""
"ESF1","0.124","0.619","0.307","2","hsa-miR-1208","hsa-miR-490-3p","","","",""
"ETV3","0.287","0.619","0.530","2","hsa-miR-548l","hsa-miR-4722-3p","","","",""
"F2RL2","0.151","0.619","0.346","2","hsa-miR-196a-3p","hsa-miR-106a-3p","","","",""
"F2RL3","0.183","0.619","0.391","2","hsa-miR-512-3p","hsa-miR-498","","","",""
"FAM118A","0.199","0.619","0.413","2","hsa-miR-498","hsa-miR-4722-3p","","","",""
"FAM136A","0.0722","0.619","0.223","2","hsa-miR-4722-3p","hsa-miR-490-3p","","","",""
"FAM151B","0.0689","0.619","0.320","3","hsa-miR-498","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"FAM153B","0.0570","0.619","0.195","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"FAM160B1","0.167","0.619","0.368","2","hsa-miR-512-3p","hsa-miR-1207-3p","","","",""
"FAM227A","0.0886","0.619","0.251","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"FAM229B","0.195","0.619","0.407","2","hsa-miR-498","hsa-miR-6829-3p","","","",""
"FAM89A","0.132","0.619","0.318","2","hsa-miR-512-3p","hsa-miR-124-5p","","","",""
"FBXO47","0.0477","0.619","0.275","3","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-196a-3p","","",""
"FEM1A","0.249","0.619","0.639","4","hsa-miR-8072","hsa-miR-3973","hsa-miR-6829-3p","hsa-miR-4722-3p","",""
"FEM1C","0.127","0.619","0.417","3","hsa-miR-512-3p","hsa-miR-548l","hsa-miR-3140-5p","","",""
"FIBCD1","0.102","0.619","0.273","2","hsa-miR-6717-5p","hsa-miR-4285","","","",""
"FITM2","0.0722","0.619","0.223","2","hsa-miR-498","hsa-miR-6829-3p","","","",""
"FOSL1","0.257","0.619","0.491","2","hsa-miR-1207-3p","hsa-miR-4483","","","",""
"FOXO3","0.159","0.619","0.357","2","hsa-miR-498","hsa-miR-4722-3p","","","",""
"FOXP4","0.132","0.619","0.318","2","hsa-miR-1255a","hsa-miR-490-3p","","","",""
"FOXQ1","0.0787","0.619","0.234","2","hsa-miR-3973","hsa-miR-124-5p","","","",""
"FPR1","0.0850","0.619","0.350","3","hsa-miR-2277-3p","hsa-miR-498","hsa-miR-4722-3p","","",""
"FRMD8","0.0485","0.619","0.179","2","hsa-miR-1254","hsa-miR-4722-3p","","","",""
"G3BP1","0.266","0.619","0.599","3","hsa-miR-3973","hsa-miR-4722-3p","hsa-miR-4802-3p","","",""
"GABPB1","0.269","0.619","0.603","3","hsa-miR-512-3p","hsa-miR-4680-5p","hsa-miR-3973","","",""
"GABRB1","0.187","0.619","0.396","2","hsa-miR-1208","hsa-miR-3140-5p","","","",""
"GALNT10","0.159","0.619","0.357","2","hsa-miR-498","hsa-miR-6829-3p","","","",""
"GATAD1","0.0850","0.619","0.350","3","hsa-miR-4680-5p","hsa-miR-3140-5p","hsa-miR-512-3p","","",""
"GJC1","0.102","0.619","0.273","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"GJD3","0.0551","0.619","0.365","4","hsa-miR-498","hsa-miR-4722-3p","hsa-miR-6829-3p","hsa-miR-512-3p","",""
"GMEB1","0.228","0.619","0.452","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"GMPR","0.0819","0.619","0.240","2","hsa-miR-196a-3p","hsa-miR-4722-3p","","","",""
"GNB5","0.106","0.619","0.279","2","hsa-miR-4722-3p","hsa-miR-512-3p","","","",""
"GNG12","0.132","0.619","0.318","2","hsa-miR-3973","hsa-miR-548l","","","",""
"GOLGA8A","0.0787","0.619","0.234","2","hsa-miR-3973","hsa-miR-548l","","","",""
"GPN2","0.0599","0.619","0.201","2","hsa-miR-4722-3p","hsa-miR-498","","","",""
"GPR137C","0.295","0.619","0.541","2","hsa-miR-1255a","hsa-miR-4802-3p","","","",""
"GPR155","0.0850","0.619","0.350","3","hsa-miR-512-3p","hsa-miR-498","hsa-miR-6829-3p","","",""
"GPR75","0.257","0.619","0.491","2","hsa-miR-196a-3p","hsa-miR-106a-3p","","","",""
"GPRIN3","0.220","0.619","0.441","2","hsa-miR-1207-3p","hsa-miR-512-3p","","","",""
"GRB2","0.291","0.619","0.536","2","hsa-miR-1255a","hsa-miR-6829-3p","","","",""
"GRK3","0.183","0.619","0.391","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"GRK4","0.0886","0.619","0.251","2","hsa-miR-4722-3p","hsa-miR-4802-3p","","","",""
"GTF2H5","0.0632","0.619","0.309","3","hsa-miR-548l","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"HARBI1","0.0485","0.619","0.179","2","hsa-miR-4680-5p","hsa-miR-490-3p","","","",""
"HERPUD1","0.110","0.619","0.285","2","hsa-miR-4680-5p","hsa-miR-196a-3p","","","",""
"HES2","0.0920","0.619","0.257","2","hsa-miR-490-3p","hsa-miR-4680-5p","","","",""
"HIP1","0.199","0.619","0.413","2","hsa-miR-6829-3p","hsa-miR-512-3p","","","",""
"HIST1H1E","0.0819","0.619","0.240","2","hsa-miR-4483","hsa-miR-27a-5p","","","",""
"HM13","0.143","0.619","0.335","2","hsa-miR-1254","hsa-miR-4722-3p","","","",""
"HMGB1","0.119","0.619","0.477","4","hsa-miR-512-3p","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-106a-3p","",""
"HNRNPA1L2","0.232","0.619","0.457","2","hsa-miR-4722-3p","hsa-miR-490-3p","","","",""
"HPSE","0.155","0.619","0.351","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"HS3ST1","0.150","0.619","0.450","3","hsa-miR-4680-5p","hsa-miR-4722-3p","hsa-miR-512-3p","","",""
"HSPA4L","0.206","0.619","0.524","3","hsa-miR-1208","hsa-miR-512-3p","hsa-miR-4680-5p","","",""
"HSPE1-MOB4","0.0689","0.619","0.320","3","hsa-miR-512-3p","hsa-miR-498","hsa-miR-4722-3p","","",""
"ICA1L","0.241","0.619","0.469","2","hsa-miR-512-3p","hsa-miR-4722-3p","","","",""
"IDE","0.106","0.619","0.279","2","hsa-miR-4680-5p","hsa-miR-1254","","","",""
"IFNLR1","0.236","0.619","0.562","3","hsa-miR-1255a","hsa-miR-106a-3p","hsa-miR-1254","","",""
"IGFBP5","0.215","0.619","0.536","3","hsa-miR-548l","hsa-miR-106a-3p","hsa-miR-3124-3p","","",""
"IKZF3","0.0590","0.619","0.374","4","hsa-miR-196a-3p","hsa-miR-498","hsa-miR-6829-3p","hsa-miR-4722-3p","",""
"IL17REL","0.0920","0.619","0.257","2","hsa-miR-1254","hsa-miR-1207-3p","","","",""
"IL6R","0.283","0.619","0.524","2","hsa-miR-451a","hsa-miR-4722-3p","","","",""
"IL6ST","0.291","0.619","0.536","2","hsa-miR-512-3p","hsa-miR-548l","","","",""
"IMP4","0.0747","0.619","0.331","3","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-498","","",""
"INO80","0.0570","0.619","0.195","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"IRAK4","0.216","0.619","0.435","2","hsa-miR-490-3p","hsa-miR-512-3p","","","",""
"ISG20L2","0.121","0.619","0.301","2","hsa-miR-1254","hsa-miR-4722-3p","","","",""
"ITPRIPL2","0.262","0.619","0.497","2","hsa-miR-4680-5p","hsa-miR-196a-3p","","","",""
"IVD","0.0722","0.619","0.223","2","hsa-miR-1208","hsa-miR-4680-5p","","","",""
"IYD","0.110","0.619","0.285","2","hsa-miR-1208","hsa-miR-4680-5p","","","",""
"KAT7","0.179","0.619","0.385","2","hsa-miR-106a-3p","hsa-miR-1255a","","","",""
"KCNK6","0.139","0.619","0.435","3","hsa-miR-1254","hsa-miR-498","hsa-miR-512-3p","","",""
"KCNMB1","0.0767","0.619","0.335","3","hsa-miR-512-3p","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"KIF6","0.241","0.619","0.469","2","hsa-miR-1254","hsa-miR-512-3p","","","",""
"KLF8","0.124","0.619","0.307","2","hsa-miR-4680-5p","hsa-miR-498","","","",""
"KLHL11","0.0747","0.619","0.331","3","hsa-miR-3973","hsa-miR-6829-3p","hsa-miR-196a-3p","","",""
"KLHL36","0.0614","0.619","0.305","3","hsa-miR-4483","hsa-miR-4722-3p","hsa-miR-498","","",""
"KLRD1","0.143","0.619","0.335","2","hsa-miR-5583-3p","hsa-miR-106a-3p","","","",""
"KPNA6","0.137","0.619","0.431","3","hsa-miR-3124-3p","hsa-miR-4722-3p","hsa-miR-4281","","",""
"LCOR","0.0938","0.619","0.438","4","hsa-miR-124-5p","hsa-miR-3973","hsa-miR-1255a","hsa-miR-3124-3p","",""
"LGSN","0.270","0.619","0.508","2","hsa-miR-4722-3p","hsa-miR-512-3p","","","",""
"LIAS","0.124","0.619","0.307","2","hsa-miR-6829-3p","hsa-miR-512-3p","","","",""
"LILRA2","0.236","0.619","0.463","2","hsa-miR-490-3p","hsa-miR-106a-3p","","","",""
"LIMD1","0.249","0.619","0.480","2","hsa-miR-196a-3p","hsa-miR-1254","","","",""
"LIPA","0.183","0.619","0.391","2","hsa-miR-548l","hsa-miR-3973","","","",""
"LNPEP","0.245","0.619","0.474","2","hsa-miR-512-3p","hsa-miR-3124-3p","","","",""
"LPAR2","0.124","0.619","0.307","2","hsa-miR-3973","hsa-miR-490-3p","","","",""
"LRTOMT","0.139","0.619","0.329","2","hsa-miR-1207-3p","hsa-miR-4483","","","",""
"LSAMP","0.203","0.619","0.418","2","hsa-miR-3124-3p","hsa-miR-4722-3p","","","",""
"LYRM2","0.159","0.619","0.357","2","hsa-miR-6829-3p","hsa-miR-548l","","","",""
"MACC1","0.117","0.619","0.402","3","hsa-miR-4680-5p","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"MAN2B2","0.102","0.619","0.273","2","hsa-miR-512-3p","hsa-miR-4680-5p","","","",""
"MAP3K9","0.155","0.619","0.457","3","hsa-miR-490-3p","hsa-miR-6829-3p","hsa-miR-3124-3p","","",""
"MAPK1","0.143","0.619","0.510","4","hsa-miR-498","hsa-miR-6829-3p","hsa-miR-1255a","hsa-miR-451a","",""
"MAPK14","0.257","0.619","0.491","2","hsa-miR-1208","hsa-miR-4680-5p","","","",""
"MAPK8IP3","0.117","0.619","0.296","2","hsa-miR-8072","hsa-miR-1254","","","",""
"MARCKS","0.0754","0.619","0.229","2","hsa-miR-548l","hsa-miR-3973","","","",""
"MASTL","0.179","0.619","0.385","2","hsa-miR-512-3p","hsa-miR-106a-3p","","","",""
"MCM8","0.224","0.619","0.446","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"MED18","0.159","0.619","0.357","2","hsa-miR-512-3p","hsa-miR-106a-3p","","","",""
"MED28","0.186","0.619","0.566","4","hsa-miR-1254","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-498","",""
"MEF2D","0.189","0.619","0.502","3","hsa-miR-1255a","hsa-miR-4722-3p","hsa-miR-1254","","",""
"METTL14","0.236","0.619","0.463","2","hsa-miR-4483","hsa-miR-6829-3p","","","",""
"METTL2B","0.0493","0.619","0.279","3","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-6829-3p","","",""
"MEX3A","0.287","0.619","0.530","2","hsa-miR-498","hsa-miR-6829-3p","","","",""
"MFN1","0.0629","0.619","0.206","2","hsa-miR-6829-3p","hsa-miR-512-3p","","","",""
"MFSD14B","0.0955","0.619","0.262","2","hsa-miR-1255a","hsa-miR-4802-3p","","","",""
"MIGA1","0.110","0.619","0.285","2","hsa-miR-498","hsa-miR-4722-3p","","","",""
"MKLN1","0.0915","0.619","0.361","3","hsa-miR-548l","hsa-miR-106a-3p","hsa-miR-5583-3p","","",""
"MLEC","0.257","0.619","0.491","2","hsa-miR-4680-5p","hsa-miR-4281","","","",""
"MLLT1","0.285","0.619","0.621","3","hsa-miR-4680-5p","hsa-miR-1207-3p","hsa-miR-512-3p","","",""
"MOB4","0.0727","0.619","0.327","3","hsa-miR-512-3p","hsa-miR-498","hsa-miR-4722-3p","","",""
"MOG","0.0599","0.619","0.201","2","hsa-miR-498","hsa-miR-6829-3p","","","",""
"MPPE1","0.0632","0.619","0.309","3","hsa-miR-4722-3p","hsa-miR-1207-3p","hsa-miR-512-3p","","",""
"MRNIP","0.158","0.619","0.461","3","hsa-miR-4722-3p","hsa-miR-490-3p","hsa-miR-498","","",""
"MRPL17","0.228","0.619","0.452","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"MRPS10","0.0731","0.619","0.402","4","hsa-miR-196a-3p","hsa-miR-106a-3p","hsa-miR-490-3p","hsa-miR-512-3p","",""
"MTMR3","0.147","0.619","0.340","2","hsa-miR-490-3p","hsa-miR-196a-3p","","","",""
"MTO1","0.143","0.619","0.335","2","hsa-miR-6829-3p","hsa-miR-498","","","",""
"MTRF1L","0.167","0.619","0.368","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"MTRNR2L1","0.106","0.619","0.279","2","hsa-miR-4680-5p","hsa-miR-490-3p","","","",""
"MTSS1L","0.155","0.619","0.351","2","hsa-miR-4483","hsa-miR-8072","","","",""
"MYLK3","0.110","0.619","0.391","3","hsa-miR-196a-3p","hsa-miR-6829-3p","hsa-miR-512-3p","","",""
"MYO5A","0.187","0.619","0.396","2","hsa-miR-490-3p","hsa-miR-3124-3p","","","",""
"MYOZ3","0.0853","0.619","0.245","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"MYPN","0.224","0.619","0.547","3","hsa-miR-4802-3p","hsa-miR-6829-3p","hsa-miR-512-3p","","",""
"NARS","0.0493","0.619","0.279","3","hsa-miR-6716-3p","hsa-miR-106a-3p","hsa-miR-6829-3p","","",""
"NCR3LG1","0.121","0.619","0.301","2","hsa-miR-1255a","hsa-miR-4680-5p","","","",""
"NDUFV3","0.270","0.619","0.508","2","hsa-miR-1254","hsa-miR-6829-3p","","","",""
"NKAP","0.119","0.619","0.405","3","hsa-miR-1254","hsa-miR-106a-3p","hsa-miR-498","","",""
"NKD1","0.163","0.619","0.363","2","hsa-miR-498","hsa-miR-6829-3p","","","",""
"NPR1","0.142","0.619","0.439","3","hsa-miR-1254","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"NQO2","0.155","0.619","0.351","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"NUP62","0.183","0.619","0.391","2","hsa-miR-1255a","hsa-miR-4483","","","",""
"OGFOD1","0.0541","0.619","0.190","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"OLAH","0.0691","0.619","0.218","2","hsa-miR-498","hsa-miR-512-3p","","","",""
"OLR1","0.228","0.619","0.452","2","hsa-miR-1254","hsa-miR-196a-3p","","","",""
"OPA3","0.283","0.619","0.524","2","hsa-miR-4680-5p","hsa-miR-6829-3p","","","",""
"PABPC1","0.102","0.619","0.273","2","hsa-miR-3973","hsa-miR-3124-3p","","","",""
"PAG1","0.175","0.619","0.379","2","hsa-miR-3124-3p","hsa-miR-498","","","",""
"PAGR1","0.191","0.619","0.402","2","hsa-miR-124-5p","hsa-miR-3124-3p","","","",""
"PALM2","0.0526","0.619","0.286","3","hsa-miR-4722-3p","hsa-miR-498","hsa-miR-6829-3p","","",""
"PALM2-AKAP2","0.139","0.619","0.329","2","hsa-miR-106a-3p","hsa-miR-6829-3p","","","",""
"PCLAF","0.151","0.619","0.346","2","hsa-miR-4722-3p","hsa-miR-1254","","","",""
"PCYOX1","0.0629","0.619","0.206","2","hsa-miR-1207-3p","hsa-miR-1254","","","",""
"PDLIM3","0.0819","0.619","0.240","2","hsa-miR-6829-3p","hsa-miR-4680-5p","","","",""
"PDLIM5","0.151","0.619","0.346","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"PDPK1","0.207","0.619","0.424","2","hsa-miR-3140-5p","hsa-miR-4680-5p","","","",""
"PEX13","0.0691","0.619","0.218","2","hsa-miR-3140-5p","hsa-miR-106a-3p","","","",""
"PEX26","0.133","0.619","0.497","4","hsa-miR-4680-5p","hsa-miR-4722-3p","hsa-miR-6829-3p","hsa-miR-498","",""
"PGBD4","0.241","0.619","0.469","2","hsa-miR-4722-3p","hsa-miR-490-3p","","","",""
"PHLDA3","0.142","0.619","0.439","3","hsa-miR-1254","hsa-miR-4722-3p","hsa-miR-498","","",""
"PKD1","0.266","0.619","0.502","2","hsa-miR-451a","hsa-miR-2277-3p","","","",""
"PLCG2","0.167","0.619","0.368","2","hsa-miR-6717-5p","hsa-miR-4802-3p","","","",""
"PLEKHA1","0.139","0.619","0.435","3","hsa-miR-3973","hsa-miR-124-5p","hsa-miR-4483","","",""
"PLEKHA2","0.191","0.619","0.402","2","hsa-miR-1207-3p","hsa-miR-6829-3p","","","",""
"PLEKHG2","0.0850","0.619","0.350","3","hsa-miR-4281","hsa-miR-106a-3p","hsa-miR-4680-5p","","",""
"PLEKHG3","0.139","0.619","0.329","2","hsa-miR-4483","hsa-miR-490-3p","","","",""
"POFUT1","0.0669","0.619","0.316","3","hsa-miR-1255a","hsa-miR-2277-3p","hsa-miR-498","","",""
"POLR2D","0.236","0.619","0.463","2","hsa-miR-1254","hsa-miR-106a-3p","","","",""
"POLR3F","0.113","0.619","0.290","2","hsa-miR-512-3p","hsa-miR-3973","","","",""
"PPIC","0.287","0.619","0.530","2","hsa-miR-490-3p","hsa-miR-4722-3p","","","",""
"PPP1R15A","0.0722","0.619","0.223","2","hsa-miR-4483","hsa-miR-490-3p","","","",""
"PPP2R5E","0.191","0.619","0.402","2","hsa-miR-3973","hsa-miR-548l","","","",""
"PRPF38A","0.136","0.619","0.324","2","hsa-miR-4722-3p","hsa-miR-106a-3p","","","",""
"PRPF4","0.199","0.619","0.413","2","hsa-miR-6829-3p","hsa-miR-498","","","",""
"PRX","0.0989","0.619","0.268","2","hsa-miR-8072","hsa-miR-3124-3p","","","",""
"PSMB9","0.0853","0.619","0.245","2","hsa-miR-498","hsa-miR-6829-3p","","","",""
"PTCHD3","0.0691","0.619","0.218","2","hsa-miR-498","hsa-miR-4722-3p","","","",""
"PTPN1","0.0886","0.619","0.251","2","hsa-miR-3973","hsa-miR-4483","","","",""
"PTPN4","0.155","0.619","0.351","2","hsa-miR-3973","hsa-miR-512-3p","","","",""
"PURA","0.278","0.619","0.519","2","hsa-miR-106a-3p","hsa-miR-4680-5p","","","",""
"QRFPR","0.287","0.619","0.530","2","hsa-miR-1254","hsa-miR-512-3p","","","",""
"RAB1A","0.0920","0.619","0.257","2","hsa-miR-3124-3p","hsa-miR-4680-5p","","","",""
"RAB42","0.106","0.619","0.279","2","hsa-miR-1254","hsa-miR-512-3p","","","",""
"RABGAP1L","0.0708","0.619","0.324","3","hsa-miR-512-3p","hsa-miR-4722-3p","hsa-miR-6829-3p","","",""
"RAD51","0.224","0.619","0.547","3","hsa-miR-490-3p","hsa-miR-4722-3p","hsa-miR-498","","",""
"RAPGEF1","0.0560","0.619","0.294","3","hsa-miR-1255a","hsa-miR-6829-3p","hsa-miR-4722-3p","","",""
"RBM41","0.0708","0.619","0.324","3","hsa-miR-124-5p","hsa-miR-512-3p","hsa-miR-3124-3p","","",""
"RBM43","0.270","0.619","0.508","2","hsa-miR-4722-3p","hsa-miR-1254","","","",""
"RBMS2","0.180","0.619","0.491","3","hsa-miR-4802-3p","hsa-miR-3973","hsa-miR-490-3p","","",""
"RCC2","0.189","0.619","0.502","3","hsa-miR-2277-3p","hsa-miR-4802-3p","hsa-miR-548l","","",""
"RGP1","0.0596","0.619","0.301","3","hsa-miR-4680-5p","hsa-miR-4722-3p","hsa-miR-6829-3p","","",""
"RHOA","0.270","0.619","0.508","2","hsa-miR-5583-3p","hsa-miR-490-3p","","","",""
"RHOC","0.163","0.619","0.363","2","hsa-miR-3124-3p","hsa-miR-512-3p","","","",""
