Gene Symbol,gene_score
MED28,0.125
CELF1,0.125
OTUD7B,0.1071428571428571
PIGO,0.1071428571428571
RAD51,0.1071428571428571
KDELR1,0.1071428571428571
NUDT3,0.1071428571428571
SKI,0.1071428571428571
SETD1B,0.0892857142857143
TIMM8A,0.0892857142857143
PEX26,0.0892857142857143
WIPF2,0.0892857142857143
OCIAD2,0.0892857142857143
KMT2D,0.0892857142857143
FOXK1,0.0892857142857143
HNRNPA1,0.0892857142857143
KLHL36,0.0892857142857143
ZNF460,0.0892857142857143
BMPR1A,0.0892857142857143
TMEM154,0.0714285714285714
BCL2L1,0.0714285714285714
HMGA1,0.0714285714285714
IPP,0.0714285714285714
SAMD8,0.0714285714285714
PKD1,0.0714285714285714
C12orf49,0.0714285714285714
SFT2D2,0.0714285714285714
HMGN2,0.0714285714285714
IKZF3,0.0714285714285714
FEM1A,0.0714285714285714
FOSL2,0.0714285714285714
MIDN,0.0714285714285714
GIGYF1,0.0714285714285714
GATA6,0.0714285714285714
PARP15,0.0714285714285714
KIF3A,0.0714285714285714
TOR4A,0.0714285714285714
PARD6B,0.0714285714285714
CYP20A1,0.0714285714285714
MMAB,0.0714285714285714
SRARP,0.0714285714285714
ZNF445,0.0714285714285714
MAPK8,0.0714285714285714
MAPKAPK2,0.0714285714285714
PAK4,0.0714285714285714
SCOC,0.0714285714285714
MAFK,0.0714285714285714
LRRC3C,0.0714285714285714
LRIG2,0.0714285714285714
ZNF264,0.0714285714285714
COX6B1,0.0714285714285714
RNF40,0.0714285714285714
CALR,0.0714285714285714
YOD1,0.0714285714285714
ORC6,0.0714285714285714
PAICS,0.0714285714285714
DCAF7,0.0714285714285714
KLHL11,0.0714285714285714
KCNMB1,0.0535714285714286
KLF2,0.0535714285714286
NACC1,0.0535714285714286
GTF2H5,0.0535714285714286
KIF5B,0.0535714285714286
MBOAT2,0.0535714285714286
KIAA1456,0.0535714285714286
MAP3K2,0.0535714285714286
IMP4,0.0535714285714286
KCNK5,0.0535714285714286
INAFM1,0.0535714285714286
ITGA2,0.0535714285714286
LLGL1,0.0535714285714286
LAX1,0.0535714285714286
HNRNPUL1,0.0535714285714286
GSR,0.0535714285714286
KNSTRN,0.0535714285714286
HSPE1-MOB4,0.0535714285714286
SLC7A5,0.0535714285714286
FOXJ3,0.0535714285714286
GRB2,0.0535714285714286
CLUAP1,0.0535714285714286
DEFB105A,0.0535714285714286
DDX3X,0.0535714285714286
DDX19B,0.0535714285714286
DCTN4,0.0535714285714286
AGO2,0.0535714285714286
CSE1L,0.0535714285714286
CRISPLD2,0.0535714285714286
COL1A1,0.0535714285714286
CLPB,0.0535714285714286
DNAL1,0.0535714285714286
CLIC5,0.0535714285714286
CHERP,0.0535714285714286
CES2,0.0535714285714286
CDC27,0.0535714285714286
CCS,0.0535714285714286
CCPG1,0.0535714285714286
CAPZA2,0.0535714285714286
CAPZA1,0.0535714285714286
DEFB105B,0.0535714285714286
DOT1L,0.0535714285714286
GPC4,0.0535714285714286
FBXL18,0.0535714285714286
GLG1,0.0535714285714286
GK5,0.0535714285714286
GJD3,0.0535714285714286
GAPVD1,0.0535714285714286
FSCN1,0.0535714285714286
FHL2,0.0535714285714286
FGF19,0.0535714285714286
FBXO47,0.0535714285714286
FAM241A,0.0535714285714286
E2F2,0.0535714285714286
FAM229B,0.0535714285714286
FAM153B,0.0535714285714286
FAM151B,0.0535714285714286
EXTL3,0.0535714285714286
ETNK1,0.0535714285714286
ENPP5,0.0535714285714286
KLHL15,0.0535714285714286
EIF5AL1,0.0535714285714286
MEX3A,0.0535714285714286
OTUB1,0.0535714285714286
MKI67,0.0535714285714286
MOB4,0.0535714285714286
TRAF3IP1,0.0535714285714286
TNPO2,0.0535714285714286
TMOD3,0.0535714285714286
P2RY2,0.0535714285714286
TMEM44,0.0535714285714286
TMEM151A,0.0535714285714286
TLN1,0.0535714285714286
TFDP2,0.0535714285714286
TEF,0.0535714285714286
TAF8,0.0535714285714286
SYAP1,0.0535714285714286
SULT1B1,0.0535714285714286
SSBP2,0.0535714285714286
SRF,0.0535714285714286
SPRYD4,0.0535714285714286
SP2,0.0535714285714286
SORD,0.0535714285714286
SON,0.0535714285714286
SMYD1,0.0535714285714286
TRAF7,0.0535714285714286
TRAPPC2,0.0535714285714286
UTP6,0.0535714285714286
ZNF417,0.0535714285714286
CNBP,0.0535714285714286
TUBB2A,0.0535714285714286
ZSWIM4,0.0535714285714286
ZNRF3,0.0535714285714286
ZNF860,0.0535714285714286
ZNF8,0.0535714285714286
ZNF641,0.0535714285714286
ZNF556,0.0535714285714286
ZNF347,0.0535714285714286
VHL,0.0535714285714286
ZNF195,0.0535714285714286
ZMAT3,0.0535714285714286
YWHAZ,0.0535714285714286
ZFP69B,0.0535714285714286
ZBTB3,0.0535714285714286
YTHDF1,0.0535714285714286
ORAI2,0.0535714285714286
WDR12,0.0535714285714286
SLC7A11,0.0535714285714286
SLC1A5,0.0535714285714286
TAOK1,0.0535714285714286
PAFAH1B2,0.0535714285714286
PHB2,0.0535714285714286
PHAX,0.0535714285714286
PDP2,0.0535714285714286
PDLIM5,0.0535714285714286
PDE12,0.0535714285714286
PCLAF,0.0535714285714286
PCBD2,0.0535714285714286
PARP2,0.0535714285714286
NUPL2,0.0535714285714286
POC1A,0.0535714285714286
NUP50,0.0535714285714286
NFATC2IP,0.0535714285714286
NAA50,0.0535714285714286
MYOZ3,0.0535714285714286
CCND1,0.0535714285714286
MTHFD1,0.0535714285714286
MRPL17,0.0535714285714286
MPLKIP,0.0535714285714286
