"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"GYG2","0.0930","0.592","0.0970","1","hsa-miR-6829-3p","","","","","",""
"HADHB","0.325","0.592","0.388","1","hsa-miR-1229-3p","","","","","",""
"HAPLN1","0.178","0.592","0.194","1","hsa-miR-5587-5p","","","","","",""
"HARBI1","0.294","0.592","0.345","1","hsa-miR-7854-3p","","","","","",""
"HBP1","0.169","0.592","0.372","2","hsa-miR-4282","hsa-miR-7703","","","","",""
"HCAR1","0.302","0.592","0.356","1","hsa-miR-7703","","","","","",""
"HCFC1","0.124","0.592","0.307","2","hsa-miR-4749-5p","hsa-miR-4722-3p","","","","",""
"HCN2","0.221","0.592","0.248","1","hsa-miR-6722-3p","","","","","",""
"HDAC4","0.195","0.592","0.215","1","hsa-miR-4282","","","","","",""
"HEATR5A","0.124","0.592","0.307","2","hsa-miR-5587-5p","hsa-miR-371b-5p","","","","",""
"HELZ","0.178","0.592","0.194","1","hsa-miR-4282","","","","","",""
"HERPUD2","0.325","0.592","0.388","1","hsa-miR-7703","","","","","",""
"HHLA3","0.122","0.592","0.129","1","hsa-miR-1227-5p","","","","","",""
"HIBADH","0.187","0.592","0.205","1","hsa-miR-412-3p","","","","","",""
"HIC1","0.122","0.592","0.129","1","hsa-miR-4749-5p","","","","","",""
"HIGD2A","0.169","0.592","0.183","1","hsa-miR-6722-3p","","","","","",""
"HIST1H1B","0.178","0.592","0.194","1","hsa-miR-1227-5p","","","","","",""
"HIST1H2AE","0.287","0.592","0.334","1","hsa-miR-6769b-5p","","","","","",""
"HIST1H2BK","0.110","0.592","0.285","2","hsa-miR-218-2-3p","hsa-miR-5587-5p","","","","",""
"HIST1H2BN","0.187","0.592","0.205","1","hsa-miR-7703","","","","","",""
"HIST1H3A","0.150","0.592","0.162","1","hsa-miR-1229-3p","","","","","",""
"HIST1H3E","0.0356","0.592","0.151","2","hsa-miR-1253","hsa-miR-371b-5p","","","","",""
"HIST1H4C","0.187","0.592","0.205","1","hsa-miR-1229-3p","","","","","",""
"HIST3H3","0.271","0.592","0.312","1","hsa-miR-6769b-5p","","","","","",""
"HLA-DOA","0.271","0.592","0.312","1","hsa-miR-1253","","","","","",""
"HLCS","0.294","0.592","0.345","1","hsa-miR-6829-3p","","","","","",""
"HMBOX1","0.216","0.592","0.436","2","hsa-miR-548h-5p","hsa-miR-371b-5p","","","","",""
"HMGA1","0.0894","0.592","0.431","4","hsa-miR-4741","hsa-miR-6802-3p","hsa-miR-5591-5p","hsa-miR-4722-3p","","",""
"HMGCLL1","0.204","0.592","0.226","1","hsa-miR-5585-3p","","","","","",""
"HMGN2","0.0943","0.592","0.439","4","hsa-miR-548h-5p","hsa-miR-1253","hsa-miR-371b-5p","hsa-miR-5591-5p","","",""
"HMGN3","0.150","0.592","0.162","1","hsa-miR-4524b-5p","","","","","",""
"HMX3","0.339","0.592","0.409","1","hsa-miR-7703","","","","","",""
"HNRNPA0","0.334","0.592","0.593","2","hsa-miR-4282","hsa-miR-1227-5p","","","","",""
"HNRNPA1","0.0152","0.592","0.302","5","hsa-miR-1229-3p","hsa-miR-412-3p","hsa-miR-660-5p","hsa-miR-4524b-5p","hsa-miR-4722-3p","",""
"HNRNPA1L2","0.220","0.592","0.442","2","hsa-miR-4524b-5p","hsa-miR-4722-3p","","","","",""
"HNRNPA3","0.169","0.592","0.372","2","hsa-miR-1229-3p","hsa-miR-6722-3p","","","","",""
"HNRNPD","0.246","0.592","0.280","1","hsa-miR-1229-3p","","","","","",""
"HNRNPK","0.213","0.592","0.237","1","hsa-miR-1229-3p","","","","","",""
"HNRNPUL1","0.0990","0.592","0.373","3","hsa-miR-1229-3p","hsa-miR-134-3p","hsa-miR-6722-3p","","","",""
"HOOK1","0.195","0.592","0.215","1","hsa-miR-218-2-3p","","","","","",""
"HOXA13","0.338","0.592","0.598","2","hsa-miR-412-3p","hsa-miR-548h-5p","","","","",""
"HOXA5","0.317","0.592","0.377","1","hsa-miR-5585-3p","","","","","",""
"HOXA7","0.0802","0.592","0.237","2","hsa-miR-5591-5p","hsa-miR-6769b-5p","","","","",""
"HOXC6","0.294","0.592","0.345","1","hsa-miR-6769b-5p","","","","","",""
"HOXD11","0.332","0.592","0.399","1","hsa-miR-4749-5p","","","","","",""
"HOXD3","0.263","0.592","0.302","1","hsa-miR-4749-5p","","","","","",""
"HPCAL1","0.339","0.592","0.409","1","hsa-miR-5587-5p","","","","","",""
"HPRT1","0.0999","0.592","0.269","2","hsa-miR-548h-5p","hsa-miR-4282","","","","",""
"HPSE","0.146","0.592","0.339","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"HRK","0.158","0.592","0.356","2","hsa-miR-1253","hsa-miR-412-3p","","","","",""
"HS3ST5","0.0930","0.592","0.0970","1","hsa-miR-7151-5p","","","","","",""
"HSP90AB1","0.189","0.592","0.399","2","hsa-miR-5591-5p","hsa-miR-6722-3p","","","","",""
"HSPB6","0.178","0.592","0.194","1","hsa-miR-6722-3p","","","","","",""
"HSPE1-MOB4","0.0632","0.592","0.309","3","hsa-miR-4524b-5p","hsa-miR-4722-3p","hsa-miR-5587-5p","","","",""
"HTR5A-AS1","0.213","0.592","0.237","1","hsa-miR-7703","","","","","",""
"HUNK","0.178","0.592","0.194","1","hsa-miR-1229-3p","","","","","",""
"HUS1","0.271","0.592","0.312","1","hsa-miR-6769b-5p","","","","","",""
"IARS","0.169","0.592","0.183","1","hsa-miR-412-3p","","","","","",""
"ICK","0.294","0.592","0.345","1","hsa-miR-449c-3p","","","","","",""
"ID3","0.294","0.592","0.345","1","hsa-miR-7151-5p","","","","","",""
"IDH2","0.160","0.592","0.172","1","hsa-miR-6829-3p","","","","","",""
"IFNB1","0.132","0.592","0.140","1","hsa-miR-4282","","","","","",""
"IFNE","0.160","0.592","0.172","1","hsa-miR-5585-3p","","","","","",""
"IFNGR2","0.213","0.592","0.237","1","hsa-miR-7151-5p","","","","","",""
"IFT22","0.187","0.592","0.205","1","hsa-miR-4722-3p","","","","","",""
"IGLON5","0.294","0.592","0.345","1","hsa-miR-6829-3p","","","","","",""
"IKZF3","0.0529","0.592","0.361","4","hsa-miR-371b-5p","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-7703","","",""
"IL17RA","0.213","0.592","0.237","1","hsa-miR-7854-3p","","","","","",""
"IL17RB","0.339","0.592","0.409","1","hsa-miR-7703","","","","","",""
"IL17RD","0.113","0.592","0.119","1","hsa-miR-4722-3p","","","","","",""
"IL1RL2","0.122","0.592","0.129","1","hsa-miR-1229-3p","","","","","",""
"IL2RB","0.204","0.592","0.226","1","hsa-miR-5591-5p","","","","","",""
"IL31RA","0.141","0.592","0.151","1","hsa-miR-6722-3p","","","","","",""
"IL5RA","0.221","0.592","0.248","1","hsa-miR-5591-5p","","","","","",""
"IMP4","0.0686","0.592","0.320","3","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-7703","","","",""
"IMPACT","0.141","0.592","0.151","1","hsa-miR-7703","","","","","",""
"INAFM1","0.0233","0.592","0.208","3","hsa-miR-134-3p","hsa-miR-4741","hsa-miR-7854-3p","","","",""
"INCENP","0.128","0.592","0.312","2","hsa-miR-4282","hsa-miR-6847-3p","","","","",""
"INO80","0.0535","0.592","0.189","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"INS","0.0320","0.592","0.0323","1","hsa-miR-412-3p","","","","","",""
"INSIG1","0.232","0.592","0.458","2","hsa-miR-7703","hsa-miR-134-3p","","","","",""
"INSIG2","0.294","0.592","0.345","1","hsa-miR-7151-5p","","","","","",""
"INTS10","0.0424","0.592","0.0431","1","hsa-miR-1229-3p","","","","","",""
"INTS13","0.279","0.592","0.323","1","hsa-miR-371b-5p","","","","","",""
"INTS3","0.332","0.592","0.399","1","hsa-miR-412-3p","","","","","",""
"INTS7","0.185","0.592","0.393","2","hsa-miR-371b-5p","hsa-miR-4722-3p","","","","",""
"INTU","0.241","0.592","0.469","2","hsa-miR-1253","hsa-miR-4282","","","","",""
"IPO13","0.0528","0.592","0.0539","1","hsa-miR-412-3p","","","","","",""
"IPO7","0.110","0.592","0.285","2","hsa-miR-1229-3p","hsa-miR-449c-3p","","","","",""
"IPP","0.0244","0.592","0.283","4","hsa-miR-7703","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-371b-5p","","",""
"IQSEC1","0.271","0.592","0.312","1","hsa-miR-6829-3p","","","","","",""
"IRAK1BP1","0.332","0.592","0.399","1","hsa-miR-7703","","","","","",""
"IRF4","0.238","0.592","0.269","1","hsa-miR-6847-3p","","","","","",""
"ISLR2","0.187","0.592","0.205","1","hsa-miR-4282","","","","","",""
"ITGA2","0.106","0.592","0.384","3","hsa-miR-371b-5p","hsa-miR-4722-3p","hsa-miR-6829-3p","","","",""
"ITGA5","0.255","0.592","0.291","1","hsa-miR-1229-3p","","","","","",""
"ITGB8","0.154","0.592","0.350","2","hsa-miR-548h-5p","hsa-miR-7703","","","","",""
"ITM2C","0.162","0.592","0.361","2","hsa-miR-6722-3p","hsa-miR-1253","","","","",""
"ITPR2","0.141","0.592","0.151","1","hsa-miR-4722-3p","","","","","",""
"JAG1","0.255","0.592","0.291","1","hsa-miR-4282","","","","","",""
"JAK3","0.132","0.592","0.140","1","hsa-miR-7703","","","","","",""
"JAKMIP2","0.263","0.592","0.302","1","hsa-miR-1229-3p","","","","","",""
"JAZF1","0.230","0.592","0.259","1","hsa-miR-7703","","","","","",""
"JMY","0.139","0.592","0.329","2","hsa-miR-1229-3p","hsa-miR-6802-3p","","","","",""
"JPT2","0.213","0.592","0.237","1","hsa-miR-6829-3p","","","","","",""
"JRKL","0.0122","0.592","0.0862","2","hsa-miR-5585-3p","hsa-miR-371b-5p","","","","",""
"KANK1","0.195","0.592","0.215","1","hsa-miR-4524b-5p","","","","","",""
"KANK2","0.287","0.592","0.334","1","hsa-miR-7151-5p","","","","","",""
"KANSL1","0.326","0.592","0.582","2","hsa-miR-5585-3p","hsa-miR-4282","","","","",""
"KARS","0.204","0.592","0.226","1","hsa-miR-4722-3p","","","","","",""
"KBTBD11","0.204","0.592","0.226","1","hsa-miR-4722-3p","","","","","",""
"KBTBD8","0.230","0.592","0.259","1","hsa-miR-4282","","","","","",""
"KCNAB1","0.0831","0.592","0.0862","1","hsa-miR-4282","","","","","",""
"KCNH6","0.0930","0.592","0.0970","1","hsa-miR-4722-3p","","","","","",""
"KCNIP2","0.103","0.592","0.108","1","hsa-miR-1253","","","","","",""
"KCNJ5","0.150","0.592","0.162","1","hsa-miR-6847-3p","","","","","",""
"KCNK5","0.0802","0.592","0.341","3","hsa-miR-371b-5p","hsa-miR-1253","hsa-miR-5591-5p","","","",""
"KCNMB1","0.0705","0.592","0.323","3","hsa-miR-3130-3p","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"KCNQ3","0.187","0.592","0.205","1","hsa-miR-4722-3p","","","","","",""
"KCNQ5","0.246","0.592","0.280","1","hsa-miR-4282","","","","","",""
"KCNS2","0.187","0.592","0.205","1","hsa-miR-371b-5p","","","","","",""
"KCTD12","0.317","0.592","0.377","1","hsa-miR-412-3p","","","","","",""
"KCTD20","0.263","0.592","0.302","1","hsa-miR-4722-3p","","","","","",""
"KDM2B","0.195","0.592","0.215","1","hsa-miR-6774-3p","","","","","",""
"KDM5C","0.287","0.592","0.334","1","hsa-miR-1229-3p","","","","","",""
"KDSR","0.110","0.592","0.285","2","hsa-miR-4722-3p","hsa-miR-6829-3p","","","","",""
"KIAA0040","0.195","0.592","0.215","1","hsa-miR-1253","","","","","",""
"KIAA0408","0.177","0.592","0.382","2","hsa-miR-4722-3p","hsa-miR-6829-3p","","","","",""
"KIAA0907","0.310","0.592","0.366","1","hsa-miR-218-2-3p","","","","","",""
"KIAA1324","0.294","0.592","0.345","1","hsa-miR-7703","","","","","",""
"KIAA1456","0.175","0.592","0.485","3","hsa-miR-4524b-5p","hsa-miR-134-3p","hsa-miR-5587-5p","","","",""
"KIAA1522","0.150","0.592","0.162","1","hsa-miR-1253","","","","","",""
"KIAA1586","0.165","0.592","0.366","2","hsa-miR-548h-5p","hsa-miR-6829-3p","","","","",""
"KIF1C","0.338","0.592","0.598","2","hsa-miR-6847-3p","hsa-miR-412-3p","","","","",""
"KIF24","0.0528","0.592","0.0539","1","hsa-miR-1229-3p","","","","","",""
"KIF3A","0.0493","0.592","0.353","4","hsa-miR-548h-5p","hsa-miR-4282","hsa-miR-4722-3p","hsa-miR-7703","","",""
"KIF5B","0.0782","0.592","0.338","3","hsa-miR-4282","hsa-miR-7703","hsa-miR-4524b-5p","","","",""
"KLF16","0.271","0.592","0.312","1","hsa-miR-6722-3p","","","","","",""
"KLF2","0.106","0.592","0.384","3","hsa-miR-6802-3p","hsa-miR-412-3p","hsa-miR-371b-5p","","","",""
"KLF3","0.0709","0.592","0.221","2","hsa-miR-449c-3p","hsa-miR-218-2-3p","","","","",""
"KLHDC7A","0.0424","0.592","0.0431","1","hsa-miR-4524b-5p","","","","","",""
"KLHDC8A","0.181","0.592","0.388","2","hsa-miR-7703","hsa-miR-371b-5p","","","","",""
"KLHL11","0.0140","0.592","0.240","4","hsa-miR-548h-5p","hsa-miR-4282","hsa-miR-6829-3p","hsa-miR-7703","","",""
"KLHL25","0.310","0.592","0.366","1","hsa-miR-371b-5p","","","","","",""
"KLK10","0.339","0.592","0.409","1","hsa-miR-1253","","","","","",""
"KLLN","0.162","0.592","0.361","2","hsa-miR-7703","hsa-miR-6722-3p","","","","",""
"KMT2A","0.338","0.592","0.598","2","hsa-miR-4741","hsa-miR-6769b-5p","","","","",""
"KMT2D","0.0310","0.592","0.362","5","hsa-miR-1229-3p","hsa-miR-1227-5p","hsa-miR-4749-5p","hsa-miR-5591-5p","hsa-miR-7854-3p","",""
"KMT5B","0.221","0.592","0.248","1","hsa-miR-5585-3p","","","","","",""
"KNSTRN","0.0326","0.592","0.237","3","hsa-miR-5587-5p","hsa-miR-4722-3p","hsa-miR-7703","","","",""
"KPNA3","0.302","0.592","0.356","1","hsa-miR-4524b-5p","","","","","",""
"KPNB1","0.255","0.592","0.291","1","hsa-miR-1229-3p","","","","","",""
"KRBA2","0.213","0.592","0.237","1","hsa-miR-6829-3p","","","","","",""
"KRT28","0.0108","0.592","0.0108","1","hsa-miR-1229-3p","","","","","",""
"L3MBTL2","0.0731","0.592","0.0754","1","hsa-miR-5587-5p","","","","","",""
"LAD1","0.195","0.592","0.215","1","hsa-miR-5591-5p","","","","","",""
"LAMA5","0.113","0.592","0.119","1","hsa-miR-6722-3p","","","","","",""
"LAMC3","0.169","0.592","0.183","1","hsa-miR-7703","","","","","",""
"LANCL1","0.160","0.592","0.172","1","hsa-miR-4524b-5p","","","","","",""
"LANCL3","0.158","0.592","0.356","2","hsa-miR-7703","hsa-miR-660-5p","","","","",""
"LAPTM4B","0.279","0.592","0.323","1","hsa-miR-6847-3p","","","","","",""
"LARS","0.0535","0.592","0.189","2","hsa-miR-5587-5p","hsa-miR-371b-5p","","","","",""
"LATS1","0.160","0.592","0.172","1","hsa-miR-4722-3p","","","","","",""
"LAX1","0.134","0.592","0.427","3","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-7703","","","",""
"LCTL","0.150","0.592","0.162","1","hsa-miR-4722-3p","","","","","",""
"LDLRAD4","0.279","0.592","0.323","1","hsa-miR-4722-3p","","","","","",""
"LEPROT","0.181","0.592","0.388","2","hsa-miR-548h-5p","hsa-miR-4282","","","","",""
"LETM2","0.0404","0.592","0.162","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"LETMD1","0.0834","0.592","0.242","2","hsa-miR-1253","hsa-miR-1229-3p","","","","",""
"LHFPL3","0.325","0.592","0.388","1","hsa-miR-4749-5p","","","","","",""
"LHFPL4","0.230","0.592","0.259","1","hsa-miR-5591-5p","","","","","",""
"LHPP","0.339","0.592","0.409","1","hsa-miR-3130-3p","","","","","",""
"LHX6","0.195","0.592","0.215","1","hsa-miR-218-2-3p","","","","","",""
"LIMA1","0.189","0.592","0.399","2","hsa-miR-371b-5p","hsa-miR-6802-3p","","","","",""
"LIN9","0.294","0.592","0.345","1","hsa-miR-7703","","","","","",""
"LINC00346","0.224","0.592","0.447","2","hsa-miR-5591-5p","hsa-miR-6847-3p","","","","",""
"LINC01560","0.113","0.592","0.119","1","hsa-miR-4722-3p","","","","","",""
"LIPH","0.255","0.592","0.291","1","hsa-miR-7703","","","","","",""
"LITAF","0.294","0.592","0.345","1","hsa-miR-7151-5p","","","","","",""
"LLGL1","0.0379","0.592","0.251","3","hsa-miR-6769b-5p","hsa-miR-6722-3p","hsa-miR-7854-3p","","","",""
"LMAN2L","0.0310","0.592","0.140","2","hsa-miR-4722-3p","hsa-miR-6829-3p","","","","",""
"LMNB1","0.200","0.592","0.415","2","hsa-miR-449c-3p","hsa-miR-4282","","","","",""
"LMOD3","0.317","0.592","0.377","1","hsa-miR-5587-5p","","","","","",""
"LNPK","0.289","0.592","0.533","2","hsa-miR-6847-3p","hsa-miR-6722-3p","","","","",""
"LNX2","0.230","0.592","0.259","1","hsa-miR-7854-3p","","","","","",""
"LPIN3","0.339","0.592","0.409","1","hsa-miR-7703","","","","","",""
"LPL","0.103","0.592","0.108","1","hsa-miR-3130-3p","","","","","",""
"LRBA","0.0424","0.592","0.0431","1","hsa-miR-1229-3p","","","","","",""
"LRCH2","0.0424","0.592","0.0431","1","hsa-miR-5587-5p","","","","","",""
"LRG1","0.150","0.592","0.162","1","hsa-miR-4722-3p","","","","","",""
"LRIF1","0.237","0.592","0.463","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"LRIG2","0.0310","0.592","0.304","4","hsa-miR-4282","hsa-miR-412-3p","hsa-miR-6829-3p","hsa-miR-1253","","",""
"LRIT1","0.0108","0.592","0.0108","1","hsa-miR-1229-3p","","","","","",""
"LRP10","0.162","0.592","0.361","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"LRPAP1","0.181","0.592","0.388","2","hsa-miR-371b-5p","hsa-miR-7703","","","","",""
"LRRC1","0.294","0.592","0.345","1","hsa-miR-4282","","","","","",""
"LRRC10","0.0930","0.592","0.0970","1","hsa-miR-6847-3p","","","","","",""
"LRRC3C","0.0208","0.592","0.269","4","hsa-miR-1253","hsa-miR-134-3p","hsa-miR-7703","hsa-miR-4722-3p","","",""
"LRRC75A","0.0630","0.592","0.0646","1","hsa-miR-1253","","","","","",""
"LRTOMT","0.132","0.592","0.318","2","hsa-miR-7703","hsa-miR-6769b-5p","","","","",""
"LSM14A","0.154","0.592","0.350","2","hsa-miR-371b-5p","hsa-miR-134-3p","","","","",""
"LSM8","0.160","0.592","0.172","1","hsa-miR-371b-5p","","","","","",""
"LTBP4","0.238","0.592","0.269","1","hsa-miR-4749-5p","","","","","",""
"LTF","0.178","0.592","0.194","1","hsa-miR-412-3p","","","","","",""
"LUC7L3","0.246","0.592","0.280","1","hsa-miR-6829-3p","","","","","",""
"LURAP1L","0.0226","0.592","0.119","2","hsa-miR-1253","hsa-miR-4524b-5p","","","","",""
"LUZP2","0.339","0.592","0.409","1","hsa-miR-5585-3p","","","","","",""
"LY6E","0.246","0.592","0.280","1","hsa-miR-6722-3p","","","","","",""
"LY6K","0.0508","0.592","0.183","2","hsa-miR-6802-3p","hsa-miR-412-3p","","","","",""
"LYRM2","0.150","0.592","0.345","2","hsa-miR-6829-3p","hsa-miR-548h-5p","","","","",""
"LYRM7","0.232","0.592","0.458","2","hsa-miR-5587-5p","hsa-miR-371b-5p","","","","",""
"LYZ","0.0620","0.592","0.205","2","hsa-miR-7703","hsa-miR-371b-5p","","","","",""
"MACC1","0.326","0.592","0.582","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"MAD2L2","0.0320","0.592","0.0323","1","hsa-miR-1229-3p","","","","","",""
"MAFK","0.0310","0.592","0.304","4","hsa-miR-6829-3p","hsa-miR-134-3p","hsa-miR-4749-5p","hsa-miR-6722-3p","","",""
"MAGI3","0.139","0.592","0.329","2","hsa-miR-7703","hsa-miR-4282","","","","",""
"MAK16","0.325","0.592","0.388","1","hsa-miR-412-3p","","","","","",""
"MAN1C1","0.271","0.592","0.312","1","hsa-miR-6769b-5p","","","","","",""
"MAN2A2","0.246","0.592","0.280","1","hsa-miR-4722-3p","","","","","",""
"MAP1S","0.310","0.592","0.366","1","hsa-miR-4741","","","","","",""
"MAP2K3","0.0999","0.592","0.269","2","hsa-miR-1227-5p","hsa-miR-6769b-5p","","","","",""
"MAP2K4","0.128","0.592","0.312","2","hsa-miR-7703","hsa-miR-548h-5p","","","","",""
"MAP2K6","0.246","0.592","0.280","1","hsa-miR-5587-5p","","","","","",""
"MAP3K2","0.0822","0.592","0.345","3","hsa-miR-5587-5p","hsa-miR-5585-3p","hsa-miR-5591-5p","","","",""
"MAPK8IP1","0.0424","0.592","0.0431","1","hsa-miR-412-3p","","","","","",""
"MAPKBP1","0.255","0.592","0.291","1","hsa-miR-7854-3p","","","","","",""
"MAPRE1","0.150","0.592","0.162","1","hsa-miR-1253","","","","","",""
"MARCH2","0.150","0.592","0.162","1","hsa-miR-412-3p","","","","","",""
"MARCH6","0.277","0.592","0.517","2","hsa-miR-5591-5p","hsa-miR-7703","","","","",""
"MARCKS","0.0709","0.592","0.221","2","hsa-miR-4282","hsa-miR-5585-3p","","","","",""
"MARK2","0.165","0.592","0.366","2","hsa-miR-6722-3p","hsa-miR-7151-5p","","","","",""
"MARVELD3","0.132","0.592","0.140","1","hsa-miR-4722-3p","","","","","",""
"MBD3","0.0866","0.592","0.248","2","hsa-miR-7703","hsa-miR-4741","","","","",""
"MBD5","0.150","0.592","0.162","1","hsa-miR-7151-5p","","","","","",""
"MBOAT2","0.0140","0.592","0.172","3","hsa-miR-4282","hsa-miR-5591-5p","hsa-miR-4722-3p","","","",""
"MBTD1","0.169","0.592","0.183","1","hsa-miR-5587-5p","","","","","",""
"MC2R","0.132","0.592","0.318","2","hsa-miR-4722-3p","hsa-miR-5587-5p","","","","",""
"MCFD2","0.265","0.592","0.501","2","hsa-miR-7854-3p","hsa-miR-5591-5p","","","","",""
"MCL1","0.289","0.592","0.533","2","hsa-miR-6829-3p","hsa-miR-6722-3p","","","","",""
"MCM10","0.204","0.592","0.226","1","hsa-miR-371b-5p","","","","","",""
"MCM4","0.0932","0.592","0.259","2","hsa-miR-371b-5p","hsa-miR-6829-3p","","","","",""
"MCM8","0.212","0.592","0.431","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"MCMDC2","0.195","0.592","0.215","1","hsa-miR-7703","","","","","",""
"MCOLN2","0.302","0.592","0.356","1","hsa-miR-7703","","","","","",""
"MCTS1","0.293","0.592","0.539","2","hsa-miR-4722-3p","hsa-miR-7703","","","","",""
"MDC1","0.332","0.592","0.399","1","hsa-miR-1253","","","","","",""
"MDFI","0.325","0.592","0.388","1","hsa-miR-6769b-5p","","","","","",""
"MDFIC","0.339","0.592","0.409","1","hsa-miR-548h-5p","","","","","",""
"MDK","0.146","0.592","0.339","2","hsa-miR-1229-3p","hsa-miR-6769b-5p","","","","",""
"ME2","0.113","0.592","0.119","1","hsa-miR-7703","","","","","",""
"MECP2","0.220","0.592","0.442","2","hsa-miR-1253","hsa-miR-660-5p","","","","",""
"MED10","0.246","0.592","0.280","1","hsa-miR-660-5p","","","","","",""
"MED13","0.117","0.592","0.296","2","hsa-miR-5585-3p","hsa-miR-1253","","","","",""
"MED19","0.0108","0.592","0.0808","2","hsa-miR-1229-3p","hsa-miR-1253","","","","",""
"MED28","0.00459","0.592","0.312","7","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-6847-3p","hsa-miR-660-5p","hsa-miR-4741","hsa-miR-7703","hsa-miR-6769b-5p"
"MED29","0.208","0.592","0.426","2","hsa-miR-4722-3p","hsa-miR-7703","","","","",""
"MEIOC","0.103","0.592","0.108","1","hsa-miR-3130-3p","","","","","",""
"MEIS3P1","0.339","0.592","0.409","1","hsa-miR-5587-5p","","","","","",""
"MELK","0.189","0.592","0.399","2","hsa-miR-7703","hsa-miR-371b-5p","","","","",""
"METTL14","0.224","0.592","0.447","2","hsa-miR-6769b-5p","hsa-miR-6829-3p","","","","",""
"METTL15","0.230","0.592","0.259","1","hsa-miR-6829-3p","","","","","",""
"METTL21A","0.143","0.592","0.334","2","hsa-miR-6829-3p","hsa-miR-6769b-5p","","","","",""
"METTL27","0.339","0.592","0.409","1","hsa-miR-6847-3p","","","","","",""
"METTL2B","0.193","0.592","0.404","2","hsa-miR-4722-3p","hsa-miR-6829-3p","","","","",""
"METTL8","0.314","0.592","0.566","2","hsa-miR-548h-5p","hsa-miR-7703","","","","",""
"MEX3A","0.0802","0.592","0.341","3","hsa-miR-6769b-5p","hsa-miR-6722-3p","hsa-miR-6829-3p","","","",""
"MFAP3","0.332","0.592","0.399","1","hsa-miR-4722-3p","","","","","",""
"MFAP5","0.246","0.592","0.280","1","hsa-miR-6829-3p","","","","","",""
"MFN1","0.332","0.592","0.399","1","hsa-miR-6829-3p","","","","","",""
"MFRP","0.325","0.592","0.388","1","hsa-miR-6769b-5p","","","","","",""
"MFSD12","0.103","0.592","0.108","1","hsa-miR-6802-3p","","","","","",""
"MFSD14C","0.255","0.592","0.291","1","hsa-miR-7703","","","","","",""
"MFSD6","0.0834","0.592","0.242","2","hsa-miR-6802-3p","hsa-miR-4722-3p","","","","",""
"MGLL","0.0288","0.592","0.135","2","hsa-miR-7151-5p","hsa-miR-1253","","","","",""
"MIB2","0.122","0.592","0.129","1","hsa-miR-6722-3p","","","","","",""
"MIDN","0.204","0.592","0.587","4","hsa-miR-7854-3p","hsa-miR-3130-3p","hsa-miR-6722-3p","hsa-miR-6769b-5p","","",""
"MIEF2","0.271","0.592","0.312","1","hsa-miR-6722-3p","","","","","",""
"MIGA1","0.103","0.592","0.275","2","hsa-miR-4722-3p","hsa-miR-7703","","","","",""
"MINDY1","0.255","0.592","0.291","1","hsa-miR-4722-3p","","","","","",""
"MIPOL1","0.302","0.592","0.356","1","hsa-miR-4722-3p","","","","","",""
"MITF","0.287","0.592","0.334","1","hsa-miR-371b-5p","","","","","",""
"MKI67","0.0597","0.592","0.302","3","hsa-miR-5587-5p","hsa-miR-4722-3p","hsa-miR-548h-5p","","","",""
"MKKS","0.230","0.592","0.259","1","hsa-miR-412-3p","","","","","",""
"MMAB","0.0229","0.592","0.277","4","hsa-miR-3130-3p","hsa-miR-4524b-5p","hsa-miR-7854-3p","hsa-miR-371b-5p","","",""
"MOB1A","0.279","0.592","0.323","1","hsa-miR-6847-3p","","","","","",""
"MOB3A","0.216","0.592","0.436","2","hsa-miR-6829-3p","hsa-miR-218-2-3p","","","","",""
"MOB4","0.0668","0.592","0.316","3","hsa-miR-4524b-5p","hsa-miR-4722-3p","hsa-miR-5587-5p","","","",""
"MOCS3","0.124","0.592","0.307","2","hsa-miR-218-2-3p","hsa-miR-7703","","","","",""
"MOG","0.325","0.592","0.388","1","hsa-miR-6829-3p","","","","","",""
"MON2","0.279","0.592","0.323","1","hsa-miR-371b-5p","","","","","",""
"MORC3","0.178","0.592","0.194","1","hsa-miR-218-2-3p","","","","","",""
"MPLKIP","0.159","0.592","0.463","3","hsa-miR-1253","hsa-miR-4722-3p","hsa-miR-4282","","","",""
"MPP2","0.158","0.592","0.356","2","hsa-miR-1229-3p","hsa-miR-6769b-5p","","","","",""
"MPV17L","0.263","0.592","0.302","1","hsa-miR-371b-5p","","","","","",""
"MPZL3","0.279","0.592","0.323","1","hsa-miR-7703","","","","","",""
