"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"AKAP2","0.143","0.592","0.334","2","hsa-miR-4741","hsa-miR-6829-3p","","","","",""
"AKAP5","0.0740","0.592","0.226","2","hsa-miR-6847-3p","hsa-miR-1253","","","","",""
"AKIRIN1","0.208","0.592","0.426","2","hsa-miR-7854-3p","hsa-miR-4722-3p","","","","",""
"AKT1S1","0.124","0.592","0.307","2","hsa-miR-4741","hsa-miR-4749-5p","","","","",""
"AKT3","0.0999","0.592","0.269","2","hsa-miR-4524b-5p","hsa-miR-7854-3p","","","","",""
"ALDH18A1","0.113","0.592","0.119","1","hsa-miR-4282","","","","","",""
"ALDH1L2","0.103","0.592","0.108","1","hsa-miR-4722-3p","","","","","",""
"ALDH5A1","0.0771","0.592","0.232","2","hsa-miR-4722-3p","hsa-miR-6847-3p","","","","",""
"ALDH6A1","0.0192","0.592","0.194","3","hsa-miR-6829-3p","hsa-miR-4282","hsa-miR-6847-3p","","","",""
"ALDH7A1","0.00811","0.592","0.0700","2","hsa-miR-5585-3p","hsa-miR-4722-3p","","","","",""
"ALG14","0.0743","0.592","0.330","3","hsa-miR-1253","hsa-miR-7703","hsa-miR-7854-3p","","","",""
"ALG8","0.150","0.592","0.162","1","hsa-miR-7854-3p","","","","","",""
"ALG9","0.322","0.592","0.576","2","hsa-miR-548h-5p","hsa-miR-7703","","","","",""
"ALKBH1","0.0831","0.592","0.0862","1","hsa-miR-5587-5p","","","","","",""
"ALS2","0.0320","0.592","0.0323","1","hsa-miR-1229-3p","","","","","",""
"ALX1","0.187","0.592","0.205","1","hsa-miR-7854-3p","","","","","",""
"AMER3","0.141","0.592","0.151","1","hsa-miR-7703","","","","","",""
"AMOT","0.221","0.592","0.248","1","hsa-miR-371b-5p","","","","","",""
"AMOTL1","0.169","0.592","0.372","2","hsa-miR-371b-5p","hsa-miR-7151-5p","","","","",""
"ANAPC16","0.128","0.592","0.312","2","hsa-miR-371b-5p","hsa-miR-6847-3p","","","","",""
"ANGPT4","0.0513","0.592","0.284","3","hsa-miR-7703","hsa-miR-371b-5p","hsa-miR-5587-5p","","","",""
"ANGPTL3","0.173","0.592","0.377","2","hsa-miR-548h-5p","hsa-miR-6829-3p","","","","",""
"ANGPTL7","0.213","0.592","0.237","1","hsa-miR-6829-3p","","","","","",""
"ANKFY1","0.285","0.592","0.528","2","hsa-miR-7703","hsa-miR-5591-5p","","","","",""
"ANKRD18A","0.246","0.592","0.280","1","hsa-miR-6829-3p","","","","","",""
"ANKRD42","0.0932","0.592","0.259","2","hsa-miR-7703","hsa-miR-3130-3p","","","","",""
"ANKRD62","0.332","0.592","0.399","1","hsa-miR-4722-3p","","","","","",""
"ANKS1A","0.325","0.592","0.388","1","hsa-miR-6847-3p","","","","","",""
"ANO7","0.187","0.592","0.205","1","hsa-miR-4722-3p","","","","","",""
"ANP32B","0.200","0.592","0.415","2","hsa-miR-548h-5p","hsa-miR-6769b-5p","","","","",""
"ANTXR1","0.204","0.592","0.226","1","hsa-miR-412-3p","","","","","",""
"ANXA11","0.271","0.592","0.312","1","hsa-miR-4741","","","","","",""
"AP1G1","0.0899","0.592","0.253","2","hsa-miR-7151-5p","hsa-miR-5591-5p","","","","",""
"AP1S3","0.132","0.592","0.318","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"AP2B1","0.0591","0.592","0.199","2","hsa-miR-7703","hsa-miR-4524b-5p","","","","",""
"AP2M1","0.169","0.592","0.372","2","hsa-miR-1229-3p","hsa-miR-6769b-5p","","","","",""
"AP3M1","0.310","0.592","0.366","1","hsa-miR-4722-3p","","","","","",""
"APBB3","0.103","0.592","0.108","1","hsa-miR-3130-3p","","","","","",""
"APH1A","0.0899","0.592","0.253","2","hsa-miR-7854-3p","hsa-miR-6769b-5p","","","","",""
"API5","0.187","0.592","0.205","1","hsa-miR-6802-3p","","","","","",""
"APOB","0.113","0.592","0.119","1","hsa-miR-7151-5p","","","","","",""
"APOL1","0.169","0.592","0.183","1","hsa-miR-4722-3p","","","","","",""
"APOL4","0.195","0.592","0.215","1","hsa-miR-412-3p","","","","","",""
"APOM","0.132","0.592","0.140","1","hsa-miR-5591-5p","","","","","",""
"APTX","0.0649","0.592","0.210","2","hsa-miR-6829-3p","hsa-miR-4722-3p","","","","",""
"ARC","0.332","0.592","0.399","1","hsa-miR-134-3p","","","","","",""
"ARFGEF1","0.0333","0.592","0.145","2","hsa-miR-4722-3p","hsa-miR-7703","","","","",""
"ARHGAP26","0.160","0.592","0.172","1","hsa-miR-4722-3p","","","","","",""
"ARHGAP29","0.325","0.592","0.388","1","hsa-miR-6829-3p","","","","","",""
"ARHGEF12","0.0930","0.592","0.0970","1","hsa-miR-660-5p","","","","","",""
"ARHGEF18","0.221","0.592","0.248","1","hsa-miR-4741","","","","","",""
"ARHGEF19","0.0528","0.592","0.0539","1","hsa-miR-4722-3p","","","","","",""
"ARHGEF39","0.158","0.592","0.356","2","hsa-miR-4722-3p","hsa-miR-371b-5p","","","","",""
"ARHGEF6","0.204","0.592","0.226","1","hsa-miR-1253","","","","","",""
"ARID5B","0.204","0.592","0.420","2","hsa-miR-371b-5p","hsa-miR-218-2-3p","","","","",""
"ARIH2","0.0429","0.592","0.167","2","hsa-miR-6769b-5p","hsa-miR-7854-3p","","","","",""
"ARL10","0.165","0.592","0.470","3","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-7703","","","",""
"ARL6IP4","0.271","0.592","0.312","1","hsa-miR-6722-3p","","","","","",""
"ARL8A","0.224","0.592","0.447","2","hsa-miR-4749-5p","hsa-miR-5591-5p","","","","",""
"ARMC12","0.160","0.592","0.172","1","hsa-miR-1253","","","","","",""
"ARMCX6","0.0246","0.592","0.124","2","hsa-miR-5585-3p","hsa-miR-7151-5p","","","","",""
"ARNTL2","0.195","0.592","0.215","1","hsa-miR-7703","","","","","",""
"ASAH2","0.279","0.592","0.323","1","hsa-miR-4524b-5p","","","","","",""
"ASAH2B","0.213","0.592","0.237","1","hsa-miR-4524b-5p","","","","","",""
"ASB16","0.306","0.592","0.646","3","hsa-miR-6769b-5p","hsa-miR-6829-3p","hsa-miR-4722-3p","","","",""
"ASB7","0.169","0.592","0.183","1","hsa-miR-6829-3p","","","","","",""
"ASCC1","0.271","0.592","0.312","1","hsa-miR-4524b-5p","","","","","",""
"ASCL2","0.332","0.592","0.399","1","hsa-miR-134-3p","","","","","",""
"ASH2L","0.0189","0.592","0.108","2","hsa-miR-371b-5p","hsa-miR-1253","","","","",""
"ASPH","0.317","0.592","0.377","1","hsa-miR-7854-3p","","","","","",""
"ASXL3","0.263","0.592","0.302","1","hsa-miR-6722-3p","","","","","",""
"ATAD2","0.317","0.592","0.377","1","hsa-miR-4282","","","","","",""
"ATF7IP2","0.113","0.592","0.119","1","hsa-miR-371b-5p","","","","","",""
"ATG7","0.271","0.592","0.312","1","hsa-miR-6802-3p","","","","","",""
"ATIC","0.339","0.592","0.409","1","hsa-miR-371b-5p","","","","","",""
"ATL2","0.0740","0.592","0.226","2","hsa-miR-7703","hsa-miR-6769b-5p","","","","",""
"ATOX1","0.294","0.592","0.345","1","hsa-miR-6722-3p","","","","","",""
"ATP13A4","0.0834","0.592","0.242","2","hsa-miR-7703","hsa-miR-660-5p","","","","",""
"ATP5A1","0.0614","0.592","0.305","3","hsa-miR-1229-3p","hsa-miR-371b-5p","hsa-miR-134-3p","","","",""
"ATP5G3","0.273","0.592","0.512","2","hsa-miR-4524b-5p","hsa-miR-548h-5p","","","","",""
"ATP8B3","0.255","0.592","0.291","1","hsa-miR-7703","","","","","",""
"ATP8B4","0.103","0.592","0.108","1","hsa-miR-5585-3p","","","","","",""
"ATRNL1","0.132","0.592","0.140","1","hsa-miR-4282","","","","","",""
"ATXN2","0.124","0.592","0.307","2","hsa-miR-4524b-5p","hsa-miR-6769b-5p","","","","",""
"ATXN7L1","0.287","0.592","0.334","1","hsa-miR-4282","","","","","",""
"ATXN7L3","0.237","0.592","0.463","2","hsa-miR-412-3p","hsa-miR-6722-3p","","","","",""
"AVL9","0.112","0.592","0.395","3","hsa-miR-7703","hsa-miR-5591-5p","hsa-miR-6847-3p","","","",""
"B3GALNT1","0.213","0.592","0.237","1","hsa-miR-412-3p","","","","","",""
"BACE2","0.281","0.592","0.523","2","hsa-miR-4722-3p","hsa-miR-371b-5p","","","","",""
"BAG2","0.263","0.592","0.302","1","hsa-miR-6847-3p","","","","","",""
"BAIAP2L1","0.0171","0.592","0.102","2","hsa-miR-4722-3p","hsa-miR-6829-3p","","","","",""
"BAK1","0.169","0.592","0.372","2","hsa-miR-5591-5p","hsa-miR-412-3p","","","","",""
"BAP1","0.0481","0.592","0.178","2","hsa-miR-1229-3p","hsa-miR-1227-5p","","","","",""
"BARD1","0.103","0.592","0.108","1","hsa-miR-6802-3p","","","","","",""
"BARHL1","0.0899","0.592","0.253","2","hsa-miR-4741","hsa-miR-4749-5p","","","","",""
"BARX2","0.169","0.592","0.183","1","hsa-miR-4741","","","","","",""
"BCAM","0.160","0.592","0.172","1","hsa-miR-6722-3p","","","","","",""
"BCL2L1","0.0801","0.592","0.415","4","hsa-miR-7854-3p","hsa-miR-4722-3p","hsa-miR-371b-5p","hsa-miR-6722-3p","","",""
"BCL3","0.325","0.592","0.388","1","hsa-miR-412-3p","","","","","",""
"BCL7B","0.0183","0.592","0.190","3","hsa-miR-4741","hsa-miR-6722-3p","hsa-miR-7854-3p","","","",""
"BCLAF3","0.332","0.592","0.399","1","hsa-miR-371b-5p","","","","","",""
"BET1L","0.0930","0.592","0.0970","1","hsa-miR-1229-3p","","","","","",""
"BFAR","0.160","0.592","0.172","1","hsa-miR-5587-5p","","","","","",""
"BICRAL","0.230","0.592","0.259","1","hsa-miR-7854-3p","","","","","",""
"BMPR1A","0.00581","0.592","0.239","5","hsa-miR-5585-3p","hsa-miR-1253","hsa-miR-6829-3p","hsa-miR-4722-3p","hsa-miR-6802-3p","",""
"BORCS5","0.339","0.592","0.409","1","hsa-miR-371b-5p","","","","","",""
"BRD2","0.310","0.592","0.366","1","hsa-miR-1229-3p","","","","","",""
"BRIP1","0.271","0.592","0.312","1","hsa-miR-7854-3p","","","","","",""
"BRIX1","0.277","0.592","0.517","2","hsa-miR-548h-5p","hsa-miR-5585-3p","","","","",""
"BRMS1","0.141","0.592","0.151","1","hsa-miR-6829-3p","","","","","",""
"BRPF1","0.325","0.592","0.388","1","hsa-miR-6769b-5p","","","","","",""
"BTK","0.0630","0.592","0.0646","1","hsa-miR-1253","","","","","",""
"BTN2A2","0.160","0.592","0.172","1","hsa-miR-6829-3p","","","","","",""
"BUB1","0.162","0.592","0.361","2","hsa-miR-4282","hsa-miR-6847-3p","","","","",""
"C11orf1","0.317","0.592","0.377","1","hsa-miR-4722-3p","","","","","",""
"C11orf24","0.332","0.592","0.399","1","hsa-miR-371b-5p","","","","","",""
"C11orf54","0.146","0.592","0.445","3","hsa-miR-4282","hsa-miR-4722-3p","hsa-miR-371b-5p","","","",""
"C12orf49","0.0375","0.592","0.323","4","hsa-miR-7854-3p","hsa-miR-5587-5p","hsa-miR-4749-5p","hsa-miR-1229-3p","","",""
"C14orf119","0.0740","0.592","0.226","2","hsa-miR-5591-5p","hsa-miR-6829-3p","","","","",""
"C14orf180","0.132","0.592","0.140","1","hsa-miR-412-3p","","","","","",""
"C14orf37","0.178","0.592","0.194","1","hsa-miR-1253","","","","","",""
"C16orf72","0.114","0.592","0.291","2","hsa-miR-6769b-5p","hsa-miR-371b-5p","","","","",""
