Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7
GIGYF1,0.13461538461538458,0.0095,0.61,0.359,7,hsa-miR-6734-3p,hsa-miR-4516,hsa-miR-6735-5p,hsa-miR-6769b-5p,hsa-miR-548ah-5p,hsa-miR-520d-3p,hsa-miR-6756-5p
TNRC6B,0.11538461538461542,0.0123,0.61,0.335,6,hsa-miR-29b-1-5p,hsa-miR-6715b-5p,hsa-miR-6756-5p,hsa-miR-520d-3p,hsa-miR-4511,hsa-miR-6734-3p,
LMNB2,0.11538461538461542,0.0233,0.61,0.385,6,hsa-miR-6735-5p,hsa-miR-5582-5p,hsa-miR-1205,hsa-miR-378c,hsa-miR-3975,hsa-miR-6756-5p,
TXNIP,0.11538461538461542,0.022,0.61,0.38,6,hsa-miR-520d-3p,hsa-miR-3975,hsa-miR-6735-5p,hsa-miR-29b-1-5p,hsa-miR-4511,hsa-miR-548ah-5p,
NFIC,0.11538461538461542,0.0431,0.61,0.444,6,hsa-miR-4727-5p,hsa-miR-6756-5p,hsa-miR-1205,hsa-miR-3975,hsa-miR-4516,hsa-miR-6815-5p,
FOXK1,0.09615384615384615,0.11,0.61,0.518,5,hsa-miR-548h-5p,hsa-miR-520d-3p,hsa-miR-134-3p,hsa-miR-548ah-5p,hsa-miR-6715b-5p,,
YWHAZ,0.09615384615384615,0.0552,0.61,0.424,5,hsa-miR-6769b-5p,hsa-miR-6756-5p,hsa-miR-548ah-5p,hsa-miR-134-3p,hsa-miR-4516,,
MIDN,0.09615384615384615,0.0609,0.61,0.436,5,hsa-miR-548ah-5p,hsa-miR-6735-5p,hsa-miR-6715b-5p,hsa-miR-6756-5p,hsa-miR-6769b-5p,,
GLO1,0.09615384615384615,0.00897,0.61,0.266,5,hsa-miR-6734-3p,hsa-miR-6815-5p,hsa-miR-4803,hsa-miR-548ah-5p,hsa-miR-520d-3p,,
LRRC58,0.09615384615384615,0.0438,0.61,0.398,5,hsa-miR-4516,hsa-miR-1205,hsa-miR-5582-5p,hsa-miR-6715b-5p,hsa-miR-520d-3p,,
SBNO1,0.09615384615384615,0.0132,0.61,0.292,5,hsa-miR-922,hsa-miR-520d-3p,hsa-miR-1205,hsa-miR-4516,hsa-miR-6735-5p,,
FEM1A,0.07692307692307687,0.191,0.61,0.573,4,hsa-miR-922,hsa-miR-520d-3p,hsa-miR-6769b-5p,hsa-miR-1205,,,
KIAA1191,0.07692307692307687,0.00438,0.61,0.173,4,hsa-miR-6815-5p,hsa-miR-3975,hsa-miR-548ah-5p,hsa-miR-134-3p,,,
