"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"ALOX15","0.150","0.458","0.162","1","hsa-miR-139-3p","","","",""
"AMDHD2","0.104","0.458","0.110","1","hsa-miR-139-3p","","","",""
"AMH","0.0993","0.458","0.104","1","hsa-miR-3178","","","",""
"AMPD3","0.145","0.458","0.156","1","hsa-miR-4472","","","",""
"ANAPC7","0.104","0.458","0.110","1","hsa-miR-3155b","","","",""
"ANKRD46","0.189","0.458","0.208","1","hsa-miR-937-5p","","","",""
"ANKRD52","0.177","0.458","0.384","2","hsa-miR-4462","hsa-miR-7846-3p","","",""
"ANP32B","0.0709","0.458","0.222","2","hsa-miR-548h-5p","hsa-miR-6769b-5p","","",""
"ANP32E","0.106","0.458","0.280","2","hsa-miR-6895-3p","hsa-miR-4647","","",""
"ANXA6","0.135","0.458","0.144","1","hsa-miR-3155b","","","",""
"AP2M1","0.0584","0.458","0.199","2","hsa-miR-4472","hsa-miR-6769b-5p","","",""
"APOC3","0.208","0.458","0.231","1","hsa-miR-6895-3p","","","",""
"ARHGAP15","0.130","0.458","0.139","1","hsa-miR-4647","","","",""
"ARHGAP29","0.189","0.458","0.208","1","hsa-miR-6895-3p","","","",""
"ARHGEF18","0.125","0.458","0.133","1","hsa-miR-6857-3p","","","",""
"ARIH2","0.165","0.458","0.179","1","hsa-miR-6769b-5p","","","",""
"ARL6IP4","0.155","0.458","0.167","1","hsa-miR-3155b","","","",""
"ASB6","0.111","0.458","0.289","2","hsa-miR-4749-5p","hsa-miR-3178","","",""
"ASCL2","0.194","0.458","0.214","1","hsa-miR-4472","","","",""
"ASPH","0.184","0.458","0.202","1","hsa-miR-4647","","","",""
"ATIC","0.199","0.458","0.219","1","hsa-miR-6895-3p","","","",""
"ATP1A2","0.150","0.458","0.162","1","hsa-miR-3155b","","","",""
"ATP6V1F","0.203","0.458","0.225","1","hsa-miR-3155b","","","",""
"ATP8B4","0.0563","0.458","0.0577","1","hsa-miR-6857-3p","","","",""
"ATPAF1","0.150","0.458","0.162","1","hsa-miR-4472","","","",""
"ATXN2","0.0413","0.458","0.164","2","hsa-miR-4472","hsa-miR-6769b-5p","","",""
"AXL","0.0993","0.458","0.104","1","hsa-miR-6895-3p","","","",""
"B4GALT5","0.0374","0.458","0.156","2","hsa-miR-4472","hsa-miR-139-3p","","",""
"BAIAP3","0.0229","0.458","0.0231","1","hsa-miR-4462","","","",""
"BAZ2B","0.203","0.458","0.225","1","hsa-miR-3178","","","",""
"BCAR1","0.0940","0.458","0.0981","1","hsa-miR-139-3p","","","",""
"BCAS4","0.0984","0.458","0.268","2","hsa-miR-937-5p","hsa-miR-3155b","","",""
"BCL3","0.189","0.458","0.208","1","hsa-miR-4647","","","",""
"BCL7A","0.0645","0.458","0.211","2","hsa-miR-4472","hsa-miR-6769b-5p","","",""
"BNC2","0.0454","0.458","0.173","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"BRPF1","0.0175","0.458","0.104","2","hsa-miR-4472","hsa-miR-6769b-5p","","",""
"BSDC1","0.135","0.458","0.144","1","hsa-miR-6895-3p","","","",""
"BSN","0.165","0.458","0.179","1","hsa-miR-3155b","","","",""
"BSND","0.160","0.458","0.173","1","hsa-miR-6895-3p","","","",""
"C10orf76","0.0725","0.458","0.225","2","hsa-miR-6769b-5p","hsa-miR-7846-3p","","",""
"C12orf49","0.150","0.458","0.346","2","hsa-miR-3155b","hsa-miR-4749-5p","","",""
"C14orf180","0.0726","0.458","0.0750","1","hsa-miR-139-3p","","","",""
"C19orf44","0.0672","0.458","0.0693","1","hsa-miR-4647","","","",""
"C2CD2L","0.140","0.458","0.150","1","hsa-miR-6895-3p","","","",""
"C2orf68","0.0887","0.458","0.0923","1","hsa-miR-3155b","","","",""
"C5orf38","0.0780","0.458","0.0808","1","hsa-miR-6769b-5p","","","",""
"C6orf223","0.0325","0.458","0.144","2","hsa-miR-6869-3p","hsa-miR-6769b-5p","","",""
"C8orf44-SGK3","0.125","0.458","0.133","1","hsa-miR-3155b","","","",""
"C9orf170","0.175","0.458","0.190","1","hsa-miR-4647","","","",""
"CADM2","0.0539","0.458","0.190","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"CALR","0.136","0.458","0.326","2","hsa-miR-4472","hsa-miR-4749-5p","","",""
"CAMK2A","0.155","0.458","0.167","1","hsa-miR-4472","","","",""
"CARNMT1","0.175","0.458","0.190","1","hsa-miR-937-5p","","","",""
"CASKIN2","0.135","0.458","0.144","1","hsa-miR-6769b-5p","","","",""
"CASZ1","0.203","0.458","0.225","1","hsa-miR-4749-5p","","","",""
"CCDC122","0.0342","0.458","0.0346","1","hsa-miR-3178","","","",""
"CCDC36","0.165","0.458","0.179","1","hsa-miR-139-3p","","","",""
"CCNK","0.120","0.458","0.127","1","hsa-miR-4647","","","",""
"CCNY","0.160","0.458","0.173","1","hsa-miR-4472","","","",""
"CD1D","0.203","0.458","0.225","1","hsa-miR-937-5p","","","",""
"CD244","0.0563","0.458","0.0577","1","hsa-miR-937-5p","","","",""
"CD276","0.0204","0.458","0.113","2","hsa-miR-4472","hsa-miR-6769b-5p","","",""
"CD300E","0.208","0.458","0.231","1","hsa-miR-6895-3p","","","",""
"CD3E","0.110","0.458","0.115","1","hsa-miR-3155b","","","",""
"CDC37","0.0214","0.458","0.115","2","hsa-miR-139-3p","hsa-miR-3178","","",""
"CDC6","0.150","0.458","0.162","1","hsa-miR-6895-3p","","","",""
"CDK16","0.175","0.458","0.190","1","hsa-miR-139-3p","","","",""
"CDK9","0.0374","0.458","0.156","2","hsa-miR-6895-3p","hsa-miR-7846-3p","","",""
"CEBPD","0.150","0.458","0.162","1","hsa-miR-4647","","","",""
"CEBPG","0.194","0.458","0.214","1","hsa-miR-937-5p","","","",""
"CELSR3","0.0614","0.458","0.205","2","hsa-miR-548h-5p","hsa-miR-6769b-5p","","",""
"CENPA","0.184","0.458","0.202","1","hsa-miR-6895-3p","","","",""
"CEP350","0.140","0.458","0.150","1","hsa-miR-4647","","","",""
"CFHR5","0.110","0.458","0.115","1","hsa-miR-6895-3p","","","",""
"CHAC1","0.146","0.458","0.341","2","hsa-miR-4472","hsa-miR-6857-3p","","",""
"CHERP","0.0984","0.458","0.268","2","hsa-miR-4749-5p","hsa-miR-6769b-5p","","",""
"CLCN7","0.165","0.458","0.179","1","hsa-miR-4749-5p","","","",""
"CLIC6","0.110","0.458","0.115","1","hsa-miR-937-5p","","","",""
"CLPP","0.135","0.458","0.144","1","hsa-miR-3155b","","","",""
"CMTM4","0.0413","0.458","0.164","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"CMTM6","0.0362","0.458","0.153","2","hsa-miR-4439","hsa-miR-6857-3p","","",""
"CNGA4","0.0618","0.458","0.0635","1","hsa-miR-3155b","","","",""
"COL18A1","0.208","0.458","0.231","1","hsa-miR-3155b","","","",""
"COL23A1","0.0993","0.458","0.104","1","hsa-miR-3155b","","","",""
