Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5
DIAPH1,0.03448275862068961,0.313,0.471,0.369,1,hsa-miR-6769b-5p,,,,
CLASP1,0.03448275862068961,0.313,0.471,0.369,1,hsa-miR-6769b-5p,,,,
CD3D,0.03448275862068961,0.313,0.471,0.369,1,hsa-miR-6895-3p,,,,
POLR2E,0.03448275862068961,0.375,0.49,0.462,1,hsa-miR-6769b-5p,,,,
CALHM5,0.03448275862068961,0.39,0.491,0.485,1,hsa-miR-6895-3p,,,,
PPTC7,0.03448275862068961,0.379,0.49,0.467,1,hsa-miR-4749-5p,,,,
METTL8,0.03448275862068961,0.462,0.526,0.606,1,hsa-miR-548h-5p,,,,
FKBP14,0.03448275862068961,0.472,0.53,0.623,1,hsa-miR-3155b,,,,
SVOP,0.03448275862068961,0.469,0.528,0.618,1,hsa-miR-548h-5p,,,,
SNRPD3,0.03448275862068961,0.469,0.528,0.618,1,hsa-miR-3155b,,,,
PAFAH1B2,0.03448275862068961,0.56,0.583,0.796,1,hsa-miR-548h-5p,,,,
SH3PXD2A,0.03448275862068961,0.465,0.528,0.612,1,hsa-miR-6769b-5p,,,,
PDE4C,0.03448275862068961,0.469,0.528,0.618,1,hsa-miR-4749-5p,,,,
MNT,0.03448275862068961,0.469,0.528,0.618,1,hsa-miR-4647,,,,
KATNAL1,0.03448275862068961,0.469,0.528,0.618,1,hsa-miR-548h-5p,,,,
HHIP,0.03448275862068961,0.469,0.528,0.618,1,hsa-miR-6895-3p,,,,
CAPN15,0.03448275862068961,0.469,0.528,0.618,1,hsa-miR-4472,,,,
ALG9,0.03448275862068961,0.469,0.528,0.618,1,hsa-miR-548h-5p,,,,
HSPA4L,0.03448275862068961,0.568,0.59,0.814,1,hsa-miR-937-5p,,,,
ONECUT3,0.03448275862068961,0.568,0.59,0.814,1,hsa-miR-4472,,,,
ACTB,0.03448275862068961,0.469,0.528,0.618,1,hsa-miR-937-5p,,,,
PER1,0.03448275862068961,0.462,0.526,0.606,1,hsa-miR-4749-5p,,,,
MSN,0.03448275862068961,0.472,0.53,0.623,1,hsa-miR-4472,,,,
MYO1F,0.03448275862068961,0.472,0.53,0.623,1,hsa-miR-6895-3p,,,,
NFAT5,0.03448275862068961,0.56,0.583,0.796,1,hsa-miR-4749-5p,,,,
ZBTB8B,0.03448275862068961,0.552,0.575,0.779,1,hsa-miR-3178,,,,
HOXA13,0.03448275862068961,0.481,0.535,0.641,1,hsa-miR-548h-5p,,,,
CCDC80,0.03448275862068961,0.552,0.575,0.779,1,hsa-miR-548h-5p,,,,
PTP4A1,0.03448275862068961,0.552,0.575,0.779,1,hsa-miR-548h-5p,,,,
BMPR1A,0.03448275862068961,0.481,0.535,0.641,1,hsa-miR-139-3p,,,,
TRPV2,0.03448275862068961,0.478,0.533,0.635,1,hsa-miR-4439,,,,
HNRNPA0,0.03448275862068961,0.478,0.533,0.635,1,hsa-miR-4472,,,,
CAPZA2,0.03448275862068961,0.478,0.533,0.635,1,hsa-miR-937-5p,,,,
NAV1,0.03448275862068961,0.472,0.53,0.623,1,hsa-miR-937-5p,,,,
ZNF154,0.03448275862068961,0.475,0.531,0.629,1,hsa-miR-548h-5p,,,,
SLC24A4,0.03448275862068961,0.475,0.531,0.629,1,hsa-miR-4647,,,,
SHISA9,0.03448275862068961,0.475,0.531,0.629,1,hsa-miR-548h-5p,,,,
RRP36,0.03448275862068961,0.475,0.531,0.629,1,hsa-miR-6769b-5p,,,,
QSOX1,0.03448275862068961,0.475,0.531,0.629,1,hsa-miR-6857-3p,,,,
KLF13,0.03448275862068961,0.475,0.531,0.629,1,hsa-miR-6769b-5p,,,,
NUCKS1,0.03448275862068961,0.462,0.526,0.606,1,hsa-miR-4647,,,,
ATF7IP,0.03448275862068961,0.462,0.526,0.606,1,hsa-miR-3155b,,,,
RGP1,0.03448275862068961,0.379,0.49,0.467,1,hsa-miR-4472,,,,
TMEM2,0.03448275862068961,0.459,0.524,0.6,1,hsa-miR-3155b,,,,
TGOLN2,0.03448275862068961,0.446,0.515,0.577,1,hsa-miR-6895-3p,,,,
LRRC3C,0.03448275862068961,0.446,0.515,0.577,1,hsa-miR-7846-3p,,,,
TRIM72,0.03448275862068961,0.591,0.611,0.866,1,hsa-miR-4647,,,,
HSP90AA1,0.03448275862068961,0.446,0.515,0.577,1,hsa-miR-548h-5p,,,,
TMEM41B,0.03448275862068961,0.442,0.512,0.571,1,hsa-miR-548h-5p,,,,
RNF19B,0.03448275862068961,0.442,0.512,0.571,1,hsa-miR-3155b,,,,
NFIB,0.03448275862068961,0.442,0.512,0.571,1,hsa-miR-6769b-5p,,,,
FSCN1,0.03448275862068961,0.442,0.512,0.571,1,hsa-miR-4749-5p,,,,
FBRS,0.03448275862068961,0.442,0.512,0.571,1,hsa-miR-6857-3p,,,,
IFNLR1,0.03448275862068961,0.594,0.613,0.871,1,hsa-miR-4647,,,,
MSANTD4,0.03448275862068961,0.594,0.613,0.871,1,hsa-miR-548h-5p,,,,
ZWINT,0.03448275862068961,0.439,0.511,0.566,1,hsa-miR-548h-5p,,,,
OTUD4,0.03448275862068961,0.439,0.511,0.566,1,hsa-miR-4749-5p,,,,
REL,0.03448275862068961,0.599,0.617,0.883,1,hsa-miR-6895-3p,,,,
NCKAP1,0.03448275862068961,0.439,0.511,0.566,1,hsa-miR-6895-3p,,,,
FOXN2,0.03448275862068961,0.449,0.517,0.583,1,hsa-miR-548h-5p,,,,
PRR14L,0.03448275862068961,0.449,0.517,0.583,1,hsa-miR-3155b,,,,
TTLL12,0.03448275862068961,0.449,0.517,0.583,1,hsa-miR-3155b,,,,
PLEKHM1,0.03448275862068961,0.456,0.522,0.594,1,hsa-miR-4472,,,,
PARP15,0.03448275862068961,0.459,0.524,0.6,1,hsa-miR-548h-5p,,,,
BACH1,0.03448275862068961,0.57,0.593,0.82,1,hsa-miR-548h-5p,,,,
GK5,0.03448275862068961,0.576,0.597,0.831,1,hsa-miR-6895-3p,,,,
MRPS16,0.03448275862068961,0.459,0.524,0.6,1,hsa-miR-6769b-5p,,,,
UBE2V1,0.03448275862068961,0.576,0.597,0.831,1,hsa-miR-4472,,,,
TMEM189-UBE2V1,0.03448275862068961,0.578,0.599,0.837,1,hsa-miR-4472,,,,
GNL3L,0.03448275862068961,0.456,0.522,0.594,1,hsa-miR-7846-3p,,,,
CCNF,0.03448275862068961,0.452,0.519,0.589,1,hsa-miR-3155b,,,,
TMEM189,0.03448275862068961,0.581,0.601,0.843,1,hsa-miR-4472,,,,
ZNF490,0.03448275862068961,0.452,0.519,0.589,1,hsa-miR-3178,,,,
SGPL1,0.03448275862068961,0.452,0.519,0.589,1,hsa-miR-6769b-5p,,,,
MRPL12,0.03448275862068961,0.452,0.519,0.589,1,hsa-miR-6769b-5p,,,,
SOCS7,0.03448275862068961,0.591,0.611,0.866,1,hsa-miR-6895-3p,,,,
CDK4,0.03448275862068961,0.452,0.519,0.589,1,hsa-miR-548h-5p,,,,
KMT2A,0.03448275862068961,0.481,0.535,0.641,1,hsa-miR-6769b-5p,,,,
FEM1C,0.03448275862068961,0.484,0.536,0.646,1,hsa-miR-548h-5p,,,,
HIST1H2BD,0.03448275862068961,0.484,0.536,0.646,1,hsa-miR-548h-5p,,,,
MAT2A,0.03448275862068961,0.484,0.536,0.646,1,hsa-miR-3155b,,,,
ZNF394,0.03448275862068961,0.515,0.55,0.704,1,hsa-miR-6895-3p,,,,
TNPO1,0.03448275862068961,0.512,0.55,0.698,1,hsa-miR-4647,,,,
TIAL1,0.03448275862068961,0.512,0.55,0.698,1,hsa-miR-6895-3p,,,,
SERBP1,0.03448275862068961,0.515,0.55,0.704,1,hsa-miR-4462,,,,
PDE12,0.03448275862068961,0.515,0.55,0.704,1,hsa-miR-548h-5p,,,,
MYC,0.03448275862068961,0.515,0.55,0.704,1,hsa-miR-4647,,,,
AMD1,0.03448275862068961,0.541,0.567,0.756,1,hsa-miR-6895-3p,,,,
MAZ,0.03448275862068961,0.515,0.55,0.704,1,hsa-miR-4472,,,,
KLHL21,0.03448275862068961,0.515,0.55,0.704,1,hsa-miR-139-3p,,,,
GPRC5A,0.03448275862068961,0.512,0.55,0.698,1,hsa-miR-6857-3p,,,,
KIF3A,0.03448275862068961,0.541,0.567,0.756,1,hsa-miR-548h-5p,,,,
FAM83F,0.03448275862068961,0.515,0.55,0.704,1,hsa-miR-6769b-5p,,,,
ZNF426,0.03448275862068961,0.541,0.567,0.756,1,hsa-miR-3178,,,,
CAPZA1,0.03448275862068961,0.515,0.55,0.704,1,hsa-miR-548h-5p,,,,
TRUB2,0.03448275862068961,0.509,0.549,0.693,1,hsa-miR-6895-3p,,,,
ZNF573,0.03448275862068961,0.512,0.55,0.698,1,hsa-miR-937-5p,,,,
TP53,0.03448275862068961,0.538,0.566,0.75,1,hsa-miR-937-5p,,,,
ACOT9,0.03448275862068961,0.518,0.552,0.71,1,hsa-miR-3155b,,,,
GRPEL2,0.03448275862068961,0.524,0.554,0.721,1,hsa-miR-548h-5p,,,,
VEGFA,0.03448275862068961,0.526,0.557,0.727,1,hsa-miR-6769b-5p,,,,
OCIAD2,0.03448275862068961,0.526,0.557,0.727,1,hsa-miR-937-5p,,,,
ZNF207,0.03448275862068961,0.524,0.554,0.721,1,hsa-miR-548h-5p,,,,
SUMO1,0.03448275862068961,0.524,0.554,0.721,1,hsa-miR-4472,,,,
SSBP2,0.03448275862068961,0.524,0.554,0.721,1,hsa-miR-139-3p,,,,
IRGQ,0.03448275862068961,0.524,0.554,0.721,1,hsa-miR-6895-3p,,,,
FGFR1OP,0.03448275862068961,0.524,0.554,0.721,1,hsa-miR-937-5p,,,,
GXYLT2,0.03448275862068961,0.518,0.552,0.71,1,hsa-miR-4472,,,,
FBXL18,0.03448275862068961,0.535,0.564,0.745,1,hsa-miR-4472,,,,
SIX4,0.03448275862068961,0.521,0.554,0.716,1,hsa-miR-548h-5p,,,,
CLPB,0.03448275862068961,0.538,0.566,0.75,1,hsa-miR-6769b-5p,,,,
SETD5,0.03448275862068961,0.538,0.566,0.75,1,hsa-miR-139-3p,,,,
SAMD8,0.03448275862068961,0.521,0.554,0.716,1,hsa-miR-548h-5p,,,,
YWHAE,0.03448275862068961,0.518,0.552,0.71,1,hsa-miR-548h-5p,,,,
