Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5
ZFP30,0.03448275862068961,0.345,0.482,0.416,1,hsa-miR-6895-3p,,,,
ZDHHC21,0.03448275862068961,0.349,0.482,0.421,1,hsa-miR-548h-5p,,,,
GIGYF1,0.03448275862068961,0.783,0.784,1.45,1,hsa-miR-6769b-5p,,,,
EFCAB11,0.03448275862068961,0.356,0.483,0.433,1,hsa-miR-937-5p,,,,
ERC1,0.03448275862068961,0.333,0.479,0.398,1,hsa-miR-4462,,,,
TRIOBP,0.03448275862068961,0.345,0.482,0.416,1,hsa-miR-6769b-5p,,,,
TRAF6,0.03448275862068961,0.341,0.482,0.41,1,hsa-miR-6769b-5p,,,,
TOR4A,0.03448275862068961,0.345,0.482,0.416,1,hsa-miR-4749-5p,,,,
TIAF1,0.03448275862068961,0.345,0.482,0.416,1,hsa-miR-548h-5p,,,,
SRCIN1,0.03448275862068961,0.352,0.482,0.427,1,hsa-miR-4749-5p,,,,
CSTF1,0.03448275862068961,0.356,0.483,0.433,1,hsa-miR-3178,,,,
LAMC1,0.03448275862068961,0.356,0.483,0.433,1,hsa-miR-4472,,,,
ZNF268,0.03448275862068961,0.36,0.484,0.439,1,hsa-miR-4439,,,,
ZNF516,0.03448275862068961,0.356,0.483,0.433,1,hsa-miR-4749-5p,,,,
TFAP4,0.03448275862068961,0.36,0.484,0.439,1,hsa-miR-4472,,,,
TAOK1,0.03448275862068961,0.747,0.75,1.31,1,hsa-miR-6769b-5p,,,,
PMPCA,0.03448275862068961,0.36,0.484,0.439,1,hsa-miR-6769b-5p,,,,
FOXRED2,0.03448275862068961,0.36,0.484,0.439,1,hsa-miR-6769b-5p,,,,
BAMBI,0.03448275862068961,0.36,0.484,0.439,1,hsa-miR-6895-3p,,,,
AGAP1,0.03448275862068961,0.36,0.484,0.439,1,hsa-miR-6869-3p,,,,
ZC3H7B,0.03448275862068961,0.356,0.483,0.433,1,hsa-miR-4472,,,,
BTG2,0.03448275862068961,0.777,0.779,1.43,1,hsa-miR-937-5p,,,,
YME1L1,0.03448275862068961,0.356,0.483,0.433,1,hsa-miR-3178,,,,
TJAP1,0.03448275862068961,0.356,0.483,0.433,1,hsa-miR-4472,,,,
PPFIBP1,0.03448275862068961,0.356,0.483,0.433,1,hsa-miR-6895-3p,,,,
GDE1,0.03448275862068961,0.753,0.755,1.33,1,hsa-miR-548h-5p,,,,
LMNB2,0.03448275862068961,0.753,0.755,1.33,1,hsa-miR-6857-3p,,,,
LSAMP,0.03448275862068961,0.356,0.483,0.433,1,hsa-miR-6895-3p,,,,
WDR13,0.03448275862068961,0.352,0.482,0.427,1,hsa-miR-139-3p,,,,
CLIP1,0.03448275862068961,0.329,0.478,0.392,1,hsa-miR-548h-5p,,,,
CLU,0.03448275862068961,0.333,0.479,0.398,1,hsa-miR-4749-5p,,,,
CARD8,0.03448275862068961,0.333,0.479,0.398,1,hsa-miR-6895-3p,,,,
PAK4,0.03448275862068961,0.288,0.466,0.335,1,hsa-miR-4749-5p,,,,
OGT,0.03448275862068961,0.288,0.466,0.335,1,hsa-miR-937-5p,,,,
NPY4R,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-6857-3p,,,,
MIEF1,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-139-3p,,,,
MC2R,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-6895-3p,,,,
MAP2K4,0.03448275862068961,0.288,0.466,0.335,1,hsa-miR-548h-5p,,,,
IPMK,0.03448275862068961,0.284,0.466,0.329,1,hsa-miR-548h-5p,,,,
HEATR5A,0.03448275862068961,0.284,0.466,0.329,1,hsa-miR-3155b,,,,
HCFC1,0.03448275862068961,0.284,0.466,0.329,1,hsa-miR-4749-5p,,,,
GNG12,0.03448275862068961,0.284,0.466,0.329,1,hsa-miR-4647,,,,
FOS,0.03448275862068961,0.288,0.466,0.335,1,hsa-miR-937-5p,,,,
FBXO45,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-6769b-5p,,,,
EFNA5,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-548h-5p,,,,
DCAF16,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-6895-3p,,,,
CRNKL1,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-548h-5p,,,,
PDK3,0.03448275862068961,0.288,0.466,0.335,1,hsa-miR-6895-3p,,,,
PEAK1,0.03448275862068961,0.288,0.466,0.335,1,hsa-miR-6895-3p,,,,
PLEKHG3,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-6769b-5p,,,,
B4GALT7,0.03448275862068961,0.296,0.468,0.346,1,hsa-miR-6895-3p,,,,
PVR,0.03448275862068961,0.296,0.468,0.346,1,hsa-miR-139-3p,,,,
MICAL2,0.03448275862068961,0.296,0.468,0.346,1,hsa-miR-6857-3p,,,,
KLHL26,0.03448275862068961,0.296,0.468,0.346,1,hsa-miR-3155b,,,,
FZR1,0.03448275862068961,0.296,0.468,0.346,1,hsa-miR-6769b-5p,,,,
CRAMP1,0.03448275862068961,0.296,0.468,0.346,1,hsa-miR-937-5p,,,,
CDKL2,0.03448275862068961,0.296,0.468,0.346,1,hsa-miR-548h-5p,,,,
ZBTB38,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-548h-5p,,,,
PMEPA1,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-3155b,,,,
SUZ12,0.03448275862068961,0.284,0.466,0.329,1,hsa-miR-4647,,,,
SLC35E2B,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-937-5p,,,,
SIX3,0.03448275862068961,0.284,0.466,0.329,1,hsa-miR-4472,,,,
SCUBE3,0.03448275862068961,0.288,0.466,0.335,1,hsa-miR-6857-3p,,,,
RSBN1,0.03448275862068961,0.284,0.466,0.329,1,hsa-miR-548h-5p,,,,
RNF152,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-6857-3p,,,,
CALM2,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-4439,,,,
CACNA1A,0.03448275862068961,0.292,0.466,0.341,1,hsa-miR-4749-5p,,,,
C1D,0.03448275862068961,0.288,0.466,0.335,1,hsa-miR-4749-5p,,,,
TARDBP,0.03448275862068961,0.253,0.462,0.289,1,hsa-miR-7846-3p,,,,
UBE2G1,0.03448275862068961,0.24,0.462,0.271,1,hsa-miR-139-3p,,,,
UBE2D2,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-548h-5p,,,,
UBE2D1,0.03448275862068961,0.258,0.462,0.294,1,hsa-miR-548h-5p,,,,
TMEM50A,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-4472,,,,
TMEM241,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-548h-5p,,,,
THRAP3,0.03448275862068961,0.236,0.462,0.265,1,hsa-miR-548h-5p,,,,
TACR3,0.03448275862068961,0.245,0.462,0.277,1,hsa-miR-6895-3p,,,,
UBXN7,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-6895-3p,,,,
TAB1,0.03448275862068961,0.253,0.462,0.289,1,hsa-miR-6895-3p,,,,
STON2,0.03448275862068961,0.271,0.462,0.312,1,hsa-miR-6857-3p,,,,
SRSF10,0.03448275862068961,0.24,0.462,0.271,1,hsa-miR-3155b,,,,
SRP9,0.03448275862068961,0.245,0.462,0.277,1,hsa-miR-4439,,,,
SRP19,0.03448275862068961,0.236,0.462,0.265,1,hsa-miR-6895-3p,,,,
SPRY1,0.03448275862068961,0.231,0.462,0.26,1,hsa-miR-4647,,,,
UBL5,0.03448275862068961,0.231,0.462,0.26,1,hsa-miR-4472,,,,
UFM1,0.03448275862068961,0.258,0.462,0.294,1,hsa-miR-6895-3p,,,,
ANKEF1,0.03448275862068961,0.284,0.466,0.329,1,hsa-miR-548h-5p,,,,
NME6,0.03448275862068961,0.279,0.464,0.323,1,hsa-miR-3155b,,,,
YAP1,0.03448275862068961,0.279,0.464,0.323,1,hsa-miR-548h-5p,,,,
VDAC2,0.03448275862068961,0.279,0.464,0.323,1,hsa-miR-548h-5p,,,,
U2AF2,0.03448275862068961,0.279,0.464,0.323,1,hsa-miR-3178,,,,
STK40,0.03448275862068961,0.279,0.464,0.323,1,hsa-miR-3155b,,,,
SLC10A3,0.03448275862068961,0.279,0.464,0.323,1,hsa-miR-4472,,,,
PIN1,0.03448275862068961,0.279,0.464,0.323,1,hsa-miR-4472,,,,
LIN7C,0.03448275862068961,0.279,0.464,0.323,1,hsa-miR-3155b,,,,
USP53,0.03448275862068961,0.262,0.462,0.3,1,hsa-miR-548h-5p,,,,
CYP2W1,0.03448275862068961,0.279,0.464,0.323,1,hsa-miR-4472,,,,
ZNF611,0.03448275862068961,0.249,0.462,0.283,1,hsa-miR-6857-3p,,,,
ZNF28,0.03448275862068961,0.266,0.462,0.306,1,hsa-miR-6769b-5p,,,,
ZMIZ2,0.03448275862068961,0.275,0.462,0.317,1,hsa-miR-139-3p,,,,
ZFP36,0.03448275862068961,0.266,0.462,0.306,1,hsa-miR-4472,,,,
XRCC3,0.03448275862068961,0.236,0.462,0.265,1,hsa-miR-6769b-5p,,,,
RBM8A,0.03448275862068961,0.296,0.468,0.346,1,hsa-miR-139-3p,,,,
SLC43A3,0.03448275862068961,0.296,0.468,0.346,1,hsa-miR-548h-5p,,,,
ERVMER34-1,0.03448275862068961,0.3,0.468,0.352,1,hsa-miR-3155b,,,,
THAP6,0.03448275862068961,0.317,0.473,0.375,1,hsa-miR-3155b,,,,
KNSTRN,0.03448275862068961,0.321,0.475,0.381,1,hsa-miR-937-5p,,,,
ENTPD5,0.03448275862068961,0.321,0.475,0.381,1,hsa-miR-6769b-5p,,,,
COX10,0.03448275862068961,0.321,0.475,0.381,1,hsa-miR-4472,,,,
CCDC117,0.03448275862068961,0.321,0.475,0.381,1,hsa-miR-139-3p,,,,
C3orf36,0.03448275862068961,0.321,0.475,0.381,1,hsa-miR-4749-5p,,,,
BVES,0.03448275862068961,0.321,0.475,0.381,1,hsa-miR-3178,,,,
TBRG1,0.03448275862068961,0.317,0.473,0.375,1,hsa-miR-3155b,,,,
SLC10A7,0.03448275862068961,0.321,0.475,0.381,1,hsa-miR-4749-5p,,,,
RPL24,0.03448275862068961,0.317,0.473,0.375,1,hsa-miR-3178,,,,
PLD3,0.03448275862068961,0.317,0.473,0.375,1,hsa-miR-4472,,,,
LIX1L,0.03448275862068961,0.317,0.473,0.375,1,hsa-miR-6895-3p,,,,
KRT80,0.03448275862068961,0.317,0.473,0.375,1,hsa-miR-139-3p,,,,
ITGB8,0.03448275862068961,0.317,0.473,0.375,1,hsa-miR-548h-5p,,,,
CEP120,0.03448275862068961,0.317,0.473,0.375,1,hsa-miR-548h-5p,,,,
MPP2,0.03448275862068961,0.321,0.475,0.381,1,hsa-miR-6769b-5p,,,,
ATG2A,0.03448275862068961,0.325,0.477,0.387,1,hsa-miR-139-3p,,,,
ZBTB4,0.03448275862068961,0.309,0.471,0.364,1,hsa-miR-3155b,,,,
MCC,0.03448275862068961,0.329,0.478,0.392,1,hsa-miR-548h-5p,,,,
ABCF3,0.03448275862068961,0.333,0.479,0.398,1,hsa-miR-6895-3p,,,,
UBE2Q1,0.03448275862068961,0.329,0.478,0.392,1,hsa-miR-6769b-5p,,,,
TOR1B,0.03448275862068961,0.329,0.478,0.392,1,hsa-miR-7846-3p,,,,
TMEM91,0.03448275862068961,0.329,0.478,0.392,1,hsa-miR-4647,,,,
SLC5A3,0.03448275862068961,0.329,0.478,0.392,1,hsa-miR-548h-5p,,,,
NPM3,0.03448275862068961,0.329,0.478,0.392,1,hsa-miR-548h-5p,,,,
KIF2C,0.03448275862068961,0.329,0.478,0.392,1,hsa-miR-548h-5p,,,,
CRTAP,0.03448275862068961,0.325,0.477,0.387,1,hsa-miR-3155b,,,,
KIAA1586,0.03448275862068961,0.329,0.478,0.392,1,hsa-miR-548h-5p,,,,
B3GALNT2,0.03448275862068961,0.329,0.478,0.392,1,hsa-miR-4472,,,,
TFRC,0.03448275862068961,0.325,0.477,0.387,1,hsa-miR-6895-3p,,,,
PEA15,0.03448275862068961,0.325,0.477,0.387,1,hsa-miR-6769b-5p,,,,
FN3K,0.03448275862068961,0.325,0.477,0.387,1,hsa-miR-139-3p,,,,
CSTF2,0.03448275862068961,0.325,0.477,0.387,1,hsa-miR-4472,,,,
ZNF280B,0.03448275862068961,0.309,0.471,0.364,1,hsa-miR-6895-3p,,,,
XPNPEP3,0.03448275862068961,0.313,0.471,0.369,1,hsa-miR-6895-3p,,,,
GDF5OS,0.03448275862068961,0.3,0.468,0.352,1,hsa-miR-139-3p,,,,
VGLL4,0.03448275862068961,0.3,0.468,0.352,1,hsa-miR-4749-5p,,,,
KPNA1,0.03448275862068961,0.305,0.47,0.358,1,hsa-miR-548h-5p,,,,
FICD,0.03448275862068961,0.305,0.47,0.358,1,hsa-miR-4647,,,,
FGF19,0.03448275862068961,0.305,0.47,0.358,1,hsa-miR-6769b-5p,,,,
EHD2,0.03448275862068961,0.305,0.47,0.358,1,hsa-miR-7846-3p,,,,
EFNA1,0.03448275862068961,0.305,0.47,0.358,1,hsa-miR-6769b-5p,,,,
ANKRD36,0.03448275862068961,0.305,0.47,0.358,1,hsa-miR-3155b,,,,
TIRAP,0.03448275862068961,0.3,0.468,0.352,1,hsa-miR-3155b,,,,
METTL21A,0.03448275862068961,0.305,0.47,0.358,1,hsa-miR-6769b-5p,,,,
SSR3,0.03448275862068961,0.3,0.468,0.352,1,hsa-miR-3178,,,,
RAB8B,0.03448275862068961,0.3,0.468,0.352,1,hsa-miR-548h-5p,,,,
POLD3,0.03448275862068961,0.3,0.468,0.352,1,hsa-miR-4472,,,,
PDGFRA,0.03448275862068961,0.3,0.468,0.352,1,hsa-miR-139-3p,,,,
PARVB,0.03448275862068961,0.3,0.468,0.352,1,hsa-miR-3155b,,,,
MFSD9,0.03448275862068961,0.3,0.468,0.352,1,hsa-miR-548h-5p,,,,
MAST3,0.03448275862068961,0.305,0.47,0.358,1,hsa-miR-3178,,,,
CAD,0.03448275862068961,0.313,0.471,0.369,1,hsa-miR-4647,,,,
WDR45B,0.03448275862068961,0.309,0.471,0.364,1,hsa-miR-139-3p,,,,
NAV2,0.03448275862068961,0.313,0.471,0.369,1,hsa-miR-6895-3p,,,,
VPS8,0.03448275862068961,0.313,0.471,0.369,1,hsa-miR-6769b-5p,,,,
TMEM30B,0.03448275862068961,0.313,0.471,0.369,1,hsa-miR-548h-5p,,,,
SPC25,0.03448275862068961,0.309,0.471,0.364,1,hsa-miR-548h-5p,,,,
PTDSS2,0.03448275862068961,0.313,0.471,0.369,1,hsa-miR-3178,,,,
PLEC,0.03448275862068961,0.313,0.471,0.369,1,hsa-miR-4472,,,,
NCOR2,0.03448275862068961,0.313,0.471,0.369,1,hsa-miR-3178,,,,
MDK,0.03448275862068961,0.309,0.471,0.364,1,hsa-miR-6769b-5p,,,,
CCL16,0.03448275862068961,0.309,0.471,0.364,1,hsa-miR-6895-3p,,,,
LYRM2,0.03448275862068961,0.313,0.471,0.369,1,hsa-miR-548h-5p,,,,
INMT,0.03448275862068961,0.309,0.471,0.364,1,hsa-miR-6769b-5p,,,,
GPR26,0.03448275862068961,0.313,0.471,0.369,1,hsa-miR-3155b,,,,
