Gene Symbol,Source,Number of interactions,Targeting miRNAs
PEX26,CTRL.S1,6,"hsa-miR-4675, hsa-miR-1307-3p, hsa-miR-4706, hsa-miR-4728-5p, hsa-miR-663a, hsa-miR-6787-5p"
ALDOA,CTRL.S1,6,"hsa-miR-6131, hsa-miR-4787-5p, hsa-miR-1233-5p, hsa-miR-4687-5p, hsa-miR-4728-5p, hsa-miR-6805-5p"
ABI2,CTRL.S1,6,"hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4728-5p, hsa-miR-1233-5p, hsa-miR-4648, hsa-miR-8059"
CCNT1,CTRL.S1,6,"hsa-miR-6802-5p, hsa-miR-6800-5p, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-1343-3p, hsa-miR-8073"
LARP1,CTRL.S1,6,"hsa-miR-1343-3p, hsa-miR-3184-5p, hsa-miR-4687-5p, hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-92b-5p"
TXNIP,S3.S4,6,"hsa-miR-520d-3p, hsa-miR-3975, hsa-miR-6735-5p, hsa-miR-29b-1-5p, hsa-miR-4511, hsa-miR-548ah-5p"
OTUD7B,S2.S3,6,"hsa-miR-1229-3p, hsa-miR-371b-5p, hsa-miR-4282, hsa-miR-7703, hsa-miR-6847-3p, hsa-miR-7854-3p"
LMNB2,S3.S4,6,"hsa-miR-6735-5p, hsa-miR-5582-5p, hsa-miR-1205, hsa-miR-378c, hsa-miR-3975, hsa-miR-6756-5p"
NFIC,S3.S4,6,"hsa-miR-4727-5p, hsa-miR-6756-5p, hsa-miR-1205, hsa-miR-3975, hsa-miR-4516, hsa-miR-6815-5p"
KDELR1,S2.S3,6,"hsa-miR-1227-5p, hsa-miR-3130-3p, hsa-miR-5585-3p, hsa-miR-6829-3p, hsa-miR-4722-3p, hsa-miR-6802-3p"
NUDT3,S2.S3,6,"hsa-miR-7703, hsa-miR-5587-5p, hsa-miR-4282, hsa-miR-371b-5p, hsa-miR-1253, hsa-miR-6769b-5p"
RAD51,S2.S3,6,"hsa-miR-7854-3p, hsa-miR-4722-3p, hsa-miR-371b-5p, hsa-miR-6847-3p, hsa-miR-7703, hsa-miR-6722-3p"
SKI,S2.S3,6,"hsa-miR-4524b-5p, hsa-miR-6722-3p, hsa-miR-4282, hsa-miR-371b-5p, hsa-miR-1227-5p, hsa-miR-4741"
PIGO,S2.S3,6,"hsa-miR-371b-5p, hsa-miR-6829-3p, hsa-miR-4722-3p, hsa-miR-1227-5p, hsa-miR-6802-3p, hsa-miR-412-3p"
CBX6,CTRL.S1,6,"hsa-miR-3184-5p, hsa-miR-1233-5p, hsa-miR-4728-5p, hsa-miR-6090, hsa-miR-6756-5p, hsa-miR-6766-5p"
ARL8A,CTRL.S1,6,"hsa-miR-4728-5p, hsa-miR-3184-5p, hsa-miR-1228-5p, hsa-miR-4706, hsa-miR-663a, hsa-miR-6787-5p"
AHDC1,CTRL.S1,6,"hsa-miR-1233-5p, hsa-miR-3184-5p, hsa-miR-4728-5p, hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-6805-5p"
RAB1B,CTRL.S1,6,"hsa-miR-1233-5p, hsa-miR-4648, hsa-miR-4690-5p, hsa-miR-4728-5p, hsa-miR-6756-5p, hsa-miR-6766-5p"
YWHAZ,CTRL.S1,6,"hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-320a, hsa-miR-1233-5p, hsa-miR-4648, hsa-miR-4728-5p"
TPM3,CTRL.S1,6,"hsa-miR-4648, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-6746-5p, hsa-miR-197-5p, hsa-miR-4687-5p"
LRRC58,CTRL.S1,6,"hsa-miR-1343-3p, hsa-miR-4525, hsa-miR-6131, hsa-miR-4732-5p, hsa-miR-4532, hsa-miR-4690-5p"
UBE2Q1,CTRL.S1,6,"hsa-miR-6802-5p, hsa-miR-4758-5p, hsa-miR-1238-5p, hsa-miR-6800-5p, hsa-miR-4648, hsa-miR-197-5p"
ZNF385A,CTRL.S1,6,"hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-6805-5p, hsa-miR-1307-3p"
METTL14,CTRL.S1,6,"hsa-miR-1233-5p, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4728-5p, hsa-miR-1343-3p, hsa-miR-1307-3p"
CRISPLD2,CTRL.S1,6,"hsa-miR-1233-5p, hsa-miR-4728-5p, hsa-miR-6131, hsa-miR-4532, hsa-miR-1307-3p, hsa-miR-1203"
ADGRL1,CTRL.S1,6,"hsa-miR-1233-5p, hsa-miR-197-5p, hsa-miR-4675, hsa-miR-4728-5p, hsa-miR-6756-5p, hsa-miR-6766-5p"
TP53,CTRL.S1,6,"hsa-miR-1233-5p, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4728-5p, hsa-miR-663a, hsa-miR-4276"
C3orf36,CTRL.S1,6,"hsa-miR-3184-5p, hsa-miR-4758-5p, hsa-miR-1238-5p, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-4706"
NEUROD2,CTRL.S1,6,"hsa-miR-4728-5p, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-6805-5p, hsa-miR-6784-5p, hsa-miR-4532"
HDGF,CTRL.S1,6,"hsa-miR-6090, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-1233-5p, hsa-miR-3184-5p, hsa-miR-4732-5p"
SRCIN1,CTRL.S1,6,"hsa-miR-92b-5p, hsa-miR-4706, hsa-miR-4728-5p, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-6746-5p"
DSN1,CTRL.S1,6,"hsa-miR-4687-5p, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4728-5p, hsa-miR-4532, hsa-miR-6746-5p"
LSG1,CTRL.S1,6,"hsa-miR-1233-5p, hsa-miR-1228-5p, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4728-5p, hsa-miR-575"
ARHGAP31,CTRL.S1,6,"hsa-miR-4730, hsa-miR-4728-5p, hsa-miR-663a, hsa-miR-6787-5p, hsa-miR-4706, hsa-miR-6131"
H2AFX,CTRL.S1,6,"hsa-miR-320a, hsa-miR-6090, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-4706, hsa-miR-6131"
COX6B1,CTRL.S1,6,"hsa-miR-320a, hsa-miR-4690-5p, hsa-miR-1343-3p, hsa-miR-4728-5p, hsa-miR-4675, hsa-miR-6131"
KMT2D,CTRL.S1,6,"hsa-miR-320a, hsa-miR-4525, hsa-miR-4706, hsa-miR-1233-5p, hsa-miR-4728-5p, hsa-miR-6090"
STMN3,CTRL.S1,6,"hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4525, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-4787-5p"
FEM1A,S1.S2,5,"hsa-miR-4472, hsa-miR-4439, hsa-miR-6857-3p, hsa-miR-6769b-5p, hsa-miR-3178"
NUP62,CTRL.S1,5,"hsa-miR-6131, hsa-miR-1203, hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-6800-5p"
MED28,S1.S2,5,"hsa-miR-3178, hsa-miR-4439, hsa-miR-6857-3p, hsa-miR-4647, hsa-miR-6769b-5p"
NPLOC4,CTRL.S1,5,"hsa-miR-320a, hsa-miR-1233-5p, hsa-miR-4648, hsa-miR-4728-5p, hsa-miR-92b-5p"
HCFC1,CTRL.S1,5,"hsa-miR-1228-5p, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4706, hsa-miR-92b-5p"
GNAI2,CTRL.S1,5,"hsa-miR-6787-5p, hsa-miR-6090, hsa-miR-663a, hsa-miR-4706, hsa-miR-92b-5p"
AGO2,CTRL.S1,5,"hsa-miR-3940-5p, hsa-miR-4525, hsa-miR-4728-5p, hsa-miR-1343-3p, hsa-miR-92b-5p"
FBRS,CTRL.S1,5,"hsa-miR-1343-3p, hsa-miR-4525, hsa-miR-4675, hsa-miR-6784-5p, hsa-miR-887-3p"
ZNF787,CTRL.S1,5,"hsa-miR-3184-5p, hsa-miR-4706, hsa-miR-663a, hsa-miR-6787-5p, hsa-miR-6805-5p"
FURIN,CTRL.S1,5,"hsa-miR-1233-5p, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4728-5p, hsa-miR-6805-5p"
MSN,CTRL.S1,5,"hsa-miR-6746-5p, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-6800-5p, hsa-miR-6802-5p"
ABHD12,CTRL.S1,5,"hsa-miR-320a, hsa-miR-4532, hsa-miR-4706, hsa-miR-6800-5p, hsa-miR-6802-5p"
PTPA,CTRL.S1,5,"hsa-miR-4525, hsa-miR-4675, hsa-miR-4728-5p, hsa-miR-6090, hsa-miR-6805-5p"
PEX26,S2.S3,5,"hsa-miR-4741, hsa-miR-134-3p, hsa-miR-4722-3p, hsa-miR-6829-3p, hsa-miR-4749-5p"
WIPF2,S2.S3,5,"hsa-miR-7854-3p, hsa-miR-449c-3p, hsa-miR-1253, hsa-miR-371b-5p, hsa-miR-4722-3p"
HNRNPA1,S2.S3,5,"hsa-miR-1229-3p, hsa-miR-412-3p, hsa-miR-660-5p, hsa-miR-4524b-5p, hsa-miR-4722-3p"
MAFK,CTRL.S1,5,"hsa-miR-4706, hsa-miR-663a, hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-6787-5p"
YWHAZ,S3.S4,5,"hsa-miR-6769b-5p, hsa-miR-6756-5p, hsa-miR-548ah-5p, hsa-miR-134-3p, hsa-miR-4516"
GLO1,S3.S4,5,"hsa-miR-6734-3p, hsa-miR-6815-5p, hsa-miR-4803, hsa-miR-548ah-5p, hsa-miR-520d-3p"
LRRC58,S3.S4,5,"hsa-miR-4516, hsa-miR-1205, hsa-miR-5582-5p, hsa-miR-6715b-5p, hsa-miR-520d-3p"
FOXK1,S3.S4,5,"hsa-miR-548h-5p, hsa-miR-520d-3p, hsa-miR-134-3p, hsa-miR-548ah-5p, hsa-miR-6715b-5p"
SBNO1,S3.S4,5,"hsa-miR-922, hsa-miR-520d-3p, hsa-miR-1205, hsa-miR-4516, hsa-miR-6735-5p"
MIDN,S3.S4,5,"hsa-miR-548ah-5p, hsa-miR-6735-5p, hsa-miR-6715b-5p, hsa-miR-6756-5p, hsa-miR-6769b-5p"
KMT2D,S2.S3,5,"hsa-miR-1229-3p, hsa-miR-1227-5p, hsa-miR-4749-5p, hsa-miR-5591-5p, hsa-miR-7854-3p"
OCIAD2,S2.S3,5,"hsa-miR-4722-3p, hsa-miR-3130-3p, hsa-miR-6829-3p, hsa-miR-371b-5p, hsa-miR-7703"
TIMM8A,S2.S3,5,"hsa-miR-7703, hsa-miR-4722-3p, hsa-miR-7151-5p, hsa-miR-1229-3p, hsa-miR-6829-3p"
BMPR1A,S2.S3,5,"hsa-miR-5585-3p, hsa-miR-1253, hsa-miR-6829-3p, hsa-miR-4722-3p, hsa-miR-6802-3p"
SETD1B,S2.S3,5,"hsa-miR-4524b-5p, hsa-miR-412-3p, hsa-miR-5591-5p, hsa-miR-1253, hsa-miR-6769b-5p"
ZNF460,S2.S3,5,"hsa-miR-7151-5p, hsa-miR-1253, hsa-miR-3130-3p, hsa-miR-7703, hsa-miR-5585-3p"
FOXK1,S2.S3,5,"hsa-miR-1229-3p, hsa-miR-548h-5p, hsa-miR-4524b-5p, hsa-miR-134-3p, hsa-miR-4741"
KLHL36,S2.S3,5,"hsa-miR-218-2-3p, hsa-miR-5587-5p, hsa-miR-371b-5p, hsa-miR-7854-3p, hsa-miR-4722-3p"
RHOB,CTRL.S1,5,"hsa-miR-4787-5p, hsa-miR-663a, hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-6787-5p"
YPEL2,CTRL.S1,5,"hsa-miR-320a, hsa-miR-1233-5p, hsa-miR-4728-5p, hsa-miR-6756-5p, hsa-miR-6766-5p"
GIGYF1,CTRL.S1,5,"hsa-miR-1233-5p, hsa-miR-663a, hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-6787-5p"
KDM6B,CTRL.S1,5,"hsa-miR-4706, hsa-miR-6746-5p, hsa-miR-1203, hsa-miR-4728-5p, hsa-miR-6090"
PRRC2B,CTRL.S1,5,"hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4525, hsa-miR-3184-5p, hsa-miR-6090"
MCFD2,CTRL.S1,5,"hsa-miR-8059, hsa-miR-1233-5p, hsa-miR-4648, hsa-miR-1238-5p, hsa-miR-6090"
MED28,CTRL.S1,5,"hsa-miR-3184-5p, hsa-miR-4728-5p, hsa-miR-1343-3p, hsa-miR-4675, hsa-miR-575"
PTPRF,CTRL.S1,5,"hsa-miR-4525, hsa-miR-575, hsa-miR-4532, hsa-miR-4730, hsa-miR-4787-5p"
ZNF451,CTRL.S1,5,"hsa-miR-320a, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-6802-5p, hsa-miR-4728-5p"
MYADM,CTRL.S1,5,"hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-4787-5p, hsa-miR-6131, hsa-miR-4728-5p"
SUSD6,CTRL.S1,5,"hsa-miR-1233-5p, hsa-miR-1343-3p, hsa-miR-4525, hsa-miR-4648, hsa-miR-4728-5p"
SUMO1,CTRL.S1,5,"hsa-miR-4276, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4525, hsa-miR-4728-5p"
ARHGAP39,CTRL.S1,5,"hsa-miR-92b-5p, hsa-miR-4706, hsa-miR-4728-5p, hsa-miR-663a, hsa-miR-6787-5p"
EIF5AL1,CTRL.S1,5,"hsa-miR-4758-5p, hsa-miR-1238-5p, hsa-miR-4728-5p, hsa-miR-3184-5p, hsa-miR-4675"
TMEM50A,CTRL.S1,5,"hsa-miR-4525, hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-1233-5p, hsa-miR-4648"
NRGN,CTRL.S1,5,"hsa-miR-4728-5p, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-1233-5p, hsa-miR-4648"
RAB11B,CTRL.S1,5,"hsa-miR-4728-5p, hsa-miR-92b-5p, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-4532"
PHLDA3,CTRL.S1,5,"hsa-miR-4525, hsa-miR-1307-3p, hsa-miR-4787-5p, hsa-miR-6131, hsa-miR-4532"
TPCN2,CTRL.S1,5,"hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-4728-5p, hsa-miR-1307-3p, hsa-miR-4532"
PDE4C,CTRL.S1,5,"hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-4706, hsa-miR-1203, hsa-miR-4532"
ONECUT3,CTRL.S1,5,"hsa-miR-1233-5p, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4728-5p, hsa-miR-4525"
SYNGR1,CTRL.S1,5,"hsa-miR-1228-5p, hsa-miR-4728-5p, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-3184-5p"
CAPN15,CTRL.S1,5,"hsa-miR-320a, hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-4728-5p, hsa-miR-3184-5p"
KCNK3,CTRL.S1,5,"hsa-miR-1233-5p, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4728-5p, hsa-miR-3184-5p"
ANKRD13B,CTRL.S1,5,"hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-4525, hsa-miR-4728-5p, hsa-miR-3184-5p"
BARHL1,CTRL.S1,5,"hsa-miR-4675, hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-4706, hsa-miR-3184-5p"
SF3B3,CTRL.S1,5,"hsa-miR-320a, hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4525, hsa-miR-3184-5p"
ORAI2,CTRL.S1,5,"hsa-miR-320a, hsa-miR-575, hsa-miR-6131, hsa-miR-4532, hsa-miR-1307-3p"
IP6K1,CTRL.S1,5,"hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4728-5p, hsa-miR-4276, hsa-miR-1233-5p"
HSP90AB1,CTRL.S1,5,"hsa-miR-320a, hsa-miR-1233-5p, hsa-miR-1238-5p, hsa-miR-4648, hsa-miR-6090"
SLC35C2,CTRL.S1,5,"hsa-miR-6766-5p, hsa-miR-6756-5p, hsa-miR-4525, hsa-miR-4675, hsa-miR-4687-5p"
AP2M1,CTRL.S1,5,"hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-4525, hsa-miR-4728-5p, hsa-miR-6090"
PTPN9,CTRL.S1,5,"hsa-miR-320a, hsa-miR-197-5p, hsa-miR-4690-5p, hsa-miR-6756-5p, hsa-miR-6766-5p"
SELENON,CTRL.S1,5,"hsa-miR-1228-5p, hsa-miR-1233-5p, hsa-miR-6756-5p, hsa-miR-6766-5p, hsa-miR-6784-5p"
UNK,CTRL.S1,5,"hsa-miR-6787-5p, hsa-miR-663a, hsa-miR-3184-5p, hsa-miR-4728-5p, hsa-miR-6784-5p"
GDI1,CTRL.S1,5,"hsa-miR-4687-5p, hsa-miR-4525, hsa-miR-8059, hsa-miR-6756-5p, hsa-miR-6766-5p"
ZSWIM1,CTRL.S1,5,"hsa-miR-4690-5p, hsa-miR-642b-3p, hsa-miR-6746-5p, hsa-miR-6756-5p, hsa-miR-6766-5p"
SMCR8,CTRL.S1,5,"hsa-miR-6131, hsa-miR-1233-5p, hsa-miR-6090, hsa-miR-6756-5p, hsa-miR-6766-5p"
SENP2,CTRL.S1,5,"hsa-miR-4525, hsa-miR-4706, hsa-miR-4728-5p, hsa-miR-6756-5p, hsa-miR-6766-5p"
RPS6KA4,CTRL.S1,5,"hsa-miR-3184-5p, hsa-miR-4525, hsa-miR-4728-5p, hsa-miR-6756-5p, hsa-miR-6766-5p"
ZNF556,CTRL.S1,5,"hsa-miR-4532, hsa-miR-575, hsa-miR-8073, hsa-miR-6787-5p, hsa-miR-663a"
LMNB2,CTRL.S1,5,"hsa-miR-1343-3p, hsa-miR-3184-5p, hsa-miR-4728-5p, hsa-miR-6756-5p, hsa-miR-6766-5p"
ZNF207,CTRL.S1,5,"hsa-miR-1343-3p, hsa-miR-1233-5p, hsa-miR-4648, hsa-miR-1307-3p, hsa-miR-6746-5p"
KMT2A,CTRL.S1,5,"hsa-miR-320a, hsa-miR-3184-5p, hsa-miR-4675, hsa-miR-6756-5p, hsa-miR-6766-5p"
TLN1,CTRL.S1,5,"hsa-miR-6090, hsa-miR-197-5p, hsa-miR-4525, hsa-miR-6756-5p, hsa-miR-6766-5p"
SNRPD1,CTRL.S1,5,"hsa-miR-642b-3p, hsa-miR-4728-5p, hsa-miR-1343-3p, hsa-miR-1307-3p, hsa-miR-6746-5p"
