Gene Symbol,gene_score
NACC1,0.15217391304347827
NFIC,0.13043478260869568
SPRY4,0.09782608695652173
SETD1B,0.09782608695652173
CDKN1A,0.09782608695652173
SCAMP4,0.09782608695652173
TPM3,0.08695652173913049
NPR1,0.08695652173913049
KHSRP,0.08695652173913049
NFIX,0.08695652173913049
MLLT1,0.08695652173913049
ALDOA,0.07608695652173914
MNT,0.07608695652173914
CALR,0.07608695652173914
PKM,0.07608695652173914
HDGF,0.07608695652173914
SBF1,0.07608695652173914
SLC7A5,0.07608695652173914
MEF2D,0.07608695652173914
PEX26,0.07608695652173914
ORAI2,0.07608695652173914
UBE2Q1,0.07608695652173914
CTDNEP1,0.07608695652173914
AGO2,0.06521739130434778
SFN,0.06521739130434778
CBX6,0.06521739130434778
GATAD2A,0.06521739130434778
ZNF556,0.06521739130434778
ASB6,0.06521739130434778
KDM6B,0.06521739130434778
LARP1,0.06521739130434778
GIGYF1,0.06521739130434778
YIPF4,0.06521739130434778
MED28,0.06521739130434778
PDE4C,0.06521739130434778
RHOA,0.06521739130434778
ANKRD52,0.06521739130434778
COX6B1,0.06521739130434778
NUP62,0.06521739130434778
ABL1,0.06521739130434778
NEUROD2,0.06521739130434778
SLC47A1,0.06521739130434778
CRISPLD2,0.06521739130434778
C3orf36,0.06521739130434778
H2AFX,0.06521739130434778
ZNF787,0.06521739130434778
KMT2A,0.06521739130434778
ZNF207,0.06521739130434778
CSK,0.06521739130434778
YWHAZ,0.05434782608695654
NPLOC4,0.05434782608695654
SKI,0.05434782608695654
NF2,0.05434782608695654
BCL2L1,0.05434782608695654
KCNN3,0.05434782608695654
FXN,0.05434782608695654
HSP90AB1,0.05434782608695654
SNRPD1,0.05434782608695654
ZSWIM1,0.05434782608695654
GDE1,0.05434782608695654
METTL14,0.05434782608695654
MSN,0.05434782608695654
SRCIN1,0.05434782608695654
TOB2,0.05434782608695654
THBS1,0.05434782608695654
PCGF3,0.05434782608695654
MAFK,0.05434782608695654
ZNF451,0.05434782608695654
RNF40,0.05434782608695654
ARL8A,0.05434782608695654
UBXN2A,0.05434782608695654
ARHGAP31,0.05434782608695654
RHOB,0.05434782608695654
ZNF385A,0.05434782608695654
ATG9A,0.05434782608695654
GNAI2,0.05434782608695654
ADGRL1,0.05434782608695654
BARHL1,0.05434782608695654
ABHD12,0.05434782608695654
PTPN9,0.05434782608695654
TP53,0.05434782608695654
MIDN,0.05434782608695654
HOXA7,0.05434782608695654
LRRC58,0.05434782608695654
ATL2,0.05434782608695654
SUMO1,0.05434782608695654
CLCN7,0.05434782608695654
AKT1S1,0.05434782608695654
KMT2D,0.05434782608695654
PHLDA3,0.05434782608695654
DHTKD1,0.05434782608695654
NAA50,0.05434782608695654
CNKSR3,0.05434782608695654
DIAPH1,0.05434782608695654
NUFIP2,0.05434782608695654
PEA15,0.05434782608695654
EIF5AL1,0.04347826086956519
MDK,0.04347826086956519
RBM23,0.04347826086956519
AP2S1,0.04347826086956519
TMCO1,0.04347826086956519
TRIM65,0.04347826086956519
AP2M1,0.04347826086956519
VAV3,0.04347826086956519
VPS8,0.04347826086956519
LMNB2,0.04347826086956519
SF3B3,0.04347826086956519
ZBTB46,0.04347826086956519
FEM1B,0.04347826086956519
SLC1A5,0.04347826086956519
SYNGR1,0.04347826086956519
NAV1,0.04347826086956519
SENP2,0.04347826086956519
SAMD4B,0.04347826086956519
TXNDC16,0.04347826086956519
PARP2,0.04347826086956519
TMEM170A,0.04347826086956519
SOCS7,0.04347826086956519
REPIN1,0.04347826086956519
PTGR2,0.04347826086956519
B3GALNT2,0.04347826086956519
C16orf58,0.04347826086956519
MPP2,0.04347826086956519
AFG1L,0.04347826086956519
ZNF652,0.04347826086956519
FBRS,0.04347826086956519
DDI2,0.04347826086956519
CASP16P,0.04347826086956519
EFHD2,0.04347826086956519
CCNT1,0.04347826086956519
ABI2,0.04347826086956519
UNK,0.04347826086956519
TLN1,0.04347826086956519
SELENON,0.04347826086956519
TNRC6A,0.04347826086956519
PPP6R1,0.04347826086956519
MCFD2,0.04347826086956519
ZNF641,0.04347826086956519
CRCP,0.04347826086956519
SLC35C2,0.04347826086956519
FBXW8,0.04347826086956519
TRAF1,0.04347826086956519
NUCB1,0.04347826086956519
DDA1,0.04347826086956519
ITPRIPL2,0.04347826086956519
TNRC6B,0.04347826086956519
RABGAP1L,0.04347826086956519
TEX261,0.04347826086956519
TERF2,0.04347826086956519
TSPAN14,0.04347826086956519
FSCN1,0.04347826086956519
CDCA4,0.04347826086956519
MAPK1,0.04347826086956519
TOR4A,0.04347826086956519
CDC14B,0.04347826086956519
CAPN15,0.04347826086956519
FEM1A,0.04347826086956519
BAZ2A,0.04347826086956519
SBK1,0.04347826086956519
TXNIP,0.04347826086956519
RPS6KA4,0.04347826086956519
MRPS16,0.04347826086956519
RAB11B,0.04347826086956519
ZNF516,0.04347826086956519
TAOK1,0.04347826086956519
PMPCA,0.04347826086956519
TRPM7,0.04347826086956519
PLEKHM1,0.04347826086956519
ANP32B,0.04347826086956519
MRI1,0.04347826086956519
RAB1B,0.04347826086956519
ASB16,0.04347826086956519
UGGT1,0.04347826086956519
SHMT1,0.04347826086956519
REXO1,0.04347826086956519
POLR2E,0.04347826086956519
TSPYL1,0.04347826086956519
DNAJC28,0.04347826086956519
LDLR,0.04347826086956519
ZBTB22,0.04347826086956519
NRGN,0.04347826086956519
ARHGDIA,0.04347826086956519
C22orf39,0.04347826086956519
HIST1H1E,0.04347826086956519
PNMA8B,0.04347826086956519
AHDC1,0.04347826086956519
