Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11
SRD5A1,0.02409638554216864,0.253,0.7,0.485,2,hsa-miR-1233-5p,hsa-miR-6746-5p,,,,,,,,,
CACNG8,0.02409638554216864,0.758,0.823,1.33,2,hsa-miR-92b-5p,hsa-miR-6131,,,,,,,,,
ALG1,0.02409638554216864,0.337,0.711,0.598,2,hsa-miR-4732-5p,hsa-miR-1343-3p,,,,,,,,,
MGAT5,0.02409638554216864,0.337,0.711,0.598,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
BCL7A,0.02409638554216864,0.331,0.711,0.59,2,hsa-miR-6756-5p,hsa-miR-6766-5p,,,,,,,,,
RPRD2,0.02409638554216864,0.748,0.819,1.31,2,hsa-miR-320a,hsa-miR-4728-5p,,,,,,,,,
HIP1,0.02409638554216864,0.337,0.711,0.598,2,hsa-miR-1343-3p,hsa-miR-642b-3p,,,,,,,,,
HMGN2,0.02409638554216864,0.752,0.82,1.32,2,hsa-miR-1343-3p,hsa-miR-6090,,,,,,,,,
KIAA1328,0.02409638554216864,0.331,0.711,0.59,2,hsa-miR-4728-5p,hsa-miR-6746-5p,,,,,,,,,
SRRD,0.02409638554216864,0.265,0.7,0.501,2,hsa-miR-4728-5p,hsa-miR-575,,,,,,,,,
SGO1,0.02409638554216864,0.271,0.7,0.509,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
ZDHHC24,0.02409638554216864,0.337,0.711,0.598,2,hsa-miR-8073,hsa-miR-4728-5p,,,,,,,,,
IKZF3,0.02409638554216864,0.647,0.781,1.08,2,hsa-miR-1343-3p,hsa-miR-4728-5p,,,,,,,,,
ZBTB8B,0.02409638554216864,0.651,0.784,1.09,2,hsa-miR-8073,hsa-miR-1343-3p,,,,,,,,,
ISY1,0.02409638554216864,0.349,0.717,0.614,2,hsa-miR-4687-5p,hsa-miR-3940-5p,,,,,,,,,
NRBP1,0.02409638554216864,0.367,0.717,0.638,2,hsa-miR-320a,hsa-miR-4728-5p,,,,,,,,,
GAN,0.02409638554216864,0.651,0.784,1.09,2,hsa-miR-6756-5p,hsa-miR-6766-5p,,,,,,,,,
RNF24,0.02409638554216864,0.265,0.7,0.501,2,hsa-miR-4728-5p,hsa-miR-8073,,,,,,,,,
NRF1,0.02409638554216864,0.361,0.717,0.63,2,hsa-miR-320a,hsa-miR-4728-5p,,,,,,,,,
PARP1,0.02409638554216864,0.361,0.717,0.63,2,hsa-miR-8073,hsa-miR-4687-5p,,,,,,,,,
EIF4EBP2,0.02409638554216864,0.361,0.717,0.63,2,hsa-miR-6802-5p,hsa-miR-6800-5p,,,,,,,,,
E2F3,0.02409638554216864,0.647,0.781,1.08,2,hsa-miR-1233-5p,hsa-miR-3184-5p,,,,,,,,,
RNASEH2B,0.02409638554216864,0.241,0.7,0.469,2,hsa-miR-1233-5p,hsa-miR-6746-5p,,,,,,,,,
GLO1,0.02409638554216864,0.643,0.781,1.07,2,hsa-miR-6800-5p,hsa-miR-6802-5p,,,,,,,,,
RBM38,0.02409638554216864,0.265,0.7,0.501,2,hsa-miR-320a,hsa-miR-4276,,,,,,,,,
PHACTR4,0.02409638554216864,0.349,0.717,0.614,2,hsa-miR-4728-5p,hsa-miR-3184-5p,,,,,,,,,
PNPLA3,0.02409638554216864,0.367,0.717,0.638,2,hsa-miR-1343-3p,hsa-miR-4687-5p,,,,,,,,,
FMNL3,0.02409638554216864,0.361,0.717,0.63,2,hsa-miR-6090,hsa-miR-6746-5p,,,,,,,,,
DPM2,0.02409638554216864,0.367,0.717,0.638,2,hsa-miR-4728-5p,hsa-miR-6805-5p,,,,,,,,,
SLX4,0.02409638554216864,0.241,0.7,0.469,2,hsa-miR-1343-3p,hsa-miR-8073,,,,,,,,,
SEMA3E,0.02409638554216864,0.253,0.7,0.485,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
MAPK6,0.02409638554216864,0.343,0.714,0.606,2,hsa-miR-6756-5p,hsa-miR-6766-5p,,,,,,,,,
MINOS1,0.02409638554216864,0.343,0.714,0.606,2,hsa-miR-4728-5p,hsa-miR-6746-5p,,,,,,,,,
YME1L1,0.02409638554216864,0.343,0.714,0.606,2,hsa-miR-6131,hsa-miR-4728-5p,,,,,,,,,
ZC3H7B,0.02409638554216864,0.343,0.714,0.606,2,hsa-miR-1238-5p,hsa-miR-4758-5p,,,,,,,,,
ALG10B,0.02409638554216864,0.361,0.717,0.63,2,hsa-miR-4728-5p,hsa-miR-6746-5p,,,,,,,,,
ARID5B,0.02409638554216864,0.361,0.717,0.63,2,hsa-miR-320a,hsa-miR-3184-5p,,,,,,,,,
C6orf132,0.02409638554216864,0.355,0.717,0.622,2,hsa-miR-1343-3p,hsa-miR-1307-3p,,,,,,,,,
ABCG8,0.02409638554216864,0.655,0.785,1.1,2,hsa-miR-4675,hsa-miR-4728-5p,,,,,,,,,
RRAGD,0.02409638554216864,0.247,0.7,0.477,2,hsa-miR-1343-3p,hsa-miR-8073,,,,,,,,,
RPL28,0.02409638554216864,0.265,0.7,0.501,2,hsa-miR-663a,hsa-miR-6787-5p,,,,,,,,,
RNF41,0.02409638554216864,0.271,0.7,0.509,2,hsa-miR-320a,hsa-miR-6802-5p,,,,,,,,,
CCS,0.02409638554216864,0.367,0.717,0.638,2,hsa-miR-1307-3p,hsa-miR-575,,,,,,,,,
ATXN1,0.02409638554216864,0.655,0.785,1.1,2,hsa-miR-320a,hsa-miR-1203,,,,,,,,,
CDK2,0.02409638554216864,0.361,0.717,0.63,2,hsa-miR-6802-5p,hsa-miR-6800-5p,,,,,,,,,
ZNF724,0.02409638554216864,0.319,0.708,0.574,2,hsa-miR-6131,hsa-miR-4732-5p,,,,,,,,,
PTK6,0.02409638554216864,0.325,0.708,0.582,2,hsa-miR-4532,hsa-miR-4728-5p,,,,,,,,,
ZNF695,0.02409638554216864,0.325,0.708,0.582,2,hsa-miR-1307-3p,hsa-miR-4728-5p,,,,,,,,,
ATG2A,0.02409638554216864,0.295,0.707,0.541,2,hsa-miR-6805-5p,hsa-miR-4276,,,,,,,,,
SBNO1,0.02409638554216864,0.694,0.797,1.18,2,hsa-miR-6131,hsa-miR-8073,,,,,,,,,
CALU,0.02409638554216864,0.295,0.707,0.541,2,hsa-miR-320a,hsa-miR-92b-5p,,,,,,,,,
PURB,0.02409638554216864,0.795,0.845,1.44,2,hsa-miR-1343-3p,hsa-miR-4728-5p,,,,,,,,,
CSTF2,0.02409638554216864,0.295,0.707,0.541,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
HIC2,0.02409638554216864,0.694,0.797,1.18,2,hsa-miR-6756-5p,hsa-miR-6766-5p,,,,,,,,,
HIST1H2AG,0.02409638554216864,0.283,0.705,0.525,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
CEP120,0.02409638554216864,0.283,0.705,0.525,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
MIGA2,0.02409638554216864,0.295,0.707,0.541,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
FAM71F2,0.02409638554216864,0.69,0.797,1.17,2,hsa-miR-1307-3p,hsa-miR-4728-5p,,,,,,,,,
NPM3,0.02409638554216864,0.301,0.707,0.549,2,hsa-miR-6131,hsa-miR-320a,,,,,,,,,
CDKN1B,0.02409638554216864,0.694,0.797,1.18,2,hsa-miR-4276,hsa-miR-4728-5p,,,,,,,,,
NUP98,0.02409638554216864,0.295,0.707,0.541,2,hsa-miR-4687-5p,hsa-miR-6090,,,,,,,,,
SAMD4B,0.02409638554216864,0.295,0.707,0.541,2,hsa-miR-92b-5p,hsa-miR-320a,,,,,,,,,
TMEM91,0.02409638554216864,0.301,0.707,0.549,2,hsa-miR-4675,hsa-miR-4728-5p,,,,,,,,,
ZNF681,0.02409638554216864,0.301,0.707,0.549,2,hsa-miR-6746-5p,hsa-miR-4728-5p,,,,,,,,,
SUGT1,0.02409638554216864,0.69,0.797,1.17,2,hsa-miR-4728-5p,hsa-miR-4690-5p,,,,,,,,,
ZNF324B,0.02409638554216864,0.289,0.705,0.533,2,hsa-miR-4728-5p,hsa-miR-8073,,,,,,,,,
GK5,0.02409638554216864,0.686,0.796,1.16,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
LIMS1,0.02409638554216864,0.283,0.705,0.525,2,hsa-miR-4532,hsa-miR-1307-3p,,,,,,,,,
TRIM28,0.02409638554216864,0.283,0.705,0.525,2,hsa-miR-1233-5p,hsa-miR-4675,,,,,,,,,
MDM4,0.02409638554216864,0.726,0.811,1.25,2,hsa-miR-3184-5p,hsa-miR-887-3p,,,,,,,,,
PHAX,0.02409638554216864,0.708,0.802,1.21,2,hsa-miR-4728-5p,hsa-miR-1343-3p,,,,,,,,,
BVES,0.02409638554216864,0.289,0.705,0.533,2,hsa-miR-4728-5p,hsa-miR-6746-5p,,,,,,,,,
BZW1,0.02409638554216864,0.705,0.8,1.2,2,hsa-miR-197-5p,hsa-miR-642b-3p,,,,,,,,,
TBRG1,0.02409638554216864,0.283,0.705,0.525,2,hsa-miR-6800-5p,hsa-miR-6802-5p,,,,,,,,,
MYPN,0.02409638554216864,0.697,0.798,1.19,2,hsa-miR-8073,hsa-miR-4728-5p,,,,,,,,,
CCDC117,0.02409638554216864,0.289,0.705,0.533,2,hsa-miR-6746-5p,hsa-miR-3940-5p,,,,,,,,,
RNPS1,0.02409638554216864,0.283,0.705,0.525,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
RBM23,0.02409638554216864,0.726,0.811,1.25,2,hsa-miR-575,hsa-miR-6131,,,,,,,,,
DNAL1,0.02409638554216864,0.77,0.83,1.37,2,hsa-miR-6746-5p,hsa-miR-4728-5p,,,,,,,,,
GTPBP10,0.02409638554216864,0.289,0.705,0.533,2,hsa-miR-6746-5p,hsa-miR-4532,,,,,,,,,
PLD3,0.02409638554216864,0.283,0.705,0.525,2,hsa-miR-320a,hsa-miR-1233-5p,,,,,,,,,
PROSER2,0.02409638554216864,0.289,0.705,0.533,2,hsa-miR-1307-3p,hsa-miR-4687-5p,,,,,,,,,
NOL10,0.02409638554216864,0.283,0.705,0.525,2,hsa-miR-4728-5p,hsa-miR-1307-3p,,,,,,,,,
AHR,0.02409638554216864,0.319,0.708,0.574,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
RALY,0.02409638554216864,0.349,0.717,0.614,2,hsa-miR-320a,hsa-miR-4728-5p,,,,,,,,,
ZNF383,0.02409638554216864,0.307,0.708,0.558,2,hsa-miR-4732-5p,hsa-miR-6746-5p,,,,,,,,,
VPS8,0.02409638554216864,0.277,0.7,0.517,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
VMA21,0.02409638554216864,0.247,0.7,0.477,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
VGLL4,0.02409638554216864,0.259,0.7,0.493,2,hsa-miR-1233-5p,hsa-miR-4706,,,,,,,,,
DSTYK,0.02409638554216864,0.667,0.789,1.12,2,hsa-miR-1343-3p,hsa-miR-3940-5p,,,,,,,,,
NEK9,0.02409638554216864,0.307,0.708,0.558,2,hsa-miR-1343-3p,hsa-miR-6746-5p,,,,,,,,,
NLRP9,0.02409638554216864,0.325,0.708,0.582,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
NRIP3,0.02409638554216864,0.325,0.708,0.582,2,hsa-miR-1228-5p,hsa-miR-4728-5p,,,,,,,,,
POC1A,0.02409638554216864,0.307,0.708,0.558,2,hsa-miR-1343-3p,hsa-miR-1307-3p,,,,,,,,,
MAPKAPK5,0.02409638554216864,0.797,0.845,1.45,2,hsa-miR-1228-5p,hsa-miR-4728-5p,,,,,,,,,
ASB16,0.02409638554216864,0.8,0.846,1.45,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
RAB4A,0.02409638554216864,0.313,0.708,0.566,2,hsa-miR-4687-5p,hsa-miR-4728-5p,,,,,,,,,
RFT1,0.02409638554216864,0.325,0.708,0.582,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
VDR,0.02409638554216864,0.259,0.7,0.493,2,hsa-miR-6756-5p,hsa-miR-6766-5p,,,,,,,,,
SLC38A1,0.02409638554216864,0.325,0.708,0.582,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
CYP20A1,0.02409638554216864,0.803,0.847,1.46,2,hsa-miR-4728-5p,hsa-miR-4532,,,,,,,,,
ZBTB43,0.02409638554216864,0.325,0.708,0.582,2,hsa-miR-6131,hsa-miR-1307-3p,,,,,,,,,
VPS37B,0.02409638554216864,0.265,0.7,0.501,2,hsa-miR-6746-5p,hsa-miR-4690-5p,,,,,,,,,
NDUFA7,0.02409638554216864,0.313,0.708,0.566,2,hsa-miR-6746-5p,hsa-miR-4728-5p,,,,,,,,,
ARL4C,0.02409638554216864,0.319,0.708,0.574,2,hsa-miR-6756-5p,hsa-miR-6766-5p,,,,,,,,,
SOX4,0.02409638554216864,0.767,0.828,1.36,2,hsa-miR-4276,hsa-miR-4687-5p,,,,,,,,,
ATL3,0.02409638554216864,0.325,0.708,0.582,2,hsa-miR-4276,hsa-miR-4728-5p,,,,,,,,,
SP1,0.02409638554216864,0.679,0.793,1.15,2,hsa-miR-4276,hsa-miR-3184-5p,,,,,,,,,
ZNF431,0.02409638554216864,0.675,0.791,1.14,2,hsa-miR-4732-5p,hsa-miR-1307-3p,,,,,,,,,
CLU,0.02409638554216864,0.307,0.708,0.558,2,hsa-miR-1228-5p,hsa-miR-4706,,,,,,,,,
DUSP2,0.02409638554216864,0.319,0.708,0.574,2,hsa-miR-575,hsa-miR-8059,,,,,,,,,
EMC3,0.02409638554216864,0.319,0.708,0.574,2,hsa-miR-1343-3p,hsa-miR-1307-3p,,,,,,,,,
ZNF333,0.02409638554216864,0.241,0.7,0.469,2,hsa-miR-1343-3p,hsa-miR-1307-3p,,,,,,,,,
FAT3,0.02409638554216864,0.325,0.708,0.582,2,hsa-miR-4728-5p,hsa-miR-575,,,,,,,,,
FOLR1,0.02409638554216864,0.307,0.708,0.558,2,hsa-miR-6090,hsa-miR-642b-3p,,,,,,,,,
GTF3C6,0.02409638554216864,0.313,0.708,0.566,2,hsa-miR-8073,hsa-miR-6746-5p,,,,,,,,,
KIAA0408,0.02409638554216864,0.319,0.708,0.574,2,hsa-miR-642b-3p,hsa-miR-4532,,,,,,,,,
XPNPEP3,0.02409638554216864,0.277,0.7,0.517,2,hsa-miR-6746-5p,hsa-miR-575,,,,,,,,,
PGPEP1,0.02409638554216864,0.667,0.789,1.12,2,hsa-miR-4525,hsa-miR-4728-5p,,,,,,,,,
WDR45B,0.02409638554216864,0.271,0.7,0.509,2,hsa-miR-3184-5p,hsa-miR-4728-5p,,,,,,,,,
RPL7L1,0.02409638554216864,0.795,0.845,1.44,2,hsa-miR-4728-5p,hsa-miR-3184-5p,,,,,,,,,
QPCTL,0.02409638554216864,0.361,0.717,0.63,2,hsa-miR-4728-5p,hsa-miR-575,,,,,,,,,
ZNF154,0.02409638554216864,0.532,0.759,0.881,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
RBMS2,0.02409638554216864,0.639,0.779,1.07,2,hsa-miR-4728-5p,hsa-miR-4276,,,,,,,,,
FAM208A,0.02409638554216864,0.431,0.733,0.727,2,hsa-miR-6746-5p,hsa-miR-4728-5p,,,,,,,,,
RAB3IP,0.02409638554216864,0.586,0.772,0.97,2,hsa-miR-3940-5p,hsa-miR-4687-5p,,,,,,,,,
CBS,0.02409638554216864,0.453,0.737,0.76,2,hsa-miR-4728-5p,hsa-miR-1343-3p,,,,,,,,,
FPR1,0.02409638554216864,0.453,0.737,0.76,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
TRAF3IP2,0.02409638554216864,0.453,0.737,0.76,2,hsa-miR-575,hsa-miR-4728-5p,,,,,,,,,
C19orf47,0.02409638554216864,0.464,0.741,0.776,2,hsa-miR-4525,hsa-miR-6131,,,,,,,,,
ZNF107,0.02409638554216864,0.571,0.768,0.945,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
HOXC8,0.02409638554216864,0.459,0.741,0.768,2,hsa-miR-3940-5p,hsa-miR-4728-5p,,,,,,,,,
MEX3A,0.02409638554216864,0.459,0.741,0.768,2,hsa-miR-4728-5p,hsa-miR-3184-5p,,,,,,,,,
RRP7A,0.02409638554216864,0.459,0.741,0.768,2,hsa-miR-4728-5p,hsa-miR-1203,,,,,,,,,
AGTRAP,0.02409638554216864,0.475,0.743,0.792,2,hsa-miR-8073,hsa-miR-4728-5p,,,,,,,,,
AR,0.02409638554216864,0.469,0.743,0.784,2,hsa-miR-4525,hsa-miR-320a,,,,,,,,,
BACE2,0.02409638554216864,0.469,0.743,0.784,2,hsa-miR-6131,hsa-miR-4730,,,,,,,,,
DDI2,0.02409638554216864,0.48,0.743,0.8,2,hsa-miR-6787-5p,hsa-miR-663a,,,,,,,,,
ELFN2,0.02409638554216864,0.469,0.743,0.784,2,hsa-miR-4728-5p,hsa-miR-6090,,,,,,,,,
ERGIC2,0.02409638554216864,0.475,0.743,0.792,2,hsa-miR-6800-5p,hsa-miR-3940-5p,,,,,,,,,
GPAT4,0.02409638554216864,0.475,0.743,0.792,2,hsa-miR-1343-3p,hsa-miR-4532,,,,,,,,,
WIPF2,0.02409638554216864,0.571,0.768,0.945,2,hsa-miR-4276,hsa-miR-3184-5p,,,,,,,,,
MCL1,0.02409638554216864,0.48,0.743,0.8,2,hsa-miR-320a,hsa-miR-1469,,,,,,,,,
SGTB,0.02409638554216864,0.571,0.768,0.945,2,hsa-miR-4728-5p,hsa-miR-6131,,,,,,,,,
ZFHX3,0.02409638554216864,0.447,0.735,0.751,2,hsa-miR-4728-5p,hsa-miR-6805-5p,,,,,,,,,
IGF2BP1,0.02409638554216864,0.447,0.735,0.751,2,hsa-miR-320a,hsa-miR-6131,,,,,,,,,
ZNF609,0.02409638554216864,0.431,0.733,0.727,2,hsa-miR-1203,hsa-miR-3184-5p,,,,,,,,,
RBM43,0.02409638554216864,0.436,0.733,0.735,2,hsa-miR-4532,hsa-miR-4728-5p,,,,,,,,,
FAM83F,0.02409638554216864,0.595,0.773,0.986,2,hsa-miR-6766-5p,hsa-miR-6756-5p,,,,,,,,,
KCNJ6,0.02409638554216864,0.431,0.733,0.727,2,hsa-miR-1307-3p,hsa-miR-4532,,,,,,,,,
LGSN,0.02409638554216864,0.436,0.733,0.735,2,hsa-miR-6805-5p,hsa-miR-8073,,,,,,,,,
NDUFV3,0.02409638554216864,0.436,0.733,0.735,2,hsa-miR-4532,hsa-miR-6131,,,,,,,,,
BCL2L11,0.02409638554216864,0.595,0.773,0.986,2,hsa-miR-1233-5p,hsa-miR-92b-5p,,,,,,,,,
ZNF573,0.02409638554216864,0.59,0.772,0.978,2,hsa-miR-6131,hsa-miR-4532,,,,,,,,,
TIAL1,0.02409638554216864,0.59,0.772,0.978,2,hsa-miR-4675,hsa-miR-4728-5p,,,,,,,,,
PKD1,0.02409638554216864,0.431,0.733,0.727,2,hsa-miR-6090,hsa-miR-4787-5p,,,,,,,,,
MTHFD2,0.02409638554216864,0.59,0.772,0.978,2,hsa-miR-6746-5p,hsa-miR-4687-5p,,,,,,,,,
ZFAND4,0.02409638554216864,0.442,0.733,0.743,2,hsa-miR-4728-5p,hsa-miR-6090,,,,,,,,,
RHOA,0.02409638554216864,0.436,0.733,0.735,2,hsa-miR-1233-5p,hsa-miR-4675,,,,,,,,,
HS3ST1,0.02409638554216864,0.59,0.772,0.978,2,hsa-miR-4276,hsa-miR-1307-3p,,,,,,,,,
RNF125,0.02409638554216864,0.442,0.733,0.743,2,hsa-miR-320a,hsa-miR-6746-5p,,,,,,,,,
SIGLEC9,0.02409638554216864,0.431,0.733,0.727,2,hsa-miR-642b-3p,hsa-miR-4532,,,,,,,,,
ARSK,0.02409638554216864,0.59,0.772,0.978,2,hsa-miR-6802-5p,hsa-miR-4728-5p,,,,,,,,,
STX4,0.02409638554216864,0.431,0.733,0.727,2,hsa-miR-4787-5p,hsa-miR-6746-5p,,,,,,,,,
TXLNA,0.02409638554216864,0.442,0.733,0.743,2,hsa-miR-6756-5p,hsa-miR-6766-5p,,,,,,,,,
USP6NL,0.02409638554216864,0.442,0.733,0.743,2,hsa-miR-92b-5p,hsa-miR-4728-5p,,,,,,,,,
PLEKHA3,0.02409638554216864,0.469,0.743,0.784,2,hsa-miR-4525,hsa-miR-4728-5p,,,,,,,,,
TUBB2A,0.02409638554216864,0.831,0.861,1.56,2,hsa-miR-8059,hsa-miR-4732-5p,,,,,,,,,
TYRO3,0.02409638554216864,0.48,0.743,0.8,2,hsa-miR-6131,hsa-miR-4728-5p,,,,,,,,,
MDM2,0.02409638554216864,0.852,0.873,1.64,2,hsa-miR-1228-5p,hsa-miR-4728-5p,,,,,,,,,
TAF8,0.02409638554216864,0.507,0.752,0.84,2,hsa-miR-4675,hsa-miR-4532,,,,,,,,,
ZNF584,0.02409638554216864,0.557,0.765,0.921,2,hsa-miR-4728-5p,hsa-miR-575,,,,,,,,,
PANK3,0.02409638554216864,0.512,0.755,0.848,2,hsa-miR-320a,hsa-miR-1343-3p,,,,,,,,,
ZFP14,0.02409638554216864,0.512,0.755,0.848,2,hsa-miR-6802-5p,hsa-miR-3940-5p,,,,,,,,,
GAPVD1,0.02409638554216864,0.517,0.756,0.856,2,hsa-miR-4687-5p,hsa-miR-4728-5p,,,,,,,,,
DNAJC28,0.02409638554216864,0.557,0.765,0.921,2,hsa-miR-1343-3p,hsa-miR-1307-3p,,,,,,,,,
SCO1,0.02409638554216864,0.527,0.758,0.873,2,hsa-miR-1307-3p,hsa-miR-4728-5p,,,,,,,,,
SRSF7,0.02409638554216864,0.527,0.758,0.873,2,hsa-miR-320a,hsa-miR-4728-5p,,,,,,,,,
AGO1,0.02409638554216864,0.557,0.765,0.921,2,hsa-miR-320a,hsa-miR-4690-5p,,,,,,,,,
TRAPPC2,0.02409638554216864,0.562,0.766,0.929,2,hsa-miR-8073,hsa-miR-4728-5p,,,,,,,,,
PDP2,0.02409638554216864,0.547,0.762,0.905,2,hsa-miR-3184-5p,hsa-miR-6746-5p,,,,,,,,,
MLXIP,0.02409638554216864,0.552,0.762,0.913,2,hsa-miR-4728-5p,hsa-miR-4732-5p,,,,,,,,,
LRIG2,0.02409638554216864,0.552,0.762,0.913,2,hsa-miR-4728-5p,hsa-miR-1307-3p,,,,,,,,,
FAHD1,0.02409638554216864,0.552,0.762,0.913,2,hsa-miR-92b-5p,hsa-miR-4728-5p,,,,,,,,,
AVL9,0.02409638554216864,0.537,0.759,0.889,2,hsa-miR-6746-5p,hsa-miR-6090,,,,,,,,,
CPM,0.02409638554216864,0.542,0.761,0.897,2,hsa-miR-4728-5p,hsa-miR-6746-5p,,,,,,,,,
CALM3,0.02409638554216864,0.537,0.759,0.889,2,hsa-miR-320a,hsa-miR-3184-5p,,,,,,,,,
RABGEF1,0.02409638554216864,0.277,0.7,0.517,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
YOD1,0.02409638554216864,0.848,0.87,1.62,2,hsa-miR-8073,hsa-miR-320a,,,,,,,,,
ZNF878,0.02409638554216864,0.562,0.766,0.929,2,hsa-miR-4728-5p,hsa-miR-8073,,,,,,,,,
ZMYM1,0.02409638554216864,0.469,0.743,0.784,2,hsa-miR-4532,hsa-miR-4728-5p,,,,,,,,,
SZRD1,0.02409638554216864,0.491,0.746,0.816,2,hsa-miR-575,hsa-miR-4525,,,,,,,,,
LASP1,0.02409638554216864,0.486,0.745,0.808,2,hsa-miR-3184-5p,hsa-miR-4728-5p,,,,,,,,,
NOM1,0.02409638554216864,0.486,0.745,0.808,2,hsa-miR-1343-3p,hsa-miR-3940-5p,,,,,,,,,
SLC27A1,0.02409638554216864,0.486,0.745,0.808,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
RAB32,0.02409638554216864,0.571,0.768,0.945,2,hsa-miR-1233-5p,hsa-miR-4648,,,,,,,,,
ZSCAN22,0.02409638554216864,0.486,0.745,0.808,2,hsa-miR-8073,hsa-miR-4728-5p,,,,,,,,,
PABPN1,0.02409638554216864,0.576,0.768,0.953,2,hsa-miR-6756-5p,hsa-miR-6766-5p,,,,,,,,,
RRM2,0.02409638554216864,0.491,0.746,0.816,2,hsa-miR-4728-5p,hsa-miR-3184-5p,,,,,,,,,
LAX1,0.02409638554216864,0.581,0.768,0.962,2,hsa-miR-4728-5p,hsa-miR-4532,,,,,,,,,
DHODH,0.02409638554216864,0.581,0.768,0.962,2,hsa-miR-6746-5p,hsa-miR-4728-5p,,,,,,,,,
ABHD2,0.02409638554216864,0.567,0.768,0.937,2,hsa-miR-1343-3p,hsa-miR-1307-3p,,,,,,,,,
CDK4,0.02409638554216864,0.496,0.749,0.824,2,hsa-miR-320a,hsa-miR-1307-3p,,,,,,,,,
MTMR10,0.02409638554216864,0.496,0.749,0.824,2,hsa-miR-4728-5p,hsa-miR-1307-3p,,,,,,,,,
ZNF805,0.02409638554216864,0.567,0.768,0.937,2,hsa-miR-4276,hsa-miR-3184-5p,,,,,,,,,
DDX19B,0.02409638554216864,0.507,0.752,0.84,2,hsa-miR-1307-3p,hsa-miR-6131,,,,,,,,,
TBC1D13,0.02409638554216864,0.567,0.768,0.937,2,hsa-miR-4758-5p,hsa-miR-1238-5p,,,,,,,,,
MMAB,0.02409638554216864,0.502,0.752,0.832,2,hsa-miR-4728-5p,hsa-miR-6131,,,,,,,,,
SLFN12L,0.02409638554216864,0.507,0.752,0.84,2,hsa-miR-3940-5p,hsa-miR-4728-5p,,,,,,,,,
MYH9,0.02409638554216864,0.567,0.768,0.937,2,hsa-miR-4728-5p,hsa-miR-1233-5p,,,,,,,,,
GPC4,0.02409638554216864,0.436,0.733,0.735,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
CHMP1B,0.02409638554216864,0.436,0.733,0.735,2,hsa-miR-1228-5p,hsa-miR-4728-5p,,,,,,,,,
SLC6A4,0.02409638554216864,0.355,0.717,0.622,2,hsa-miR-6756-5p,hsa-miR-6766-5p,,,,,,,,,
CABP4,0.02409638554216864,0.436,0.733,0.735,2,hsa-miR-1343-3p,hsa-miR-8073,,,,,,,,,
ATXN1L,0.02409638554216864,0.385,0.721,0.663,2,hsa-miR-4706,hsa-miR-8059,,,,,,,,,
BICD2,0.02409638554216864,0.385,0.721,0.663,2,hsa-miR-1233-5p,hsa-miR-6090,,,,,,,,,
IGF1R,0.02409638554216864,0.918,0.924,1.98,2,hsa-miR-320a,hsa-miR-4525,,,,,,,,,
SSU72,0.02409638554216864,0.385,0.721,0.663,2,hsa-miR-4728-5p,hsa-miR-4783-3p,,,,,,,,,
TBXA2R,0.02409638554216864,0.385,0.721,0.663,2,hsa-miR-4728-5p,hsa-miR-4525,,,,,,,,,
SLC16A1,0.02409638554216864,0.621,0.779,1.03,2,hsa-miR-320a,hsa-miR-1343-3p,,,,,,,,,
TMPPE,0.02409638554216864,0.385,0.721,0.663,2,hsa-miR-1343-3p,hsa-miR-4728-5p,,,,,,,,,
FBXL18,0.02409638554216864,0.626,0.779,1.04,2,hsa-miR-1233-5p,hsa-miR-4728-5p,,,,,,,,,
CRKL,0.02409638554216864,0.626,0.779,1.04,2,hsa-miR-4728-5p,hsa-miR-320a,,,,,,,,,
OCIAD2,0.02409638554216864,0.613,0.777,1.02,2,hsa-miR-1343-3p,hsa-miR-4728-5p,,,,,,,,,
