Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MED28,0.8770407952886935,1.936515934679332,0.03333333333333333,0.03333333333333333,0.01,3/5,10.34%,HSA-MIR-3178;HSA-MIR-6857-3P;HSA-MIR-4647
prerank,FEM1A,0.7737379873929997,1.7047658984430687,0.06666666666666667,0.05,0.03,2/5,6.90%,HSA-MIR-3178;HSA-MIR-6857-3P
