"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"SLC1A5","0.266","0.459","0.502","2","hsa-miR-4313","hsa-miR-1227-3p","",""
"SLC24A4","0.128","0.459","0.315","2","hsa-miR-944","hsa-miR-940","",""
"SLC25A16","0.0614","0.459","0.205","2","hsa-miR-4258","hsa-miR-6805-3p","",""
"SLC35E2B","0.00417","0.459","0.114","3","hsa-miR-6805-3p","hsa-miR-944","hsa-miR-646",""
"SLC36A2","0.0166","0.459","0.101","2","hsa-miR-940","hsa-miR-1227-3p","",""
"SNRPD3","0.125","0.459","0.309","2","hsa-miR-4456","hsa-miR-940","",""
"SPRED1","0.144","0.459","0.338","2","hsa-miR-31-3p","hsa-miR-646","",""
"SSBP2","0.0323","0.459","0.240","3","hsa-miR-940","hsa-miR-4258","hsa-miR-1227-3p",""
"STEAP2","0.0245","0.459","0.124","2","hsa-miR-940","hsa-miR-1227-3p","",""
"STK40","0.00359","0.459","0.108","3","hsa-miR-940","hsa-miR-4313","hsa-miR-1470",""
"SUSD1","0.0860","0.459","0.248","2","hsa-miR-1470","hsa-miR-940","",""
"SYNJ2BP","0.241","0.459","0.470","2","hsa-miR-940","hsa-miR-1227-3p","",""
"SYT7","0.0725","0.459","0.225","2","hsa-miR-4258","hsa-miR-940","",""
"SZRD1","0.00211","0.459","0.146","4","hsa-miR-646","hsa-miR-1470","hsa-miR-4258","hsa-miR-4313"
"TANGO2","0.0792","0.459","0.237","2","hsa-miR-1227-3p","hsa-miR-940","",""
"TCF23","0.0758","0.459","0.231","2","hsa-miR-1227-3p","hsa-miR-940","",""
"TFDP2","0.152","0.459","0.349","2","hsa-miR-940","hsa-miR-6805-3p","",""
"THAP1","0.0912","0.459","0.257","2","hsa-miR-940","hsa-miR-6805-3p","",""
"TIPIN","0.0374","0.459","0.156","2","hsa-miR-940","hsa-miR-1227-3p","",""
"TMEM170A","0.121","0.459","0.303","2","hsa-miR-1470","hsa-miR-940","",""
"TMEM189","0.205","0.459","0.421","2","hsa-miR-1224-5p","hsa-miR-4456","",""
"TMEM189-UBE2V1","0.0472","0.459","0.279","3","hsa-miR-940","hsa-miR-1224-5p","hsa-miR-4456",""
"TMPPE","0.0792","0.459","0.237","2","hsa-miR-1227-3p","hsa-miR-4258","",""
"TNFAIP8L1","0.113","0.459","0.291","2","hsa-miR-4313","hsa-miR-1227-3p","",""
"TRAF1","0.0930","0.459","0.260","2","hsa-miR-31-3p","hsa-miR-940","",""
"TRAPPC2","0.140","0.459","0.332","2","hsa-miR-1227-3p","hsa-miR-940","",""
"TRIM39","0.00234","0.459","0.0375","2","hsa-miR-940","hsa-miR-1470","",""
"TRMT10C","0.0166","0.459","0.101","2","hsa-miR-1224-5p","hsa-miR-6805-3p","",""
"TSC22D2","0.213","0.459","0.433","2","hsa-miR-1227-3p","hsa-miR-646","",""
"TSKU","0.125","0.459","0.309","2","hsa-miR-1470","hsa-miR-940","",""
"TXLNA","0.0966","0.459","0.265","2","hsa-miR-1227-3p","hsa-miR-1224-5p","",""
"UBE2V1","0.200","0.459","0.416","2","hsa-miR-1224-5p","hsa-miR-4456","",""
"UGGT1","0.142","0.459","0.335","2","hsa-miR-1227-3p","hsa-miR-940","",""
"USP22","0.0742","0.459","0.228","2","hsa-miR-1227-3p","hsa-miR-940","",""
"USP53","0.0349","0.459","0.150","2","hsa-miR-4456","hsa-miR-646","",""
"UTP15","0.0267","0.459","0.130","2","hsa-miR-944","hsa-miR-940","",""
"WASF2","0.138","0.459","0.329","2","hsa-miR-1224-5p","hsa-miR-940","",""
"WHAMM","0.0510","0.459","0.185","2","hsa-miR-940","hsa-miR-1227-3p","",""
"WNT2B","0.0194","0.459","0.110","2","hsa-miR-1227-3p","hsa-miR-4258","",""
"YIPF4","0.285","0.459","0.528","2","hsa-miR-940","hsa-miR-6805-3p","",""
"ZBTB7A","0.222","0.459","0.444","2","hsa-miR-1470","hsa-miR-940","",""
"ZBTB8B","0.0394","0.459","0.260","3","hsa-miR-1227-3p","hsa-miR-940","hsa-miR-646",""
"ZC3H4","0.0313","0.459","0.141","2","hsa-miR-940","hsa-miR-1224-5p","",""
"ZMAT3","0.0472","0.459","0.279","3","hsa-miR-944","hsa-miR-1224-5p","hsa-miR-646",""
"ZNF101","0.138","0.459","0.329","2","hsa-miR-1227-3p","hsa-miR-940","",""
"ZNF117","0.121","0.459","0.303","2","hsa-miR-1224-5p","hsa-miR-944","",""
"ZNF317","0.109","0.459","0.286","2","hsa-miR-940","hsa-miR-1224-5p","",""
"ZNF440","0.0584","0.459","0.199","2","hsa-miR-6805-3p","hsa-miR-940","",""
"ZNF449","0.0400","0.459","0.162","2","hsa-miR-944","hsa-miR-646","",""
"ZNF562","0.132","0.459","0.320","2","hsa-miR-1470","hsa-miR-940","",""
"ZNF566","0.169","0.459","0.372","2","hsa-miR-944","hsa-miR-940","",""
"ZNF609","0.0930","0.459","0.260","2","hsa-miR-940","hsa-miR-4456","",""
"ZNF749","0.0180","0.459","0.192","3","hsa-miR-940","hsa-miR-941","hsa-miR-1227-3p",""
"ZNF787","0.0214","0.459","0.115","2","hsa-miR-4313","hsa-miR-516a-5p","",""
"ZNRF3","0.0454","0.459","0.173","2","hsa-miR-940","hsa-miR-646","",""
"ZSCAN29","0.0525","0.459","0.188","2","hsa-miR-940","hsa-miR-1470","",""
"YWHAZ","0.349","0.462","0.612","2","hsa-miR-944","hsa-miR-940","",""
"TXNIP","0.384","0.472","0.658","2","hsa-miR-6805-3p","hsa-miR-31-3p","",""
"GDE1","0.391","0.473","0.667","2","hsa-miR-940","hsa-miR-6805-3p","",""
"IGF1R","0.420","0.490","0.707","2","hsa-miR-4456","hsa-miR-940","",""
"BTG2","0.425","0.492","0.713","2","hsa-miR-646","hsa-miR-6805-3p","",""
"CCND1","0.433","0.494","0.724","2","hsa-miR-944","hsa-miR-646","",""
"NUFIP2","0.586","0.601","0.952","2","hsa-miR-940","hsa-miR-646","",""
