"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7"
"PTMA","0.219","0.466","0.440","2","hsa-miR-4483","hsa-miR-6741-5p","","","","",""
"ZNF385A","0.221","0.466","0.443","2","hsa-miR-6819-5p","hsa-miR-342-5p","","","","",""
"FBXL18","0.224","0.467","0.447","2","hsa-miR-342-5p","hsa-miR-6819-5p","","","","",""
"SETD5","0.226","0.468","0.450","2","hsa-miR-6793-5p","hsa-miR-4483","","","","",""
"ARL10","0.229","0.468","0.454","2","hsa-miR-320d","hsa-miR-320b","","","","",""
"SMCR8","0.237","0.470","0.464","2","hsa-miR-6793-5p","hsa-miR-4483","","","","",""
"ARHGDIA","0.258","0.474","0.492","2","hsa-miR-3652","hsa-miR-4483","","","","",""
"CCND1","0.249","0.474","0.579","3","hsa-miR-342-5p","hsa-miR-4483","hsa-miR-6819-5p","","","",""
"SMG1","0.247","0.474","0.478","2","hsa-miR-17-3p","hsa-miR-3652","","","","",""
"ZNF451","0.263","0.477","0.499","2","hsa-miR-320d","hsa-miR-320b","","","","",""
"HIC2","0.268","0.480","0.506","2","hsa-miR-4769-5p","hsa-miR-4483","","","","",""
"SBNO1","0.268","0.480","0.506","2","hsa-miR-3652","hsa-miR-17-3p","","","","",""
"CREBRF","0.279","0.486","0.519","2","hsa-miR-320d","hsa-miR-320b","","","","",""
"SOCS7","0.279","0.486","0.519","2","hsa-miR-17-3p","hsa-miR-4489","","","","",""
"DCTN5","0.281","0.487","0.523","2","hsa-miR-320b","hsa-miR-320d","","","","",""
"RNF11","0.284","0.488","0.526","2","hsa-miR-17-3p","hsa-miR-1185-2-3p","","","","",""
"NACC1","0.290","0.489","0.628","3","hsa-miR-17-3p","hsa-miR-185-3p","hsa-miR-6877-5p","","","",""
"KLHL15","0.321","0.498","0.665","3","hsa-miR-1185-2-3p","hsa-miR-320b","hsa-miR-320d","","","",""
"LDLR","0.324","0.499","0.578","2","hsa-miR-1185-2-3p","hsa-miR-6741-5p","","","","",""
"MLLT1","0.324","0.499","0.578","2","hsa-miR-342-5p","hsa-miR-6819-5p","","","","",""
"CRK","0.326","0.499","0.582","2","hsa-miR-320d","hsa-miR-320b","","","","",""
"KMT2D","0.326","0.499","0.582","2","hsa-miR-6741-5p","hsa-miR-6793-5p","","","","",""
"CYP20A1","0.360","0.503","0.627","2","hsa-miR-3652","hsa-miR-495-5p","","","","",""
"MAPK1","0.365","0.503","0.634","2","hsa-miR-185-3p","hsa-miR-3652","","","","",""
"TNRC6A","0.378","0.508","0.651","2","hsa-miR-6819-5p","hsa-miR-5100","","","","",""
"CDKN1A","0.407","0.519","0.764","3","hsa-miR-4483","hsa-miR-4769-5p","hsa-miR-6819-5p","","","",""
"SFT2D2","0.424","0.525","0.713","2","hsa-miR-185-3p","hsa-miR-4489","","","","",""
"CELF1","0.429","0.525","0.720","2","hsa-miR-495-5p","hsa-miR-3652","","","","",""
"YWHAZ","0.439","0.526","0.734","2","hsa-miR-17-3p","hsa-miR-4769-5p","","","","",""
"GDE1","0.485","0.551","0.800","2","hsa-miR-3652","hsa-miR-6819-5p","","","","",""
"ZNF264","0.494","0.555","0.814","2","hsa-miR-495-5p","hsa-miR-1185-2-3p","","","","",""
"GIGYF1","0.531","0.579","0.869","2","hsa-miR-185-3p","hsa-miR-4489","","","","",""
"FOXK1","0.549","0.589","0.897","2","hsa-miR-17-3p","hsa-miR-6741-5p","","","","",""
"SLC7A5","0.568","0.602","0.928","2","hsa-miR-185-3p","hsa-miR-6877-5p","","","","",""
"NUFIP2","0.687","0.703","1.14","2","hsa-miR-342-5p","hsa-miR-5100","","","","",""
