Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5
FLVCR1,0.0895,0.458,0.254,2,hsa-miR-937-5p,hsa-miR-4439,,,
R3HDM4,0.0454,0.458,0.173,2,hsa-miR-3155b,hsa-miR-4462,,,
ADM,0.0709,0.458,0.222,2,hsa-miR-6769b-5p,hsa-miR-4462,,,
MTHFD2,0.152,0.458,0.349,2,hsa-miR-548h-5p,hsa-miR-4472,,,
PEG10,0.188,0.458,0.398,2,hsa-miR-548h-5p,hsa-miR-4472,,,
RNF40,0.102,0.458,0.274,2,hsa-miR-6769b-5p,hsa-miR-4472,,,
SF3B3,0.241,0.462,0.47,2,hsa-miR-6769b-5p,hsa-miR-4472,,,
TXLNA,0.0966,0.458,0.265,2,hsa-miR-937-5p,hsa-miR-4472,,,
ZNF585B,0.0877,0.458,0.251,2,hsa-miR-139-3p,hsa-miR-4647,,,
ZNF347,0.169,0.458,0.372,2,hsa-miR-3155b,hsa-miR-4647,,,
DDX39B,0.0482,0.458,0.179,2,hsa-miR-4472,hsa-miR-4647,,,
FSTL4,0.0224,0.458,0.118,2,hsa-miR-4472,hsa-miR-4647,,,
PYGO1,0.044,0.458,0.17,2,hsa-miR-4472,hsa-miR-4647,,,
SMG1,0.188,0.458,0.398,2,hsa-miR-548h-5p,hsa-miR-4647,,,
FAM136A,0.0214,0.458,0.115,2,hsa-miR-6769b-5p,hsa-miR-4647,,,
ANP32E,0.106,0.458,0.28,2,hsa-miR-6895-3p,hsa-miR-4647,,,
AKT1S1,0.0413,0.458,0.164,2,hsa-miR-139-3p,hsa-miR-4749-5p,,,
C12orf49,0.15,0.458,0.346,2,hsa-miR-3155b,hsa-miR-4749-5p,,,
SLC7A5,0.468,0.528,0.773,2,hsa-miR-3155b,hsa-miR-4749-5p,,,
TULP1,0.00502,0.332,0.0548,2,hsa-miR-3178,hsa-miR-4749-5p,,,
CALR,0.136,0.458,0.326,2,hsa-miR-4472,hsa-miR-4749-5p,,,
GATAD2A,0.117,0.458,0.297,2,hsa-miR-4472,hsa-miR-4749-5p,,,
SENP2,0.0599,0.458,0.202,2,hsa-miR-4472,hsa-miR-4749-5p,,,
THSD4,0.04,0.458,0.162,2,hsa-miR-4472,hsa-miR-4749-5p,,,
TMEM184B,0.111,0.458,0.289,2,hsa-miR-4472,hsa-miR-4749-5p,,,
ZNF562,0.132,0.458,0.32,2,hsa-miR-548h-5p,hsa-miR-4749-5p,,,
RBMS2,0.175,0.458,0.381,2,hsa-miR-3178,hsa-miR-548h-5p,,,
PKD1,0.093,0.458,0.26,2,hsa-miR-4462,hsa-miR-548h-5p,,,
TM9SF3,0.119,0.458,0.3,2,hsa-miR-4472,hsa-miR-548h-5p,,,
RYBP,0.0362,0.458,0.153,2,hsa-miR-6857-3p,hsa-miR-548h-5p,,,
EBNA1BP2,0.107,0.458,0.283,2,hsa-miR-6895-3p,hsa-miR-548h-5p,,,
TRIM37,0.0614,0.458,0.205,2,hsa-miR-937-5p,hsa-miR-548h-5p,,,
GINS3,0.0108,0.405,0.0808,2,hsa-miR-3155b,hsa-miR-6769b-5p,,,
NUDT3,0.292,0.466,0.537,2,hsa-miR-3155b,hsa-miR-6769b-5p,,,
