Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7
GINS2,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-4722-3p,,,,,,
SRPX2,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-7703,,,,,,
GOLGA8A,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-4282,,,,,,
HP1BP3,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-7703,,,,,,
HS6ST1,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-5591-5p,,,,,,
ING1,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-134-3p,,,,,,
MB21D1,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-5587-5p,,,,,,
MPP5,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-4722-3p,,,,,,
NOS1AP,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-7854-3p,,,,,,
CYBRD1,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-371b-5p,,,,,,
CLNK,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-4722-3p,,,,,,
CDIPT,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-1229-3p,,,,,,
BTN3A3,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-4524b-5p,,,,,,
TMEM132B,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-371b-5p,,,,,,
TNIP2,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-548h-5p,,,,,,
TRMT112,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-371b-5p,,,,,,
TSPAN31,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-7703,,,,,,
TUBA1B,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-1229-3p,,,,,,
ZNF415,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-218-2-3p,,,,,,
ZNF787,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-4749-5p,,,,,,
ACSM2B,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-548h-5p,,,,,,
ADAMTS17,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-371b-5p,,,,,,
APOH,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-6829-3p,,,,,,
ARPC2,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-371b-5p,,,,,,
ATAD3C,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-6829-3p,,,,,,
ATP2B1,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-4282,,,,,,
ATP5S,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-4282,,,,,,
AZF1,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-4282,,,,,,
NR1D2,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-412-3p,,,,,,
NRIP1,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-1229-3p,,,,,,
OTULIN,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-371b-5p,,,,,,
TNS4,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-5591-5p,,,,,,
TUBB4A,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-6722-3p,,,,,,
UBB,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-1227-5p,,,,,,
UBE4B,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-218-2-3p,,,,,,
UHRF1BP1,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-4282,,,,,,
WDR33,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-4722-3p,,,,,,
WDR5B,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-371b-5p,,,,,,
XPO6,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-1227-5p,,,,,,
ZNF33A,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-1253,,,,,,
ZNF512B,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-218-2-3p,,,,,,
ZNF543,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-7703,,,,,,
ZXDB,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-7151-5p,,,,,,
ARL13B,0.017857142857142905,0.375,0.595,0.463,1,hsa-miR-548h-5p,,,,,,
ASNA1,0.017857142857142905,0.375,0.595,0.463,1,hsa-miR-6769b-5p,,,,,,
ASTN2,0.017857142857142905,0.375,0.595,0.463,1,hsa-miR-1253,,,,,,
BCL2L15,0.017857142857142905,0.375,0.595,0.463,1,hsa-miR-371b-5p,,,,,,
TTLL1,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-7703,,,,,,
TNRC18P2,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-6769b-5p,,,,,,
PCTP,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-4282,,,,,,
TMEM199,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-371b-5p,,,,,,
PKHD1,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-5591-5p,,,,,,
PLA2G4A,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-6722-3p,,,,,,
PPP1R18,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-548h-5p,,,,,,
PRELID1,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-548h-5p,,,,,,
PRPS1L1,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-548h-5p,,,,,,
QTRT2,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-371b-5p,,,,,,
RELA,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-5591-5p,,,,,,
RHCG,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-371b-5p,,,,,,
RPL27A,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-7703,,,,,,
SERP1,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-4282,,,,,,
SLC25A46,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-449c-3p,,,,,,
SREK1,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-4524b-5p,,,,,,
THOC5,0.017857142857142905,0.368,0.595,0.452,1,hsa-miR-7703,,,,,,
TMBIM4,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-1253,,,,,,
TMEM136,0.017857142857142905,0.361,0.595,0.442,1,hsa-miR-371b-5p,,,,,,
TCEANC2,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-4722-3p,,,,,,
RNASEH1,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-4722-3p,,,,,,
ZNF239,0.017857142857142905,0.032,0.592,0.0323,1,hsa-miR-4282,,,,,,
ZNF846,0.017857142857142905,0.246,0.592,0.28,1,hsa-miR-218-2-3p,,,,,,
ZNF691,0.017857142857142905,0.187,0.592,0.205,1,hsa-miR-4524b-5p,,,,,,
ZNF707,0.017857142857142905,0.141,0.592,0.151,1,hsa-miR-4722-3p,,,,,,
ZNF75A,0.017857142857142905,0.287,0.592,0.334,1,hsa-miR-7703,,,,,,
ZNF781,0.017857142857142905,0.255,0.592,0.291,1,hsa-miR-1229-3p,,,,,,
ZNF813,0.017857142857142905,0.246,0.592,0.28,1,hsa-miR-4282,,,,,,
ZNF835,0.017857142857142905,0.23,0.592,0.259,1,hsa-miR-7703,,,,,,
ZNF84,0.017857142857142905,0.263,0.592,0.302,1,hsa-miR-7703,,,,,,
ZNF865,0.017857142857142905,0.263,0.592,0.302,1,hsa-miR-4722-3p,,,,,,
PPP1R14C,0.017857142857142905,0.354,0.595,0.431,1,hsa-miR-134-3p,,,,,,
ALDH1B1,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-7703,,,,,,
ANGEL1,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-4722-3p,,,,,,
ATG14,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-6829-3p,,,,,,
CARD6,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-7703,,,,,,
CASZ1,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-4749-5p,,,,,,
CD276,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-6769b-5p,,,,,,
CKS2,0.017857142857142905,0.347,0.593,0.42,1,hsa-miR-6847-3p,,,,,,
ZNF687,0.017857142857142905,0.063,0.592,0.0646,1,hsa-miR-1229-3p,,,,,,
ZNF667,0.017857142857142905,0.263,0.592,0.302,1,hsa-miR-4722-3p,,,,,,
ZNF655,0.017857142857142905,0.279,0.592,0.323,1,hsa-miR-218-2-3p,,,,,,
