Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7
MED28,0.125,0.00459,0.592,0.312,7,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-6847-3p,hsa-miR-660-5p,hsa-miR-4741,hsa-miR-7703,hsa-miR-6769b-5p
CELF1,0.125,0.00526,0.592,0.32,7,hsa-miR-1229-3p,hsa-miR-412-3p,hsa-miR-6847-3p,hsa-miR-5587-5p,hsa-miR-4741,hsa-miR-6722-3p,hsa-miR-7854-3p
OTUD7B,0.1071428571428571,0.00097,0.539,0.201,6,hsa-miR-1229-3p,hsa-miR-371b-5p,hsa-miR-4282,hsa-miR-7703,hsa-miR-6847-3p,hsa-miR-7854-3p,
PIGO,0.1071428571428571,0.000653,0.539,0.187,6,hsa-miR-371b-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-1227-5p,hsa-miR-6802-3p,hsa-miR-412-3p,
RAD51,0.1071428571428571,0.00395,0.592,0.264,6,hsa-miR-7854-3p,hsa-miR-4722-3p,hsa-miR-371b-5p,hsa-miR-6847-3p,hsa-miR-7703,hsa-miR-6722-3p,
KDELR1,0.1071428571428571,0.00166,0.585,0.223,6,hsa-miR-1227-5p,hsa-miR-3130-3p,hsa-miR-5585-3p,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-6802-3p,
NUDT3,0.1071428571428571,0.0124,0.592,0.334,6,hsa-miR-7703,hsa-miR-5587-5p,hsa-miR-4282,hsa-miR-371b-5p,hsa-miR-1253,hsa-miR-6769b-5p,
SKI,0.1071428571428571,0.0216,0.592,0.377,6,hsa-miR-4524b-5p,hsa-miR-6722-3p,hsa-miR-4282,hsa-miR-371b-5p,hsa-miR-1227-5p,hsa-miR-4741,
SETD1B,0.0892857142857143,0.0156,0.592,0.304,5,hsa-miR-4524b-5p,hsa-miR-412-3p,hsa-miR-5591-5p,hsa-miR-1253,hsa-miR-6769b-5p,,
TIMM8A,0.0892857142857143,0.0106,0.592,0.276,5,hsa-miR-7703,hsa-miR-4722-3p,hsa-miR-7151-5p,hsa-miR-1229-3p,hsa-miR-6829-3p,,
PEX26,0.0892857142857143,0.0386,0.592,0.384,5,hsa-miR-4741,hsa-miR-134-3p,hsa-miR-4722-3p,hsa-miR-6829-3p,hsa-miR-4749-5p,,
WIPF2,0.0892857142857143,0.00726,0.592,0.252,5,hsa-miR-7854-3p,hsa-miR-449c-3p,hsa-miR-1253,hsa-miR-371b-5p,hsa-miR-4722-3p,,
OCIAD2,0.0892857142857143,0.00989,0.592,0.271,5,hsa-miR-4722-3p,hsa-miR-3130-3p,hsa-miR-6829-3p,hsa-miR-371b-5p,hsa-miR-7703,,
KMT2D,0.0892857142857143,0.031,0.592,0.362,5,hsa-miR-1229-3p,hsa-miR-1227-5p,hsa-miR-4749-5p,hsa-miR-5591-5p,hsa-miR-7854-3p,,
FOXK1,0.0892857142857143,0.14,0.592,0.558,5,hsa-miR-1229-3p,hsa-miR-548h-5p,hsa-miR-4524b-5p,hsa-miR-134-3p,hsa-miR-4741,,
HNRNPA1,0.0892857142857143,0.0152,0.592,0.302,5,hsa-miR-1229-3p,hsa-miR-412-3p,hsa-miR-660-5p,hsa-miR-4524b-5p,hsa-miR-4722-3p,,
KLHL36,0.0892857142857143,0.00154,0.585,0.177,5,hsa-miR-218-2-3p,hsa-miR-5587-5p,hsa-miR-371b-5p,hsa-miR-7854-3p,hsa-miR-4722-3p,,
ZNF460,0.0892857142857143,0.343,0.593,0.774,5,hsa-miR-7151-5p,hsa-miR-1253,hsa-miR-3130-3p,hsa-miR-7703,hsa-miR-5585-3p,,
BMPR1A,0.0892857142857143,0.00581,0.592,0.239,5,hsa-miR-5585-3p,hsa-miR-1253,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-6802-3p,,
TMEM154,0.0714285714285714,0.013,0.592,0.234,4,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-5585-3p,hsa-miR-6829-3p,,,
BCL2L1,0.0714285714285714,0.0801,0.592,0.415,4,hsa-miR-7854-3p,hsa-miR-4722-3p,hsa-miR-371b-5p,hsa-miR-6722-3p,,,
HMGA1,0.0714285714285714,0.0894,0.592,0.431,4,hsa-miR-4741,hsa-miR-6802-3p,hsa-miR-5591-5p,hsa-miR-4722-3p,,,
IPP,0.0714285714285714,0.0244,0.592,0.283,4,hsa-miR-7703,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-371b-5p,,,
SAMD8,0.0714285714285714,0.0416,0.592,0.334,4,hsa-miR-548h-5p,hsa-miR-6829-3p,hsa-miR-6802-3p,hsa-miR-4722-3p,,,
PKD1,0.0714285714285714,0.0146,0.592,0.242,4,hsa-miR-412-3p,hsa-miR-5591-5p,hsa-miR-6722-3p,hsa-miR-548h-5p,,,
C12orf49,0.0714285714285714,0.0375,0.592,0.323,4,hsa-miR-7854-3p,hsa-miR-5587-5p,hsa-miR-4749-5p,hsa-miR-1229-3p,,,
SFT2D2,0.0714285714285714,0.177,0.592,0.555,4,hsa-miR-4524b-5p,hsa-miR-6722-3p,hsa-miR-1253,hsa-miR-6847-3p,,,
HMGN2,0.0714285714285714,0.0943,0.592,0.439,4,hsa-miR-548h-5p,hsa-miR-1253,hsa-miR-371b-5p,hsa-miR-5591-5p,,,
IKZF3,0.0714285714285714,0.0529,0.592,0.361,4,hsa-miR-371b-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-7703,,,
FEM1A,0.0714285714285714,0.229,0.592,0.617,4,hsa-miR-7854-3p,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-6769b-5p,,,
FOSL2,0.0714285714285714,0.0169,0.592,0.253,4,hsa-miR-7703,hsa-miR-6769b-5p,hsa-miR-6847-3p,hsa-miR-7151-5p,,,
MIDN,0.0714285714285714,0.204,0.592,0.587,4,hsa-miR-7854-3p,hsa-miR-3130-3p,hsa-miR-6722-3p,hsa-miR-6769b-5p,,,
GIGYF1,0.0714285714285714,0.283,0.592,0.676,4,hsa-miR-412-3p,hsa-miR-6769b-5p,hsa-miR-6802-3p,hsa-miR-6829-3p,,,
GATA6,0.0714285714285714,0.179,0.592,0.558,4,hsa-miR-1229-3p,hsa-miR-7703,hsa-miR-1253,hsa-miR-6829-3p,,,
PARP15,0.0714285714285714,0.0236,0.592,0.28,4,hsa-miR-4282,hsa-miR-371b-5p,hsa-miR-548h-5p,hsa-miR-6847-3p,,,
KIF3A,0.0714285714285714,0.0493,0.592,0.353,4,hsa-miR-548h-5p,hsa-miR-4282,hsa-miR-4722-3p,hsa-miR-7703,,,
TOR4A,0.0714285714285714,0.0067,0.592,0.194,4,hsa-miR-4749-5p,hsa-miR-7703,hsa-miR-6774-3p,hsa-miR-1253,,,
PARD6B,0.0714285714285714,0.0405,0.592,0.331,4,hsa-miR-4282,hsa-miR-5591-5p,hsa-miR-4524b-5p,hsa-miR-371b-5p,,,
CYP20A1,0.0714285714285714,0.126,0.592,0.487,4,hsa-miR-6722-3p,hsa-miR-548h-5p,hsa-miR-371b-5p,hsa-miR-6847-3p,,,
MMAB,0.0714285714285714,0.0229,0.592,0.277,4,hsa-miR-3130-3p,hsa-miR-4524b-5p,hsa-miR-7854-3p,hsa-miR-371b-5p,,,
SRARP,0.0714285714285714,0.000997,0.539,0.116,4,hsa-miR-5587-5p,hsa-miR-6802-3p,hsa-miR-412-3p,hsa-miR-1253,,,
ZNF445,0.0714285714285714,0.000911,0.539,0.113,4,hsa-miR-7703,hsa-miR-6802-3p,hsa-miR-371b-5p,hsa-miR-1253,,,
MAPK8,0.0714285714285714,0.00307,0.585,0.156,4,hsa-miR-4524b-5p,hsa-miR-7703,hsa-miR-371b-5p,hsa-miR-4282,,,
MAPKAPK2,0.0714285714285714,0.00177,0.585,0.135,4,hsa-miR-1229-3p,hsa-miR-1253,hsa-miR-5591-5p,hsa-miR-6722-3p,,,
PAK4,0.0714285714285714,0.00307,0.585,0.156,4,hsa-miR-1229-3p,hsa-miR-371b-5p,hsa-miR-6829-3p,hsa-miR-4749-5p,,,
SCOC,0.0714285714285714,0.0019,0.585,0.137,4,hsa-miR-1253,hsa-miR-134-3p,hsa-miR-371b-5p,hsa-miR-4282,,,
MAFK,0.0714285714285714,0.031,0.592,0.304,4,hsa-miR-6829-3p,hsa-miR-134-3p,hsa-miR-4749-5p,hsa-miR-6722-3p,,,
LRRC3C,0.0714285714285714,0.0208,0.592,0.269,4,hsa-miR-1253,hsa-miR-134-3p,hsa-miR-7703,hsa-miR-4722-3p,,,
LRIG2,0.0714285714285714,0.031,0.592,0.304,4,hsa-miR-4282,hsa-miR-412-3p,hsa-miR-6829-3p,hsa-miR-1253,,,
ZNF264,0.0714285714285714,0.243,0.592,0.633,4,hsa-miR-1229-3p,hsa-miR-449c-3p,hsa-miR-4282,hsa-miR-7703,,,
COX6B1,0.0714285714285714,0.132,0.592,0.496,4,hsa-miR-4524b-5p,hsa-miR-4741,hsa-miR-6847-3p,hsa-miR-7703,,,
RNF40,0.0714285714285714,0.0175,0.592,0.256,4,hsa-miR-1229-3p,hsa-miR-1227-5p,hsa-miR-6769b-5p,hsa-miR-7854-3p,,,
CALR,0.0714285714285714,0.031,0.592,0.304,4,hsa-miR-412-3p,hsa-miR-6722-3p,hsa-miR-1253,hsa-miR-4749-5p,,,
YOD1,0.0714285714285714,0.166,0.592,0.541,4,hsa-miR-412-3p,hsa-miR-548h-5p,hsa-miR-449c-3p,hsa-miR-218-2-3p,,,
ORC6,0.0714285714285714,0.00439,0.592,0.172,4,hsa-miR-6829-3p,hsa-miR-7854-3p,hsa-miR-4741,hsa-miR-7703,,,
PAICS,0.0714285714285714,0.00415,0.592,0.17,4,hsa-miR-134-3p,hsa-miR-3130-3p,hsa-miR-7703,hsa-miR-371b-5p,,,
DCAF7,0.0714285714285714,0.113,0.592,0.469,4,hsa-miR-1229-3p,hsa-miR-4282,hsa-miR-1253,hsa-miR-6769b-5p,,,
KLHL11,0.0714285714285714,0.014,0.592,0.24,4,hsa-miR-548h-5p,hsa-miR-4282,hsa-miR-6829-3p,hsa-miR-7703,,,
KCNMB1,0.0535714285714286,0.0705,0.592,0.323,3,hsa-miR-3130-3p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
KLF2,0.0535714285714286,0.106,0.592,0.384,3,hsa-miR-6802-3p,hsa-miR-412-3p,hsa-miR-371b-5p,,,,
NACC1,0.0535714285714286,0.574,0.651,0.977,3,hsa-miR-218-2-3p,hsa-miR-5591-5p,hsa-miR-6769b-5p,,,,
GTF2H5,0.0535714285714286,0.058,0.592,0.298,3,hsa-miR-548h-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
KIF5B,0.0535714285714286,0.0782,0.592,0.338,3,hsa-miR-4282,hsa-miR-7703,hsa-miR-4524b-5p,,,,
MBOAT2,0.0535714285714286,0.014,0.592,0.172,3,hsa-miR-4282,hsa-miR-5591-5p,hsa-miR-4722-3p,,,,
KIAA1456,0.0535714285714286,0.175,0.592,0.485,3,hsa-miR-4524b-5p,hsa-miR-134-3p,hsa-miR-5587-5p,,,,
MAP3K2,0.0535714285714286,0.0822,0.592,0.345,3,hsa-miR-5587-5p,hsa-miR-5585-3p,hsa-miR-5591-5p,,,,
IMP4,0.0535714285714286,0.0686,0.592,0.32,3,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-7703,,,,
KCNK5,0.0535714285714286,0.0802,0.592,0.341,3,hsa-miR-371b-5p,hsa-miR-1253,hsa-miR-5591-5p,,,,
INAFM1,0.0535714285714286,0.0233,0.592,0.208,3,hsa-miR-134-3p,hsa-miR-4741,hsa-miR-7854-3p,,,,
ITGA2,0.0535714285714286,0.106,0.592,0.384,3,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
LLGL1,0.0535714285714286,0.0379,0.592,0.251,3,hsa-miR-6769b-5p,hsa-miR-6722-3p,hsa-miR-7854-3p,,,,
LAX1,0.0535714285714286,0.134,0.592,0.427,3,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-7703,,,,
HNRNPUL1,0.0535714285714286,0.099,0.592,0.373,3,hsa-miR-1229-3p,hsa-miR-134-3p,hsa-miR-6722-3p,,,,
GSR,0.0535714285714286,0.099,0.592,0.373,3,hsa-miR-4722-3p,hsa-miR-6802-3p,hsa-miR-6829-3p,,,,
KNSTRN,0.0535714285714286,0.0326,0.592,0.237,3,hsa-miR-5587-5p,hsa-miR-4722-3p,hsa-miR-7703,,,,
HSPE1-MOB4,0.0535714285714286,0.0632,0.592,0.309,3,hsa-miR-4524b-5p,hsa-miR-4722-3p,hsa-miR-5587-5p,,,,
SLC7A5,0.0535714285714286,0.563,0.647,0.962,3,hsa-miR-1227-5p,hsa-miR-4749-5p,hsa-miR-6829-3p,,,,
FOXJ3,0.0535714285714286,0.0393,0.592,0.255,3,hsa-miR-5585-3p,hsa-miR-6802-3p,hsa-miR-371b-5p,,,,
GRB2,0.0535714285714286,0.0822,0.592,0.345,3,hsa-miR-4749-5p,hsa-miR-4282,hsa-miR-6829-3p,,,,
CLUAP1,0.0535714285714286,0.0822,0.592,0.345,3,hsa-miR-7151-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
DEFB105A,0.0535714285714286,0.0104,0.592,0.154,3,hsa-miR-6847-3p,hsa-miR-7703,hsa-miR-371b-5p,,,,
DDX3X,0.0535714285714286,0.131,0.592,0.424,3,hsa-miR-4524b-5p,hsa-miR-7703,hsa-miR-4282,,,,
DDX19B,0.0535714285714286,0.099,0.592,0.373,3,hsa-miR-3130-3p,hsa-miR-6829-3p,hsa-miR-371b-5p,,,,
DCTN4,0.0535714285714286,0.00908,0.592,0.147,3,hsa-miR-4282,hsa-miR-218-2-3p,hsa-miR-6774-3p,,,,
AGO2,0.0535714285714286,0.644,0.689,1.08,3,hsa-miR-548h-5p,hsa-miR-6769b-5p,hsa-miR-412-3p,,,,
CSE1L,0.0535714285714286,0.0379,0.592,0.251,3,hsa-miR-548h-5p,hsa-miR-371b-5p,hsa-miR-7703,,,,
CRISPLD2,0.0535714285714286,0.264,0.592,0.596,3,hsa-miR-7854-3p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
COL1A1,0.0535714285714286,0.0842,0.592,0.348,3,hsa-miR-412-3p,hsa-miR-1253,hsa-miR-4741,,,,
CLPB,0.0535714285714286,0.162,0.592,0.467,3,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-6769b-5p,,,,
DNAL1,0.0535714285714286,0.273,0.592,0.607,3,hsa-miR-7703,hsa-miR-6847-3p,hsa-miR-4722-3p,,,,
CLIC5,0.0535714285714286,0.0192,0.592,0.194,3,hsa-miR-4282,hsa-miR-6802-3p,hsa-miR-412-3p,,,,
CHERP,0.0535714285714286,0.0762,0.592,0.334,3,hsa-miR-4749-5p,hsa-miR-5591-5p,hsa-miR-6769b-5p,,,,
CES2,0.0535714285714286,0.0301,0.592,0.23,3,hsa-miR-7854-3p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
CDC27,0.0535714285714286,0.0192,0.592,0.194,3,hsa-miR-4282,hsa-miR-1253,hsa-miR-218-2-3p,,,,
CCS,0.0535714285714286,0.0513,0.592,0.284,3,hsa-miR-6802-3p,hsa-miR-371b-5p,hsa-miR-4282,,,,
CCPG1,0.0535714285714286,0.00412,0.592,0.111,3,hsa-miR-6847-3p,hsa-miR-4282,hsa-miR-6774-3p,,,,
CAPZA2,0.0535714285714286,0.112,0.592,0.395,3,hsa-miR-4524b-5p,hsa-miR-7151-5p,hsa-miR-4722-3p,,,,
CAPZA1,0.0535714285714286,0.141,0.592,0.438,3,hsa-miR-548h-5p,hsa-miR-4722-3p,hsa-miR-6722-3p,,,,
DEFB105B,0.0535714285714286,0.0104,0.592,0.154,3,hsa-miR-6847-3p,hsa-miR-7703,hsa-miR-371b-5p,,,,
DOT1L,0.0535714285714286,0.0125,0.592,0.165,3,hsa-miR-412-3p,hsa-miR-1227-5p,hsa-miR-5585-3p,,,,
GPC4,0.0535714285714286,0.0724,0.592,0.327,3,hsa-miR-7703,hsa-miR-548h-5p,hsa-miR-6847-3p,,,,
FBXL18,0.0535714285714286,0.159,0.592,0.463,3,hsa-miR-5585-3p,hsa-miR-4524b-5p,hsa-miR-6722-3p,,,,
GLG1,0.0535714285714286,0.0686,0.592,0.32,3,hsa-miR-6722-3p,hsa-miR-5591-5p,hsa-miR-7703,,,,
GK5,0.0535714285714286,0.2,0.592,0.517,3,hsa-miR-1227-5p,hsa-miR-7703,hsa-miR-4722-3p,,,,
GJD3,0.0535714285714286,0.165,0.592,0.47,3,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
GAPVD1,0.0535714285714286,0.103,0.592,0.381,3,hsa-miR-371b-5p,hsa-miR-6802-3p,hsa-miR-412-3p,,,,
FSCN1,0.0535714285714286,0.0883,0.592,0.356,3,hsa-miR-4749-5p,hsa-miR-6722-3p,hsa-miR-6802-3p,,,,
FHL2,0.0535714285714286,0.065,0.592,0.312,3,hsa-miR-412-3p,hsa-miR-7703,hsa-miR-4282,,,,
FGF19,0.0535714285714286,0.0277,0.592,0.223,3,hsa-miR-4741,hsa-miR-6769b-5p,hsa-miR-7854-3p,,,,
FBXO47,0.0535714285714286,0.0436,0.592,0.266,3,hsa-miR-4722-3p,hsa-miR-371b-5p,hsa-miR-7703,,,,
FAM241A,0.0535714285714286,0.288,0.592,0.625,3,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-3130-3p,,,,
E2F2,0.0535714285714286,0.0632,0.592,0.309,3,hsa-miR-4722-3p,hsa-miR-134-3p,hsa-miR-6829-3p,,,,
FAM229B,0.0535714285714286,0.0421,0.592,0.262,3,hsa-miR-4524b-5p,hsa-miR-6829-3p,hsa-miR-1229-3p,,,,
FAM153B,0.0535714285714286,0.00582,0.592,0.126,3,hsa-miR-6829-3p,hsa-miR-5585-3p,hsa-miR-4722-3p,,,,
FAM151B,0.0535714285714286,0.0632,0.592,0.309,3,hsa-miR-1253,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
EXTL3,0.0535714285714286,0.0243,0.592,0.212,3,hsa-miR-5591-5p,hsa-miR-6847-3p,hsa-miR-134-3p,,,,
ETNK1,0.0535714285714286,0.0686,0.592,0.32,3,hsa-miR-548h-5p,hsa-miR-4282,hsa-miR-6847-3p,,,,
ENPP5,0.0535714285714286,0.122,0.592,0.409,3,hsa-miR-1253,hsa-miR-660-5p,hsa-miR-548h-5p,,,,
KLHL15,0.0535714285714286,0.615,0.67,1.03,3,hsa-miR-1229-3p,hsa-miR-4282,hsa-miR-6722-3p,,,,
EIF5AL1,0.0535714285714286,0.124,0.592,0.413,3,hsa-miR-1253,hsa-miR-412-3p,hsa-miR-4741,,,,
MEX3A,0.0535714285714286,0.0802,0.592,0.341,3,hsa-miR-6769b-5p,hsa-miR-6722-3p,hsa-miR-6829-3p,,,,
OTUB1,0.0535714285714286,0.0117,0.592,0.162,3,hsa-miR-4749-5p,hsa-miR-6722-3p,hsa-miR-7854-3p,,,,
MKI67,0.0535714285714286,0.0597,0.592,0.302,3,hsa-miR-5587-5p,hsa-miR-4722-3p,hsa-miR-548h-5p,,,,
MOB4,0.0535714285714286,0.0668,0.592,0.316,3,hsa-miR-4524b-5p,hsa-miR-4722-3p,hsa-miR-5587-5p,,,,
TRAF3IP1,0.0535714285714286,0.0289,0.592,0.226,3,hsa-miR-6847-3p,hsa-miR-371b-5p,hsa-miR-7703,,,,
TNPO2,0.0535714285714286,0.149,0.592,0.449,3,hsa-miR-6722-3p,hsa-miR-1253,hsa-miR-4722-3p,,,,
TMOD3,0.0535714285714286,0.139,0.592,0.435,3,hsa-miR-4282,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
P2RY2,0.0535714285714286,0.000571,0.539,0.0575,3,hsa-miR-1229-3p,hsa-miR-6802-3p,hsa-miR-412-3p,,,,
TMEM44,0.0535714285714286,0.0079,0.592,0.14,3,hsa-miR-4524b-5p,hsa-miR-371b-5p,hsa-miR-7703,,,,
TMEM151A,0.0535714285714286,0.0157,0.592,0.18,3,hsa-miR-6722-3p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
TLN1,0.0535714285714286,0.0802,0.592,0.341,3,hsa-miR-371b-5p,hsa-miR-4282,hsa-miR-5591-5p,,,,
TFDP2,0.0535714285714286,0.139,0.592,0.435,3,hsa-miR-7703,hsa-miR-371b-5p,hsa-miR-4282,,,,
TEF,0.0535714285714286,0.011,0.592,0.158,3,hsa-miR-4282,hsa-miR-7703,hsa-miR-4524b-5p,,,,
TAF8,0.0535714285714286,0.099,0.592,0.373,3,hsa-miR-7703,hsa-miR-4741,hsa-miR-6847-3p,,,,
SYAP1,0.0535714285714286,0.0597,0.592,0.302,3,hsa-miR-5587-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
SULT1B1,0.0535714285714286,0.165,0.592,0.47,3,hsa-miR-371b-5p,hsa-miR-6847-3p,hsa-miR-1253,,,,
SSBP2,0.0535714285714286,0.149,0.592,0.449,3,hsa-miR-7854-3p,hsa-miR-6829-3p,hsa-miR-7703,,,,
SRF,0.0535714285714286,0.0743,0.592,0.33,3,hsa-miR-1229-3p,hsa-miR-6802-3p,hsa-miR-4722-3p,,,,
SPRYD4,0.0535714285714286,0.0705,0.592,0.323,3,hsa-miR-548h-5p,hsa-miR-7703,hsa-miR-371b-5p,,,,
SP2,0.0535714285714286,0.0529,0.592,0.287,3,hsa-miR-6722-3p,hsa-miR-7854-3p,hsa-miR-6802-3p,,,,
SORD,0.0535714285714286,0.0202,0.592,0.198,3,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-6847-3p,,,,
SON,0.0535714285714286,0.139,0.592,0.435,3,hsa-miR-412-3p,hsa-miR-4282,hsa-miR-218-2-3p,,,,
SMYD1,0.0535714285714286,0.00848,0.592,0.144,3,hsa-miR-5585-3p,hsa-miR-3130-3p,hsa-miR-7854-3p,,,,
TRAF7,0.0535714285714286,0.0529,0.592,0.287,3,hsa-miR-1229-3p,hsa-miR-6802-3p,hsa-miR-6722-3p,,,,
TRAPPC2,0.0535714285714286,0.124,0.592,0.413,3,hsa-miR-7703,hsa-miR-6769b-5p,hsa-miR-7854-3p,,,,
UTP6,0.0535714285714286,0.0148,0.592,0.176,3,hsa-miR-7703,hsa-miR-1253,hsa-miR-371b-5p,,,,
ZNF417,0.0535714285714286,0.246,0.592,0.575,3,hsa-miR-7703,hsa-miR-3130-3p,hsa-miR-6829-3p,,,,
CNBP,0.0535714285714286,0.358,0.595,0.707,3,hsa-miR-7703,hsa-miR-4282,hsa-miR-7854-3p,,,,
TUBB2A,0.0535714285714286,0.345,0.593,0.693,3,hsa-miR-7854-3p,hsa-miR-1253,hsa-miR-371b-5p,,,,
ZSWIM4,0.0535714285714286,0.00536,0.592,0.122,3,hsa-miR-1253,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
ZNRF3,0.0535714285714286,0.0254,0.592,0.215,3,hsa-miR-4524b-5p,hsa-miR-7703,hsa-miR-7854-3p,,,,
ZNF860,0.0535714285714286,0.0326,0.592,0.237,3,hsa-miR-371b-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
ZNF8,0.0535714285714286,0.0407,0.592,0.259,3,hsa-miR-6769b-5p,hsa-miR-5587-5p,hsa-miR-6829-3p,,,,
ZNF641,0.0535714285714286,0.0597,0.592,0.302,3,hsa-miR-7854-3p,hsa-miR-6769b-5p,hsa-miR-7703,,,,
ZNF556,0.0535714285714286,0.119,0.592,0.406,3,hsa-miR-4722-3p,hsa-miR-7703,hsa-miR-6829-3p,,,,
ZNF347,0.0535714285714286,0.159,0.592,0.463,3,hsa-miR-5587-5p,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
VHL,0.0535714285714286,0.0289,0.592,0.226,3,hsa-miR-4282,hsa-miR-6802-3p,hsa-miR-371b-5p,,,,
ZNF195,0.0535714285714286,0.00492,0.592,0.119,3,hsa-miR-1229-3p,hsa-miR-218-2-3p,hsa-miR-412-3p,,,,
ZMAT3,0.0535714285714286,0.203,0.592,0.521,3,hsa-miR-4282,hsa-miR-4524b-5p,hsa-miR-371b-5p,,,,
YWHAZ,0.0535714285714286,0.403,0.601,0.761,3,hsa-miR-1229-3p,hsa-miR-6769b-5p,hsa-miR-134-3p,,,,
ZFP69B,0.0535714285714286,0.0632,0.592,0.309,3,hsa-miR-1229-3p,hsa-miR-7703,hsa-miR-218-2-3p,,,,
ZBTB3,0.0535714285714286,0.0482,0.592,0.277,3,hsa-miR-371b-5p,hsa-miR-6847-3p,hsa-miR-4722-3p,,,,
YTHDF1,0.0535714285714286,0.0421,0.592,0.262,3,hsa-miR-4282,hsa-miR-660-5p,hsa-miR-7151-5p,,,,
ORAI2,0.0535714285714286,0.409,0.604,0.769,3,hsa-miR-6769b-5p,hsa-miR-6829-3p,hsa-miR-7703,,,,
WDR12,0.0535714285714286,0.0243,0.592,0.212,3,hsa-miR-4722-3p,hsa-miR-371b-5p,hsa-miR-7703,,,,
SLC7A11,0.0535714285714286,0.0925,0.592,0.363,3,hsa-miR-4282,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
SLC1A5,0.0535714285714286,0.288,0.592,0.625,3,hsa-miR-3130-3p,hsa-miR-4722-3p,hsa-miR-6847-3p,,,,
TAOK1,0.0535714285714286,0.448,0.612,0.815,3,hsa-miR-4524b-5p,hsa-miR-5585-3p,hsa-miR-6769b-5p,,,,
PAFAH1B2,0.0535714285714286,0.183,0.592,0.496,3,hsa-miR-548h-5p,hsa-miR-5585-3p,hsa-miR-6847-3p,,,,
PHB2,0.0535714285714286,0.167,0.592,0.474,3,hsa-miR-548h-5p,hsa-miR-412-3p,hsa-miR-6802-3p,,,,
PHAX,0.0535714285714286,0.217,0.592,0.539,3,hsa-miR-6847-3p,hsa-miR-6829-3p,hsa-miR-371b-5p,,,,
PDP2,0.0535714285714286,0.117,0.592,0.402,3,hsa-miR-6722-3p,hsa-miR-134-3p,hsa-miR-371b-5p,,,,
PDLIM5,0.0535714285714286,0.0277,0.592,0.223,3,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-6722-3p,,,,
PDE12,0.0535714285714286,0.141,0.592,0.438,3,hsa-miR-548h-5p,hsa-miR-4722-3p,hsa-miR-6847-3p,,,,
PCLAF,0.0535714285714286,0.0277,0.592,0.223,3,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-7703,,,,
PCBD2,0.0535714285714286,0.0277,0.592,0.223,3,hsa-miR-4282,hsa-miR-6847-3p,hsa-miR-7703,,,,
PARP2,0.0535714285714286,0.122,0.592,0.409,3,hsa-miR-6847-3p,hsa-miR-371b-5p,hsa-miR-7854-3p,,,,
NUPL2,0.0535714285714286,0.115,0.592,0.399,3,hsa-miR-7703,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
POC1A,0.0535714285714286,0.0365,0.592,0.248,3,hsa-miR-6722-3p,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
NUP50,0.0535714285714286,0.0436,0.592,0.266,3,hsa-miR-4282,hsa-miR-4524b-5p,hsa-miR-660-5p,,,,
NFATC2IP,0.0535714285714286,0.0379,0.592,0.251,3,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-5587-5p,,,,
NAA50,0.0535714285714286,0.167,0.592,0.474,3,hsa-miR-1229-3p,hsa-miR-5587-5p,hsa-miR-371b-5p,,,,
