"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5","microRNA 6","microRNA 7","microRNA 8","microRNA 9"
"AKR7L","0.000158","0.121","0.0736","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6805-3p","","","","",""
"ASB6","0.0000361","0.121","0.192","9","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-940","hsa-miR-941","hsa-miR-320d","hsa-miR-320b","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-4769-5p"
"MAFF","0.000158","0.121","0.0736","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-31-3p","","","","",""
"POMGNT1","0.000108","0.121","0.100","5","hsa-miR-5572","hsa-miR-7110-5p","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-1470","","","",""
"PTPN2","0.0000906","0.121","0.0970","5","hsa-miR-1202","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","hsa-miR-6805-3p","","","",""
"BRPF1","0.000313","0.138","0.125","5","hsa-miR-17-3p","hsa-miR-4472","hsa-miR-5698","hsa-miR-6730-5p","hsa-miR-4769-5p","","","",""
"ESF1","0.000294","0.138","0.159","6","hsa-miR-4443","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-495-5p","hsa-miR-6780a-5p","","",""
"MGAT1","0.000252","0.138","0.0822","4","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","hsa-miR-6805-3p","","","","",""
"SLC10A3","0.000325","0.138","0.162","6","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-1290","hsa-miR-4472","hsa-miR-504-3p","hsa-miR-6076","","",""
"ELN","0.000457","0.157","0.0952","4","hsa-miR-6819-5p","hsa-miR-4472","hsa-miR-4483","hsa-miR-342-5p","","","","",""
"MFSD13A","0.000535","0.157","0.0577","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"TMEM40","0.000535","0.157","0.0577","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"ZNF281","0.000480","0.157","0.208","7","hsa-miR-6730-5p","hsa-miR-495-5p","hsa-miR-5698","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5572","",""
"MAX","0.000655","0.167","0.145","5","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-320d","hsa-miR-320b","hsa-miR-1185-2-3p","","","",""
"MDK","0.000620","0.167","0.182","6","hsa-miR-185-3p","hsa-miR-320b","hsa-miR-320d","hsa-miR-4456","hsa-miR-4489","hsa-miR-940","","",""
"AK3","0.000761","0.171","0.108","4","hsa-miR-3652","hsa-miR-4685-3p","hsa-miR-504-3p","hsa-miR-5698","","","","",""
"VWC2","0.000727","0.171","0.0635","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"KRI1","0.000957","0.183","0.0693","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"POLD4","0.000957","0.183","0.0693","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"TIGD6","0.000957","0.183","0.0693","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"OPTN","0.00103","0.187","0.117","4","hsa-miR-17-3p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"FAM210B","0.00119","0.197","0.121","4","hsa-miR-3652","hsa-miR-4685-3p","hsa-miR-504-3p","hsa-miR-5698","","","","",""
"NKPD1","0.00119","0.197","0.121","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6805-3p","","","","",""
"HIST3H3","0.00136","0.200","0.126","4","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-4483","hsa-miR-342-5p","","","","",""
"ST3GAL1","0.00136","0.200","0.126","4","hsa-miR-1470","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"VPS13D","0.00136","0.200","0.126","4","hsa-miR-342-5p","hsa-miR-4685-3p","hsa-miR-320d","hsa-miR-320b","","","","",""
"FFAR1","0.00155","0.200","0.0808","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"IL2RA","0.00147","0.200","0.173","5","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6805-3p","hsa-miR-4685-3p","","","",""
"ISPD","0.00157","0.200","0.216","6","hsa-miR-6780a-5p","hsa-miR-940","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","hsa-miR-6805-3p","","",""
"TMEM56","0.00155","0.200","0.0808","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"JPH2","0.00176","0.210","0.180","5","hsa-miR-17-3p","hsa-miR-6805-3p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","",""
"TMEM43","0.00176","0.210","0.180","5","hsa-miR-6776-5p","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-320b","hsa-miR-320d","","","",""
"SIGLEC6","0.00191","0.214","0.0866","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"ZC3H15","0.00191","0.214","0.0866","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"GPSM2","0.00223","0.224","0.143","4","hsa-miR-17-3p","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","",""
"MPRIP","0.00220","0.224","0.231","6","hsa-miR-1290","hsa-miR-6877-5p","hsa-miR-646","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","",""
"PPIA","0.00220","0.224","0.231","6","hsa-miR-320b","hsa-miR-342-5p","hsa-miR-31-3p","hsa-miR-17-3p","hsa-miR-4456","hsa-miR-6819-5p","","",""
"TCF23","0.00220","0.224","0.231","6","hsa-miR-1227-3p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-940","hsa-miR-6780a-5p","","",""
"PGBD5","0.00232","0.227","0.0923","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"ACTR5","0.00387","0.231","0.110","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"ARHGEF5","0.00387","0.231","0.110","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"BROX","0.00413","0.231","0.218","5","hsa-miR-940","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6076","","","",""
"C4orf19","0.00450","0.231","0.115","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"C8orf58","0.00377","0.231","0.164","4","hsa-miR-4456","hsa-miR-5572","hsa-miR-6730-5p","hsa-miR-6819-5p","","","","",""
"CHDH","0.00450","0.231","0.115","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"DDX39B","0.00385","0.231","0.215","5","hsa-miR-4472","hsa-miR-7110-5p","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-185-3p","","","",""
"DNAJC8","0.00442","0.231","0.222","5","hsa-miR-6730-5p","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-6780a-5p","hsa-miR-342-5p","","","",""
"FADS6","0.00378","0.231","0.257","6","hsa-miR-6780a-5p","hsa-miR-495-5p","hsa-miR-5698","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","","",""
"FAM9B","0.00308","0.231","0.156","4","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","hsa-miR-6805-3p","","","","",""
"FBXO27","0.00278","0.231","0.0981","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"GK5","0.00274","0.231","0.312","8","hsa-miR-5572","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-6076","hsa-miR-4685-3p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p",""
"HEBP2","0.00415","0.231","0.169","4","hsa-miR-5698","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"HIST1H1B","0.00330","0.231","0.104","3","hsa-miR-5572","hsa-miR-185-3p","hsa-miR-4489","","","","","",""
"INMT","0.00413","0.231","0.218","5","hsa-miR-6741-5p","hsa-miR-3652","hsa-miR-6776-5p","hsa-miR-6780a-5p","hsa-miR-4483","","","",""
"INTS3","0.00341","0.231","0.160","4","hsa-miR-185-3p","hsa-miR-3652","hsa-miR-4443","hsa-miR-4489","","","","",""
"KDELC2","0.00455","0.231","0.173","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-646","","","","",""
"KRT32","0.00278","0.231","0.0981","3","hsa-miR-4685-3p","hsa-miR-1470","hsa-miR-944","","","","","",""
"METTL27","0.00377","0.231","0.164","4","hsa-miR-5698","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"MOGAT1","0.00309","0.231","0.204","5","hsa-miR-5698","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-1227-3p","","","",""
"NFX1","0.00387","0.231","0.110","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"PIEZO1","0.00278","0.231","0.0981","3","hsa-miR-940","hsa-miR-4472","hsa-miR-5698","","","","","",""
"PIGX","0.00450","0.231","0.115","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"PLEC","0.00442","0.231","0.222","5","hsa-miR-4472","hsa-miR-7110-5p","hsa-miR-4443","hsa-miR-4483","hsa-miR-940","","","",""
"POM121L7P","0.00450","0.231","0.115","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"QPRT","0.00377","0.231","0.164","4","hsa-miR-1470","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"RAB15","0.00471","0.231","0.268","6","hsa-miR-4472","hsa-miR-7110-5p","hsa-miR-5698","hsa-miR-6730-5p","hsa-miR-6743-3p","hsa-miR-940","","",""
"SELENON","0.00471","0.231","0.268","6","hsa-miR-646","hsa-miR-1470","hsa-miR-17-3p","hsa-miR-342-5p","hsa-miR-6819-5p","hsa-miR-940","","",""
"SLC35E2B","0.00309","0.231","0.204","5","hsa-miR-6805-3p","hsa-miR-944","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-646","","","",""
"SNX22","0.00415","0.231","0.169","4","hsa-miR-940","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"TDRD1","0.00330","0.231","0.104","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"TEP1","0.00308","0.231","0.156","4","hsa-miR-6805-3p","hsa-miR-5698","hsa-miR-504-3p","hsa-miR-3652","","","","",""
"TFPI","0.00358","0.231","0.211","5","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-3652","hsa-miR-4443","hsa-miR-6776-5p","","","",""
"TOMM70","0.00330","0.231","0.104","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"ULK1","0.00358","0.231","0.211","5","hsa-miR-320b","hsa-miR-320d","hsa-miR-6776-5p","hsa-miR-6741-5p","hsa-miR-4483","","","",""
"ZBTB7A","0.00417","0.231","0.333","8","hsa-miR-1185-2-3p","hsa-miR-5698","hsa-miR-1470","hsa-miR-4443","hsa-miR-185-3p","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-940",""
"ZNF74","0.00415","0.231","0.169","4","hsa-miR-5698","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"ZNF841","0.00330","0.231","0.104","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"ZSCAN29","0.00473","0.231","0.225","5","hsa-miR-4443","hsa-miR-940","hsa-miR-6780a-5p","hsa-miR-1470","hsa-miR-6776-5p","","","",""
"ARIH2OS","0.00519","0.251","0.121","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"PKM","0.00527","0.252","0.346","8","hsa-miR-6730-5p","hsa-miR-4472","hsa-miR-5698","hsa-miR-504-3p","hsa-miR-17-3p","hsa-miR-185-3p","hsa-miR-3652","hsa-miR-7110-5p",""
"CSTF2","0.00539","0.254","0.232","5","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-4472","hsa-miR-342-5p","hsa-miR-5698","","","",""
"ADCY2","0.00594","0.258","0.127","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"FBXL18","0.00589","0.258","0.319","7","hsa-miR-6780a-5p","hsa-miR-1470","hsa-miR-342-5p","hsa-miR-4313","hsa-miR-4472","hsa-miR-646","hsa-miR-6819-5p","",""
"HIST2H2AB","0.00594","0.258","0.127","3","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-342-5p","","","","","",""
"MAGT1","0.00592","0.258","0.186","4","hsa-miR-1202","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","",""
"RBM5","0.00583","0.258","0.0606","2","hsa-miR-320b","hsa-miR-17-3p","","","","","","",""
"RPS6KA1","0.00594","0.258","0.127","3","hsa-miR-4769-5p","hsa-miR-320d","hsa-miR-320b","","","","","",""
"SPECC1","0.00594","0.258","0.127","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"ARMCX6","0.00674","0.282","0.133","3","hsa-miR-6741-5p","hsa-miR-4754","hsa-miR-4483","","","","","",""
"BMS1","0.00762","0.282","0.139","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"C20orf196","0.00768","0.282","0.0693","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"FLG2","0.00674","0.282","0.133","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"GLRX","0.00762","0.282","0.139","3","hsa-miR-6819-5p","hsa-miR-4769-5p","hsa-miR-342-5p","","","","","",""
"HACD4","0.00690","0.282","0.246","5","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-7110-5p","hsa-miR-4443","","","",""
"MAF","0.00697","0.282","0.195","4","hsa-miR-5100","hsa-miR-342-5p","hsa-miR-4472","hsa-miR-6819-5p","","","","",""
"MAGEB10","0.00768","0.282","0.0693","2","hsa-miR-4685-3p","hsa-miR-1470","","","","","","",""
"MYH11","0.00753","0.282","0.199","4","hsa-miR-6780a-5p","hsa-miR-4472","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"PFN1","0.00775","0.282","0.253","5","hsa-miR-941","hsa-miR-342-5p","hsa-miR-320b","hsa-miR-320d","hsa-miR-4472","","","",""
"PIM3","0.00753","0.282","0.199","4","hsa-miR-940","hsa-miR-6780a-5p","hsa-miR-185-3p","hsa-miR-4489","","","","",""
"PPP1R9B","0.00775","0.282","0.253","5","hsa-miR-1224-5p","hsa-miR-342-5p","hsa-miR-3652","hsa-miR-5698","hsa-miR-6819-5p","","","",""
"RHBDL2","0.00762","0.282","0.139","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"RPTN","0.00762","0.282","0.139","3","hsa-miR-5572","hsa-miR-6805-3p","hsa-miR-6776-5p","","","","","",""
"TCF3","0.00697","0.282","0.195","4","hsa-miR-342-5p","hsa-miR-4472","hsa-miR-6819-5p","hsa-miR-7110-5p","","","","",""
"UROS","0.00674","0.282","0.133","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"ZNF485","0.00753","0.282","0.199","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-31-3p","","","","",""
"MAP4K2","0.00813","0.293","0.203","4","hsa-miR-646","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"IDS","0.00876","0.299","0.208","4","hsa-miR-185-3p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"MAPK10","0.00855","0.299","0.144","3","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-342-5p","","","","","",""
"MLX","0.00876","0.299","0.208","4","hsa-miR-320b","hsa-miR-342-5p","hsa-miR-5572","hsa-miR-6819-5p","","","","",""
"PIK3R2","0.00855","0.299","0.144","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"TMED10","0.00851","0.299","0.303","6","hsa-miR-940","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-17-3p","hsa-miR-6780a-5p","","",""
"WDR17","0.00876","0.299","0.208","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6805-3p","","","","",""
"C16orf45","0.00955","0.301","0.150","3","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"PRMT3","0.00955","0.301","0.150","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"RNF170","0.00955","0.301","0.150","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"RPH3AL","0.00918","0.301","0.263","5","hsa-miR-6780a-5p","hsa-miR-940","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-5100","","","",""
"SETD1B","0.00953","0.301","0.349","7","hsa-miR-6819-5p","hsa-miR-6793-5p","hsa-miR-4472","hsa-miR-342-5p","hsa-miR-7110-5p","hsa-miR-646","hsa-miR-17-3p","",""
"SPATA6","0.00942","0.301","0.212","4","hsa-miR-6819-5p","hsa-miR-4472","hsa-miR-342-5p","hsa-miR-5698","","","","",""
"TMEM54","0.00955","0.301","0.150","3","hsa-miR-4472","hsa-miR-4483","hsa-miR-5698","","","","","",""
"UBE2S","0.00942","0.301","0.212","4","hsa-miR-5572","hsa-miR-6819-5p","hsa-miR-4443","hsa-miR-4313","","","","",""
"XPO5","0.00955","0.301","0.150","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"ATP5E","0.00977","0.303","0.0779","2","hsa-miR-3181","hsa-miR-1290","","","","","","",""
"GRASP","0.00977","0.303","0.0779","2","hsa-miR-6877-5p","hsa-miR-941","","","","","","",""
"SEC22C","0.0101","0.311","0.216","4","hsa-miR-6776-5p","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-185-3p","","","","",""
"ACPP","0.0106","0.319","0.156","3","hsa-miR-7110-5p","hsa-miR-320d","hsa-miR-320b","","","","","",""
"MSRB1","0.0106","0.319","0.156","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"TMEM250","0.0106","0.319","0.156","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"NMNAT2","0.0108","0.323","0.221","4","hsa-miR-1224-5p","hsa-miR-5572","hsa-miR-342-5p","hsa-miR-7110-5p","","","","",""
"MEAF6","0.0113","0.333","0.277","5","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5572","hsa-miR-1202","","","",""
"RAB5B","0.0113","0.333","0.394","8","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-3652","hsa-miR-4685-3p","hsa-miR-4443","hsa-miR-4483","hsa-miR-6776-5p","hsa-miR-6780a-5p",""
"ALOX15","0.0117","0.335","0.162","3","hsa-miR-940","hsa-miR-4483","hsa-miR-6776-5p","","","","","",""
"COL13A1","0.0117","0.335","0.162","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-940","","","","","",""
"KLHL7","0.0116","0.335","0.225","4","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","",""
"RICTOR","0.0116","0.335","0.225","4","hsa-miR-31-3p","hsa-miR-4472","hsa-miR-7110-5p","hsa-miR-5698","","","","",""
"CTRC","0.0121","0.339","0.0866","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"WNT10B","0.0121","0.339","0.0866","2","hsa-miR-5572","hsa-miR-17-3p","","","","","","",""
"DBT","0.0125","0.345","0.284","5","hsa-miR-6805-3p","hsa-miR-7110-5p","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","",""
"MRPS23","0.0125","0.345","0.284","5","hsa-miR-1202","hsa-miR-504-3p","hsa-miR-5698","hsa-miR-6780a-5p","hsa-miR-6805-3p","","","",""
"ZFP36","0.0124","0.345","0.229","4","hsa-miR-6793-5p","hsa-miR-17-3p","hsa-miR-4472","hsa-miR-5698","","","","",""
"AP1S1","0.0132","0.350","0.234","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-7110-5p","","","","",""
"CCDC142","0.0129","0.350","0.167","3","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"CTXN1","0.0132","0.350","0.234","4","hsa-miR-185-3p","hsa-miR-4472","hsa-miR-4489","hsa-miR-7110-5p","","","","",""
"LUC7L","0.0129","0.350","0.167","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"MID1IP1","0.0132","0.350","0.234","4","hsa-miR-6819-5p","hsa-miR-4472","hsa-miR-342-5p","hsa-miR-7110-5p","","","","",""
"SYAP1","0.0138","0.364","0.291","5","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-4313","hsa-miR-4685-3p","","","",""
"HSPA14","0.0142","0.367","0.173","3","hsa-miR-4472","hsa-miR-185-3p","hsa-miR-4489","","","","","",""
"RBL1","0.0141","0.367","0.238","4","hsa-miR-940","hsa-miR-646","hsa-miR-5698","hsa-miR-504-3p","","","","",""
"ZNF655","0.0142","0.367","0.173","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"AGAP9","0.0145","0.370","0.294","5","hsa-miR-940","hsa-miR-6780a-5p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","",""
"CHAC1","0.0147","0.370","0.341","6","hsa-miR-4472","hsa-miR-4483","hsa-miR-6776-5p","hsa-miR-940","hsa-miR-646","hsa-miR-1202","","",""
"PABPN1","0.0147","0.370","0.341","6","hsa-miR-646","hsa-miR-342-5p","hsa-miR-3652","hsa-miR-4483","hsa-miR-6730-5p","hsa-miR-6819-5p","","",""
"PHLDA3","0.0147","0.370","0.341","6","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-1227-3p","hsa-miR-4489","hsa-miR-4472","","",""
"ACTBL2","0.0173","0.370","0.104","2","hsa-miR-320d","hsa-miR-320b","","","","","","",""
"ATXN2","0.0159","0.370","0.247","4","hsa-miR-6819-5p","hsa-miR-6793-5p","hsa-miR-4472","hsa-miR-342-5p","","","","",""
"CIPC","0.0173","0.370","0.0173","1","hsa-miR-31-3p","","","","","","","",""
"CYP2W1","0.0150","0.370","0.242","4","hsa-miR-6780a-5p","hsa-miR-6819-5p","hsa-miR-4472","hsa-miR-342-5p","","","","",""
"DHX34","0.0173","0.370","0.0173","1","hsa-miR-320b","","","","","","","",""
"DNPEP","0.0169","0.370","0.185","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"FAN1","0.0173","0.370","0.0173","1","hsa-miR-940","","","","","","","",""
"FMN1","0.0169","0.370","0.185","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
"GLYCTK","0.0173","0.370","0.0173","1","hsa-miR-940","","","","","","","",""
"GRPR","0.0173","0.370","0.0173","1","hsa-miR-17-3p","","","","","","","",""
"HS3ST1","0.0165","0.370","0.349","6","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6805-3p","hsa-miR-941","hsa-miR-4313","","",""
"LAMP5","0.0173","0.370","0.0173","1","hsa-miR-1202","","","","","","","",""
"LRP3","0.0169","0.370","0.185","3","hsa-miR-4472","hsa-miR-5698","hsa-miR-504-3p","","","","","",""
"NCBP3","0.0159","0.370","0.301","5","hsa-miR-6877-5p","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-4443","","","",""
"ND2","0.0173","0.370","0.104","2","hsa-miR-320b","hsa-miR-342-5p","","","","","","",""
"P2RX6","0.0173","0.370","0.0173","1","hsa-miR-17-3p","","","","","","","",""
"PHACTR3","0.0173","0.370","0.0173","1","hsa-miR-3181","","","","","","","",""
"PLXDC2","0.0168","0.370","0.251","4","hsa-miR-5698","hsa-miR-6805-3p","hsa-miR-3652","hsa-miR-504-3p","","","","",""
"PRMT2","0.0173","0.370","0.0173","1","hsa-miR-17-3p","","","","","","","",""
"SMOX","0.0169","0.370","0.185","3","hsa-miR-3652","hsa-miR-4472","hsa-miR-940","","","","","",""
"SSTR2","0.0159","0.370","0.247","4","hsa-miR-1227-3p","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6776-5p","","","","",""
"STIM1","0.0169","0.370","0.185","3","hsa-miR-17-3p","hsa-miR-6776-5p","hsa-miR-185-3p","","","","","",""
"TMEM256","0.0173","0.370","0.0173","1","hsa-miR-320b","","","","","","","",""
"TRIM68","0.0173","0.370","0.104","2","hsa-miR-1227-3p","hsa-miR-17-3p","","","","","","",""
"TRPM5","0.0173","0.370","0.0173","1","hsa-miR-1227-3p","","","","","","","",""
"UCP3","0.0173","0.370","0.0173","1","hsa-miR-342-5p","","","","","","","",""
"ZNF77","0.0173","0.370","0.0173","1","hsa-miR-940","","","","","","","",""
"LRTOMT","0.0178","0.376","0.255","4","hsa-miR-6819-5p","hsa-miR-342-5p","hsa-miR-1227-3p","hsa-miR-4483","","","","",""
"PALM2-AKAP2","0.0178","0.376","0.255","4","hsa-miR-185-3p","hsa-miR-4489","hsa-miR-4685-3p","hsa-miR-1470","","","","",""
"BORCS7","0.0184","0.378","0.190","3","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-5698","","","","","",""
"DDA1","0.0182","0.378","0.312","5","hsa-miR-4472","hsa-miR-7110-5p","hsa-miR-5698","hsa-miR-6776-5p","hsa-miR-940","","","",""
"E2F4","0.0184","0.378","0.190","3","hsa-miR-4472","hsa-miR-5698","hsa-miR-7110-5p","","","","","",""
"FYTTD1","0.0182","0.378","0.312","5","hsa-miR-6730-5p","hsa-miR-6780a-5p","hsa-miR-940","hsa-miR-1227-3p","hsa-miR-17-3p","","","",""
"SLC22A6","0.0184","0.378","0.190","3","hsa-miR-6793-5p","hsa-miR-4685-3p","hsa-miR-1470","","","","","",""
"MTO1","0.0189","0.381","0.260","4","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","hsa-miR-6805-3p","","","","",""
"R3HDM4","0.0189","0.381","0.260","4","hsa-miR-342-5p","hsa-miR-5698","hsa-miR-6819-5p","hsa-miR-940","","","","",""
"SEMA3E","0.0189","0.381","0.260","4","hsa-miR-1470","hsa-miR-4685-3p","hsa-miR-17-3p","hsa-miR-4754","","","","",""
"SLC35C2","0.0191","0.382","0.315","5","hsa-miR-940","hsa-miR-4472","hsa-miR-4483","hsa-miR-5698","hsa-miR-6776-5p","","","",""
"SSBP2","0.0191","0.382","0.361","6","hsa-miR-6076","hsa-miR-940","hsa-miR-6780a-5p","hsa-miR-4443","hsa-miR-1227-3p","hsa-miR-6776-5p","","",""
"FOXA2","0.0203","0.383","0.113","2","hsa-miR-1185-2-3p","hsa-miR-1290","","","","","","",""
"GJA5","0.0203","0.383","0.113","2","hsa-miR-3652","hsa-miR-6776-5p","","","","","","",""
"GLUL","0.0198","0.383","0.364","6","hsa-miR-320b","hsa-miR-4769-5p","hsa-miR-504-3p","hsa-miR-6780a-5p","hsa-miR-940","hsa-miR-495-5p","","",""
"MAGI3","0.0200","0.383","0.264","4","hsa-miR-4483","hsa-miR-6776-5p","hsa-miR-3652","hsa-miR-1227-3p","","","","",""
"MCAM","0.0200","0.383","0.196","3","hsa-miR-5698","hsa-miR-3652","hsa-miR-504-3p","","","","","",""
