Gene Symbol,gene_score
NACC1,0.09999999999999998
NFIC,0.09999999999999998
ASB6,0.09999999999999998
GK5,0.0888888888888889
ZBTB7A,0.0888888888888889
PKM,0.0888888888888889
RAB5B,0.0888888888888889
GDE1,0.0888888888888889
ZNF281,0.07777777777777772
FBXL18,0.07777777777777772
SETD1B,0.07777777777777772
KMT2D,0.07777777777777772
FOXK1,0.07777777777777772
LMNB2,0.07777777777777772
PRRC2B,0.06666666666666665
SSBP2,0.06666666666666665
RAB15,0.06666666666666665
SELENON,0.06666666666666665
SLC1A5,0.06666666666666665
MAPK1,0.06666666666666665
TMED10,0.06666666666666665
MLLT1,0.06666666666666665
YIPF4,0.06666666666666665
CHAC1,0.06666666666666665
PABPN1,0.06666666666666665
PHLDA3,0.06666666666666665
HS3ST1,0.06666666666666665
GLUL,0.06666666666666665
SKI,0.06666666666666665
APOL6,0.06666666666666665
CDKN1A,0.06666666666666665
MPLKIP,0.06666666666666665
SETD5,0.06666666666666665
NAA50,0.06666666666666665
FADS6,0.06666666666666665
HDGF,0.06666666666666665
CCND1,0.06666666666666665
SLC7A5,0.06666666666666665
XKR4,0.06666666666666665
DSN1,0.06666666666666665
HSPA4L,0.06666666666666665
SCAMP4,0.06666666666666665
KLHL15,0.06666666666666665
MDK,0.06666666666666665
SLC10A3,0.06666666666666665
MPRIP,0.06666666666666665
TCF23,0.06666666666666665
PPIA,0.06666666666666665
ISPD,0.06666666666666665
ESF1,0.06666666666666665
ZNF394,0.05555555555555558
JPH2,0.05555555555555558
RPH3AL,0.05555555555555558
QSOX1,0.05555555555555558
MAX,0.05555555555555558
TNRC6A,0.05555555555555558
TMEM43,0.05555555555555558
NUDT3,0.05555555555555558
UBN2,0.05555555555555558
TMEM189-UBE2V1,0.05555555555555558
RRP36,0.05555555555555558
PFN1,0.05555555555555558
DDA1,0.05555555555555558
RAB10,0.05555555555555558
ZNF703,0.05555555555555558
PPP1R9B,0.05555555555555558
TIAL1,0.05555555555555558
SBNO1,0.05555555555555558
TFDP2,0.05555555555555558
SFT2D2,0.05555555555555558
AGAP9,0.05555555555555558
CNBP,0.05555555555555558
FBRS,0.05555555555555558
REL,0.05555555555555558
SYAP1,0.05555555555555558
MRPS23,0.05555555555555558
DBT,0.05555555555555558
SHOC2,0.05555555555555558
G3BP1,0.05555555555555558
NPR1,0.05555555555555558
SLC35C2,0.05555555555555558
DCAF7,0.05555555555555558
CASTOR2,0.05555555555555558
MEAF6,0.05555555555555558
IL2RA,0.05555555555555558
C3,0.05555555555555558
NUFIP2,0.05555555555555558
MDM4,0.05555555555555558
CAPN15,0.05555555555555558
FYTTD1,0.05555555555555558
TXLNA,0.05555555555555558
ARSK,0.05555555555555558
CRK,0.05555555555555558
AGO2,0.05555555555555558
HACD4,0.05555555555555558
KHSRP,0.05555555555555558
SZRD1,0.05555555555555558
IBA57,0.05555555555555558
ABI2,0.05555555555555558
PLEC,0.05555555555555558
KDM6B,0.05555555555555558
MKLN1,0.05555555555555558
MIDN,0.05555555555555558
MOGAT1,0.05555555555555558
NCBP3,0.05555555555555558
KMT2A,0.05555555555555558
TIMM29,0.05555555555555558
TMEM184B,0.05555555555555558
INMT,0.05555555555555558
RNF157,0.05555555555555558
LRRC3C,0.05555555555555558
BROX,0.05555555555555558
ZNF317,0.05555555555555558
TAOK1,0.05555555555555558
DNAJC8,0.05555555555555558
DDX39B,0.05555555555555558
TLN1,0.05555555555555558
SLC35E2B,0.05555555555555558
CYP20A1,0.05555555555555558
PGPEP1,0.05555555555555558
BRPF1,0.05555555555555558
YWHAZ,0.05555555555555558
TXNIP,0.05555555555555558
TPM3,0.05555555555555558
CRKL,0.05555555555555558
CSTF2,0.05555555555555558
ZSCAN29,0.05555555555555558
XIAP,0.05555555555555558
ONECUT3,0.05555555555555558
PTPN2,0.05555555555555558
ULK1,0.05555555555555558
ALDOA,0.05555555555555558
TFPI,0.05555555555555558
POMGNT1,0.05555555555555558
LCOR,0.05555555555555558
BCL2L1,0.0444444444444444
YME1L1,0.0444444444444444
DDX3X,0.0444444444444444
MINOS1,0.0444444444444444
ELN,0.0444444444444444
UGGT1,0.0444444444444444
C16orf58,0.0444444444444444
C8orf58,0.0444444444444444
DYRK2,0.0444444444444444
YOD1,0.0444444444444444
MPP2,0.0444444444444444
PTGR2,0.0444444444444444
SOCS7,0.0444444444444444
CALCOCO2,0.0444444444444444
OPTN,0.0444444444444444
DCTN5,0.0444444444444444
ERC1,0.0444444444444444
FOLR1,0.0444444444444444
KAT7,0.0444444444444444
PNPLA6,0.0444444444444444
MEX3A,0.0444444444444444
ATP1B4,0.0444444444444444
RPS6KA4,0.0444444444444444
EMC3,0.0444444444444444
AK3,0.0444444444444444
RNF11,0.0444444444444444
TRAPPC2,0.0444444444444444
FEM1A,0.0444444444444444
PLEKHM3,0.0444444444444444
PRRT2,0.0444444444444444
SF3B3,0.0444444444444444
DNAJC10,0.0444444444444444
HSP90AB1,0.0444444444444444
OSBPL10,0.0444444444444444
PSMB5,0.0444444444444444
HEYL,0.0444444444444444
TFAP4,0.0444444444444444
RAB5C,0.0444444444444444
SLC25A33,0.0444444444444444
NFE2L1,0.0444444444444444
TEX261,0.0444444444444444
PIGO,0.0444444444444444
PLEKHM1,0.0444444444444444
GATAD2A,0.0444444444444444
ZNF749,0.0444444444444444
FOSL1,0.0444444444444444
TERF2,0.0444444444444444
UBTF,0.0444444444444444
LYRM4,0.0444444444444444
RNF19B,0.0444444444444444
NUCB1,0.0444444444444444
RAP2B,0.0444444444444444
