Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
ZBTB49,0.011111111111111072,0.189,0.67,0.208,1,hsa-miR-5100,,,,,,,,
VPREB1,0.011111111111111072,0.189,0.67,0.208,1,hsa-miR-3181,,,,,,,,
TXNRD2,0.011111111111111072,0.189,0.67,0.208,1,hsa-miR-17-3p,,,,,,,,
SLC27A2,0.011111111111111072,0.175,0.67,0.19,1,hsa-miR-4685-3p,,,,,,,,
POU5F1,0.011111111111111072,0.189,0.67,0.208,1,hsa-miR-1470,,,,,,,,
PQLC2,0.011111111111111072,0.189,0.67,0.208,1,hsa-miR-1227-3p,,,,,,,,
PTK2B,0.011111111111111072,0.175,0.67,0.19,1,hsa-miR-940,,,,,,,,
RPL36A,0.011111111111111072,0.175,0.67,0.19,1,hsa-miR-17-3p,,,,,,,,
SHROOM2,0.011111111111111072,0.189,0.67,0.208,1,hsa-miR-940,,,,,,,,
SLC13A4,0.011111111111111072,0.175,0.67,0.19,1,hsa-miR-17-3p,,,,,,,,
SLC9A6,0.011111111111111072,0.189,0.67,0.208,1,hsa-miR-31-3p,,,,,,,,
TSPAN13,0.011111111111111072,0.175,0.67,0.19,1,hsa-miR-944,,,,,,,,
SNX3,0.011111111111111072,0.189,0.67,0.208,1,hsa-miR-3652,,,,,,,,
SPNS3,0.011111111111111072,0.189,0.67,0.208,1,hsa-miR-1202,,,,,,,,
SRI,0.011111111111111072,0.175,0.67,0.19,1,hsa-miR-1185-2-3p,,,,,,,,
SRP54,0.011111111111111072,0.175,0.67,0.19,1,hsa-miR-6076,,,,,,,,
SRP68,0.011111111111111072,0.175,0.67,0.19,1,hsa-miR-320b,,,,,,,,
TCHHL1,0.011111111111111072,0.175,0.67,0.19,1,hsa-miR-4769-5p,,,,,,,,
NAP1L4,0.011111111111111072,0.308,0.7,0.364,1,hsa-miR-3652,,,,,,,,
NASP,0.011111111111111072,0.366,0.7,0.45,1,hsa-miR-504-3p,,,,,,,,
NCKAP5L,0.011111111111111072,0.32,0.7,0.381,1,hsa-miR-185-3p,,,,,,,,
BRD2,0.011111111111111072,0.45,0.707,0.589,1,hsa-miR-940,,,,,,,,
WNT16,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-4472,,,,,,,,
XPC,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-3652,,,,,,,,
XRRA1,0.011111111111111072,0.399,0.704,0.502,1,hsa-miR-4313,,,,,,,,
ZBTB21,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-4685-3p,,,,,,,,
ZDHHC22,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-4685-3p,,,,,,,,
ZNF136,0.011111111111111072,0.399,0.704,0.502,1,hsa-miR-1185-2-3p,,,,,,,,
ZNF141,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-940,,,,,,,,
ZNF157,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-6776-5p,,,,,,,,
ZNF250,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-6780a-5p,,,,,,,,
ZNF256,0.011111111111111072,0.44,0.704,0.571,1,hsa-miR-1185-2-3p,,,,,,,,
ZNF436,0.011111111111111072,0.41,0.704,0.519,1,hsa-miR-7110-5p,,,,,,,,
ZNF585A,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-1185-2-3p,,,,,,,,
ZNF622,0.011111111111111072,0.42,0.704,0.537,1,hsa-miR-646,,,,,,,,
ZNF891,0.011111111111111072,0.43,0.704,0.554,1,hsa-miR-940,,,,,,,,
