Gene Symbol,gene_score,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9
NACC1,0.09999999999999998,0.0398,0.47,0.523,9,hsa-miR-4472,hsa-miR-6743-3p,hsa-miR-5698,hsa-miR-17-3p,hsa-miR-185-3p,hsa-miR-6780a-5p,hsa-miR-6877-5p,hsa-miR-7110-5p,hsa-miR-940
NFIC,0.09999999999999998,0.0351,0.445,0.512,9,hsa-miR-4483,hsa-miR-6877-5p,hsa-miR-185-3p,hsa-miR-3181,hsa-miR-3652,hsa-miR-4313,hsa-miR-4443,hsa-miR-7110-5p,hsa-miR-940
ASB6,0.09999999999999998,3.61e-05,0.121,0.192,9,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-940,hsa-miR-941,hsa-miR-320d,hsa-miR-320b,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-4769-5p
GK5,0.0888888888888889,0.00274,0.231,0.312,8,hsa-miR-5572,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-6076,hsa-miR-4685-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,
ZBTB7A,0.0888888888888889,0.00417,0.231,0.333,8,hsa-miR-1185-2-3p,hsa-miR-5698,hsa-miR-1470,hsa-miR-4443,hsa-miR-185-3p,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-940,
PKM,0.0888888888888889,0.00527,0.252,0.346,8,hsa-miR-6730-5p,hsa-miR-4472,hsa-miR-5698,hsa-miR-504-3p,hsa-miR-17-3p,hsa-miR-185-3p,hsa-miR-3652,hsa-miR-7110-5p,
RAB5B,0.0888888888888889,0.0113,0.333,0.394,8,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-3652,hsa-miR-4685-3p,hsa-miR-4443,hsa-miR-4483,hsa-miR-6776-5p,hsa-miR-6780a-5p,
GDE1,0.0888888888888889,0.0415,0.471,0.5,8,hsa-miR-940,hsa-miR-4685-3p,hsa-miR-3652,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-504-3p,hsa-miR-5572,hsa-miR-6819-5p,
ZNF281,0.07777777777777772,0.00048,0.157,0.208,7,hsa-miR-6730-5p,hsa-miR-495-5p,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5572,,
FBXL18,0.07777777777777772,0.00589,0.258,0.319,7,hsa-miR-6780a-5p,hsa-miR-1470,hsa-miR-342-5p,hsa-miR-4313,hsa-miR-4472,hsa-miR-646,hsa-miR-6819-5p,,
SETD1B,0.07777777777777772,0.00953,0.301,0.349,7,hsa-miR-6819-5p,hsa-miR-6793-5p,hsa-miR-4472,hsa-miR-342-5p,hsa-miR-7110-5p,hsa-miR-646,hsa-miR-17-3p,,
KMT2D,0.07777777777777772,0.0234,0.393,0.416,7,hsa-miR-4472,hsa-miR-6741-5p,hsa-miR-6793-5p,hsa-miR-4685-3p,hsa-miR-646,hsa-miR-1224-5p,hsa-miR-5698,,
FOXK1,0.07777777777777772,0.155,0.66,0.641,7,hsa-miR-944,hsa-miR-646,hsa-miR-17-3p,hsa-miR-6741-5p,hsa-miR-6776-5p,hsa-miR-940,hsa-miR-6780a-5p,,
LMNB2,0.07777777777777772,0.0989,0.596,0.571,7,hsa-miR-504-3p,hsa-miR-31-3p,hsa-miR-342-5p,hsa-miR-3652,hsa-miR-4769-5p,hsa-miR-6819-5p,hsa-miR-7110-5p,,
PRRC2B,0.06666666666666665,0.0335,0.443,0.41,6,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-4472,hsa-miR-342-5p,hsa-miR-5698,hsa-miR-185-3p,,,
SSBP2,0.06666666666666665,0.0191,0.382,0.361,6,hsa-miR-6076,hsa-miR-940,hsa-miR-6780a-5p,hsa-miR-4443,hsa-miR-1227-3p,hsa-miR-6776-5p,,,
RAB15,0.06666666666666665,0.00471,0.231,0.268,6,hsa-miR-4472,hsa-miR-7110-5p,hsa-miR-5698,hsa-miR-6730-5p,hsa-miR-6743-3p,hsa-miR-940,,,
SELENON,0.06666666666666665,0.00471,0.231,0.268,6,hsa-miR-646,hsa-miR-1470,hsa-miR-17-3p,hsa-miR-342-5p,hsa-miR-6819-5p,hsa-miR-940,,,
SLC1A5,0.06666666666666665,0.0764,0.579,0.502,6,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-4313,hsa-miR-6780a-5p,hsa-miR-1227-3p,,,
MAPK1,0.06666666666666665,0.0925,0.596,0.528,6,hsa-miR-185-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-4685-3p,hsa-miR-1470,,,
TMED10,0.06666666666666665,0.00851,0.299,0.303,6,hsa-miR-940,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-17-3p,hsa-miR-6780a-5p,,,
MLLT1,0.06666666666666665,0.0651,0.534,0.482,6,hsa-miR-6730-5p,hsa-miR-6780a-5p,hsa-miR-342-5p,hsa-miR-646,hsa-miR-6819-5p,hsa-miR-940,,,
YIPF4,0.06666666666666665,0.0925,0.596,0.528,6,hsa-miR-5572,hsa-miR-940,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,,,
CHAC1,0.06666666666666665,0.0147,0.37,0.341,6,hsa-miR-4472,hsa-miR-4483,hsa-miR-6776-5p,hsa-miR-940,hsa-miR-646,hsa-miR-1202,,,
PABPN1,0.06666666666666665,0.0147,0.37,0.341,6,hsa-miR-646,hsa-miR-342-5p,hsa-miR-3652,hsa-miR-4483,hsa-miR-6730-5p,hsa-miR-6819-5p,,,
PHLDA3,0.06666666666666665,0.0147,0.37,0.341,6,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-1227-3p,hsa-miR-4489,hsa-miR-4472,,,
HS3ST1,0.06666666666666665,0.0165,0.37,0.349,6,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,hsa-miR-941,hsa-miR-4313,,,
GLUL,0.06666666666666665,0.0198,0.383,0.364,6,hsa-miR-320b,hsa-miR-4769-5p,hsa-miR-504-3p,hsa-miR-6780a-5p,hsa-miR-940,hsa-miR-495-5p,,,
SKI,0.06666666666666665,0.151,0.657,0.606,6,hsa-miR-6793-5p,hsa-miR-646,hsa-miR-185-3p,hsa-miR-342-5p,hsa-miR-4489,hsa-miR-5100,,,
APOL6,0.06666666666666665,0.0205,0.386,0.366,6,hsa-miR-4313,hsa-miR-940,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-1202,,,
CDKN1A,0.06666666666666665,0.52,0.731,0.955,6,hsa-miR-7110-5p,hsa-miR-4483,hsa-miR-4769-5p,hsa-miR-5572,hsa-miR-6780a-5p,hsa-miR-6819-5p,,,
MPLKIP,0.06666666666666665,0.022,0.393,0.372,6,hsa-miR-6780a-5p,hsa-miR-940,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-1227-3p,,,
SETD5,0.06666666666666665,0.0228,0.393,0.375,6,hsa-miR-646,hsa-miR-944,hsa-miR-6793-5p,hsa-miR-4483,hsa-miR-4443,hsa-miR-5698,,,
NAA50,0.06666666666666665,0.0244,0.402,0.381,6,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-4472,hsa-miR-342-5p,hsa-miR-3652,hsa-miR-504-3p,,,
FADS6,0.06666666666666665,0.00378,0.231,0.257,6,hsa-miR-6780a-5p,hsa-miR-495-5p,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,,,
HDGF,0.06666666666666665,0.161,0.66,0.618,6,hsa-miR-6776-5p,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-4472,hsa-miR-6793-5p,,,
CCND1,0.06666666666666665,0.264,0.699,0.724,6,hsa-miR-944,hsa-miR-646,hsa-miR-342-5p,hsa-miR-4483,hsa-miR-5572,hsa-miR-6819-5p,,,
SLC7A5,0.06666666666666665,0.317,0.7,0.773,6,hsa-miR-504-3p,hsa-miR-6780a-5p,hsa-miR-185-3p,hsa-miR-4443,hsa-miR-5698,hsa-miR-6877-5p,,,
XKR4,0.06666666666666665,0.0305,0.437,0.401,6,hsa-miR-1227-3p,hsa-miR-6780a-5p,hsa-miR-4685-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,
DSN1,0.06666666666666665,0.0345,0.443,0.413,6,hsa-miR-944,hsa-miR-6741-5p,hsa-miR-4483,hsa-miR-495-5p,hsa-miR-6780a-5p,hsa-miR-940,,,
HSPA4L,0.06666666666666665,0.0325,0.443,0.407,6,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-320d,hsa-miR-320b,hsa-miR-6805-3p,,,
SCAMP4,0.06666666666666665,0.0244,0.402,0.381,6,hsa-miR-6780a-5p,hsa-miR-646,hsa-miR-342-5p,hsa-miR-3652,hsa-miR-6819-5p,hsa-miR-7110-5p,,,
KLHL15,0.06666666666666665,0.381,0.703,0.831,6,hsa-miR-1185-2-3p,hsa-miR-1202,hsa-miR-320b,hsa-miR-320d,hsa-miR-1224-5p,hsa-miR-6076,,,
MDK,0.06666666666666665,0.00062,0.167,0.182,6,hsa-miR-185-3p,hsa-miR-320b,hsa-miR-320d,hsa-miR-4456,hsa-miR-4489,hsa-miR-940,,,
SLC10A3,0.06666666666666665,0.000325,0.138,0.162,6,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-1290,hsa-miR-4472,hsa-miR-504-3p,hsa-miR-6076,,,
MPRIP,0.06666666666666665,0.0022,0.224,0.231,6,hsa-miR-1290,hsa-miR-6877-5p,hsa-miR-646,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,
TCF23,0.06666666666666665,0.0022,0.224,0.231,6,hsa-miR-1227-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-940,hsa-miR-6780a-5p,,,
PPIA,0.06666666666666665,0.0022,0.224,0.231,6,hsa-miR-320b,hsa-miR-342-5p,hsa-miR-31-3p,hsa-miR-17-3p,hsa-miR-4456,hsa-miR-6819-5p,,,
ISPD,0.06666666666666665,0.00157,0.2,0.216,6,hsa-miR-6780a-5p,hsa-miR-940,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,hsa-miR-6805-3p,,,
ESF1,0.06666666666666665,0.000294,0.138,0.159,6,hsa-miR-4443,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-495-5p,hsa-miR-6780a-5p,,,
ZNF394,0.05555555555555558,0.0572,0.514,0.422,5,hsa-miR-6780a-5p,hsa-miR-4456,hsa-miR-320b,hsa-miR-320d,hsa-miR-6776-5p,,,,
JPH2,0.05555555555555558,0.00176,0.21,0.18,5,hsa-miR-17-3p,hsa-miR-6805-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,
RPH3AL,0.05555555555555558,0.00918,0.301,0.263,5,hsa-miR-6780a-5p,hsa-miR-940,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-5100,,,,
QSOX1,0.05555555555555558,0.038,0.458,0.377,5,hsa-miR-7110-5p,hsa-miR-646,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-940,,,,
MAX,0.05555555555555558,0.000655,0.167,0.145,5,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-320d,hsa-miR-320b,hsa-miR-1185-2-3p,,,,
TNRC6A,0.05555555555555558,0.223,0.692,0.651,5,hsa-miR-6780a-5p,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-6076,hsa-miR-5100,,,,
TMEM43,0.05555555555555558,0.00176,0.21,0.18,5,hsa-miR-6776-5p,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-320b,hsa-miR-320d,,,,
NUDT3,0.05555555555555558,0.216,0.687,0.644,5,hsa-miR-4456,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,hsa-miR-6805-3p,,,,
UBN2,0.05555555555555558,0.207,0.687,0.634,5,hsa-miR-495-5p,hsa-miR-3652,hsa-miR-1290,hsa-miR-17-3p,hsa-miR-646,,,,
TMEM189-UBE2V1,0.05555555555555558,0.103,0.607,0.502,5,hsa-miR-940,hsa-miR-1224-5p,hsa-miR-4472,hsa-miR-5698,hsa-miR-4456,,,,
RRP36,0.05555555555555558,0.038,0.458,0.377,5,hsa-miR-1227-3p,hsa-miR-4769-5p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,
PFN1,0.05555555555555558,0.00775,0.282,0.253,5,hsa-miR-941,hsa-miR-342-5p,hsa-miR-320b,hsa-miR-320d,hsa-miR-4472,,,,
DDA1,0.05555555555555558,0.0182,0.378,0.312,5,hsa-miR-4472,hsa-miR-7110-5p,hsa-miR-5698,hsa-miR-6776-5p,hsa-miR-940,,,,
RAB10,0.05555555555555558,0.0343,0.443,0.367,5,hsa-miR-4769-5p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,,,,
ZNF703,0.05555555555555558,0.0463,0.493,0.398,5,hsa-miR-6877-5p,hsa-miR-6780a-5p,hsa-miR-4769-5p,hsa-miR-4483,hsa-miR-6776-5p,,,,
PPP1R9B,0.05555555555555558,0.00775,0.282,0.253,5,hsa-miR-1224-5p,hsa-miR-342-5p,hsa-miR-3652,hsa-miR-5698,hsa-miR-6819-5p,,,,
TIAL1,0.05555555555555558,0.0555,0.514,0.419,5,hsa-miR-504-3p,hsa-miR-5698,hsa-miR-3652,hsa-miR-6780a-5p,hsa-miR-940,,,,
SBNO1,0.05555555555555558,0.105,0.607,0.506,5,hsa-miR-646,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-17-3p,,,,
TFDP2,0.05555555555555558,0.0555,0.514,0.419,5,hsa-miR-940,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,hsa-miR-6805-3p,,,,
SFT2D2,0.05555555555555558,0.283,0.7,0.713,5,hsa-miR-6076,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-6780a-5p,hsa-miR-940,,,,
AGAP9,0.05555555555555558,0.0145,0.37,0.294,5,hsa-miR-940,hsa-miR-6780a-5p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,,,,
CNBP,0.05555555555555558,0.252,0.696,0.682,5,hsa-miR-5572,hsa-miR-185-3p,hsa-miR-4472,hsa-miR-7110-5p,hsa-miR-6780a-5p,,,,
FBRS,0.05555555555555558,0.0265,0.411,0.343,5,hsa-miR-1470,hsa-miR-185-3p,hsa-miR-342-5p,hsa-miR-5698,hsa-miR-6819-5p,,,,
REL,0.05555555555555558,0.122,0.628,0.53,5,hsa-miR-646,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-1470,hsa-miR-1227-3p,,,,
SYAP1,0.05555555555555558,0.0138,0.364,0.291,5,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-4313,hsa-miR-4685-3p,,,,
MRPS23,0.05555555555555558,0.0125,0.345,0.284,5,hsa-miR-1202,hsa-miR-504-3p,hsa-miR-5698,hsa-miR-6780a-5p,hsa-miR-6805-3p,,,,
DBT,0.05555555555555558,0.0125,0.345,0.284,5,hsa-miR-6805-3p,hsa-miR-7110-5p,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,,,,
SHOC2,0.05555555555555558,0.182,0.67,0.606,5,hsa-miR-1185-2-3p,hsa-miR-944,hsa-miR-4472,hsa-miR-940,hsa-miR-6776-5p,,,,
G3BP1,0.05555555555555558,0.143,0.652,0.558,5,hsa-miR-320b,hsa-miR-941,hsa-miR-6805-3p,hsa-miR-940,hsa-miR-1227-3p,,,,
NPR1,0.05555555555555558,0.0508,0.513,0.409,5,hsa-miR-944,hsa-miR-6780a-5p,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-940,,,,
SLC35C2,0.05555555555555558,0.0191,0.382,0.315,5,hsa-miR-940,hsa-miR-4472,hsa-miR-4483,hsa-miR-5698,hsa-miR-6776-5p,,,,
DCAF7,0.05555555555555558,0.179,0.67,0.603,5,hsa-miR-6805-3p,hsa-miR-5698,hsa-miR-4685-3p,hsa-miR-3652,hsa-miR-504-3p,,,,
CASTOR2,0.05555555555555558,0.151,0.657,0.568,5,hsa-miR-4443,hsa-miR-4472,hsa-miR-5698,hsa-miR-6730-5p,hsa-miR-940,,,,
MEAF6,0.05555555555555558,0.0113,0.333,0.277,5,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5572,hsa-miR-1202,,,,
IL2RA,0.05555555555555558,0.00147,0.2,0.173,5,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6805-3p,hsa-miR-4685-3p,,,,
C3,0.05555555555555558,0.0508,0.513,0.409,5,hsa-miR-1227-3p,hsa-miR-5698,hsa-miR-504-3p,hsa-miR-6780a-5p,hsa-miR-940,,,,
NUFIP2,0.05555555555555558,0.694,0.781,1.14,5,hsa-miR-342-5p,hsa-miR-5100,hsa-miR-6730-5p,hsa-miR-940,hsa-miR-646,,,,
MDM4,0.05555555555555558,0.127,0.635,0.537,5,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-1227-3p,hsa-miR-17-3p,hsa-miR-5572,,,,
CAPN15,0.05555555555555558,0.0355,0.449,0.371,5,hsa-miR-4472,hsa-miR-7110-5p,hsa-miR-4685-3p,hsa-miR-185-3p,hsa-miR-6877-5p,,,,
FYTTD1,0.05555555555555558,0.0182,0.378,0.312,5,hsa-miR-6730-5p,hsa-miR-6780a-5p,hsa-miR-940,hsa-miR-1227-3p,hsa-miR-17-3p,,,,
TXLNA,0.05555555555555558,0.0199,0.383,0.319,5,hsa-miR-320b,hsa-miR-1227-3p,hsa-miR-1224-5p,hsa-miR-4472,hsa-miR-7110-5p,,,,
ARSK,0.05555555555555558,0.0555,0.514,0.419,5,hsa-miR-6780a-5p,hsa-miR-3652,hsa-miR-940,hsa-miR-4443,hsa-miR-6776-5p,,,,
CRK,0.05555555555555558,0.162,0.66,0.582,5,hsa-miR-646,hsa-miR-31-3p,hsa-miR-320d,hsa-miR-320b,hsa-miR-5572,,,,
AGO2,0.05555555555555558,0.607,0.751,1.04,5,hsa-miR-5698,hsa-miR-6793-5p,hsa-miR-944,hsa-miR-646,hsa-miR-31-3p,,,,
HACD4,0.05555555555555558,0.0069,0.282,0.246,5,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-7110-5p,hsa-miR-4443,,,,
KHSRP,0.05555555555555558,0.219,0.69,0.648,5,hsa-miR-940,hsa-miR-5698,hsa-miR-6780a-5p,hsa-miR-6877-5p,hsa-miR-7110-5p,,,,
SZRD1,0.05555555555555558,0.0286,0.425,0.35,5,hsa-miR-646,hsa-miR-4685-3p,hsa-miR-1470,hsa-miR-4313,hsa-miR-5698,,,,
IBA57,0.05555555555555558,0.0407,0.471,0.384,5,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6780a-5p,hsa-miR-1227-3p,,,,
ABI2,0.05555555555555558,0.223,0.692,0.651,5,hsa-miR-1224-5p,hsa-miR-6780a-5p,hsa-miR-4483,hsa-miR-4769-5p,hsa-miR-3652,,,,
PLEC,0.05555555555555558,0.00442,0.231,0.222,5,hsa-miR-4472,hsa-miR-7110-5p,hsa-miR-4443,hsa-miR-4483,hsa-miR-940,,,,
KDM6B,0.05555555555555558,0.0732,0.562,0.454,5,hsa-miR-941,hsa-miR-4472,hsa-miR-3652,hsa-miR-185-3p,hsa-miR-4489,,,,
MKLN1,0.05555555555555558,0.0245,0.402,0.336,5,hsa-miR-320b,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,,,,
MIDN,0.05555555555555558,0.325,0.7,0.755,5,hsa-miR-4472,hsa-miR-6730-5p,hsa-miR-6793-5p,hsa-miR-7110-5p,hsa-miR-940,,,,
MOGAT1,0.05555555555555558,0.00309,0.231,0.204,5,hsa-miR-5698,hsa-miR-6805-3p,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-1227-3p,,,,
NCBP3,0.05555555555555558,0.0159,0.37,0.301,5,hsa-miR-6877-5p,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-4443,,,,
KMT2A,0.05555555555555558,0.0407,0.471,0.384,5,hsa-miR-320b,hsa-miR-1227-3p,hsa-miR-185-3p,hsa-miR-4483,hsa-miR-6743-3p,,,,
TIMM29,0.05555555555555558,0.0235,0.393,0.332,5,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-1227-3p,hsa-miR-6776-5p,,,,
TMEM184B,0.05555555555555558,0.0275,0.417,0.346,5,hsa-miR-1202,hsa-miR-646,hsa-miR-4472,hsa-miR-4489,hsa-miR-5698,,,,
INMT,0.05555555555555558,0.00413,0.231,0.218,5,hsa-miR-6741-5p,hsa-miR-3652,hsa-miR-6776-5p,hsa-miR-6780a-5p,hsa-miR-4483,,,,
RNF157,0.05555555555555558,0.0275,0.417,0.346,5,hsa-miR-5698,hsa-miR-940,hsa-miR-6730-5p,hsa-miR-3652,hsa-miR-504-3p,,,,
LRRC3C,0.05555555555555558,0.0275,0.417,0.346,5,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-4685-3p,hsa-miR-6780a-5p,,,,
BROX,0.05555555555555558,0.00413,0.231,0.218,5,hsa-miR-940,hsa-miR-5698,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6076,,,,
ZNF317,0.05555555555555558,0.0265,0.411,0.343,5,hsa-miR-6076,hsa-miR-6780a-5p,hsa-miR-940,hsa-miR-1224-5p,hsa-miR-6776-5p,,,,
TAOK1,0.05555555555555558,0.357,0.7,0.786,5,hsa-miR-646,hsa-miR-6741-5p,hsa-miR-4483,hsa-miR-1290,hsa-miR-5698,,,,
DNAJC8,0.05555555555555558,0.00442,0.231,0.222,5,hsa-miR-6730-5p,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-6780a-5p,hsa-miR-342-5p,,,,
DDX39B,0.05555555555555558,0.00385,0.231,0.215,5,hsa-miR-4472,hsa-miR-7110-5p,hsa-miR-6819-5p,hsa-miR-342-5p,hsa-miR-185-3p,,,,
TLN1,0.05555555555555558,0.0226,0.393,0.329,5,hsa-miR-6780a-5p,hsa-miR-940,hsa-miR-4472,hsa-miR-5698,hsa-miR-7110-5p,,,,
SLC35E2B,0.05555555555555558,0.00309,0.231,0.204,5,hsa-miR-6805-3p,hsa-miR-944,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-646,,,,
CYP20A1,0.05555555555555558,0.201,0.68,0.627,5,hsa-miR-6780a-5p,hsa-miR-940,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-495-5p,,,,
PGPEP1,0.05555555555555558,0.0894,0.596,0.481,5,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-5698,hsa-miR-940,hsa-miR-6780a-5p,,,,
BRPF1,0.05555555555555558,0.000313,0.138,0.125,5,hsa-miR-17-3p,hsa-miR-4472,hsa-miR-5698,hsa-miR-6730-5p,hsa-miR-4769-5p,,,,
YWHAZ,0.05555555555555558,0.304,0.7,0.734,5,hsa-miR-944,hsa-miR-940,hsa-miR-17-3p,hsa-miR-4769-5p,hsa-miR-6780a-5p,,,,
TXNIP,0.05555555555555558,0.36,0.7,0.79,5,hsa-miR-4443,hsa-miR-17-3p,hsa-miR-6805-3p,hsa-miR-1202,hsa-miR-31-3p,,,,
TPM3,0.05555555555555558,0.159,0.66,0.578,5,hsa-miR-4483,hsa-miR-7110-5p,hsa-miR-6730-5p,hsa-miR-6776-5p,hsa-miR-940,,,,
CRKL,0.05555555555555558,0.0694,0.541,0.447,5,hsa-miR-31-3p,hsa-miR-17-3p,hsa-miR-944,hsa-miR-6780a-5p,hsa-miR-940,,,,
CSTF2,0.05555555555555558,0.00539,0.254,0.232,5,hsa-miR-5572,hsa-miR-6819-5p,hsa-miR-4472,hsa-miR-342-5p,hsa-miR-5698,,,,
ZSCAN29,0.05555555555555558,0.00473,0.231,0.225,5,hsa-miR-4443,hsa-miR-940,hsa-miR-6780a-5p,hsa-miR-1470,hsa-miR-6776-5p,,,,
XIAP,0.05555555555555558,0.396,0.704,0.824,5,hsa-miR-940,hsa-miR-6780a-5p,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6776-5p,,,,
ONECUT3,0.05555555555555558,0.0937,0.596,0.488,5,hsa-miR-5698,hsa-miR-6780a-5p,hsa-miR-4685-3p,hsa-miR-4472,hsa-miR-6793-5p,,,,
PTPN2,0.05555555555555558,9.06e-05,0.121,0.097,5,hsa-miR-1202,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-5698,hsa-miR-6805-3p,,,,
ULK1,0.05555555555555558,0.00358,0.231,0.211,5,hsa-miR-320b,hsa-miR-320d,hsa-miR-6776-5p,hsa-miR-6741-5p,hsa-miR-4483,,,,
ALDOA,0.05555555555555558,0.229,0.692,0.658,5,hsa-miR-4443,hsa-miR-6780a-5p,hsa-miR-1227-3p,hsa-miR-1470,hsa-miR-6776-5p,,,,
TFPI,0.05555555555555558,0.00358,0.231,0.211,5,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-3652,hsa-miR-4443,hsa-miR-6776-5p,,,,
POMGNT1,0.05555555555555558,0.000108,0.121,0.1,5,hsa-miR-5572,hsa-miR-7110-5p,hsa-miR-185-3p,hsa-miR-4489,hsa-miR-1470,,,,
LCOR,0.05555555555555558,0.132,0.638,0.544,5,hsa-miR-1185-2-3p,hsa-miR-5572,hsa-miR-4685-3p,hsa-miR-1470,hsa-miR-646,,,,
BCL2L1,0.0444444444444444,0.275,0.7,0.667,4,hsa-miR-4313,hsa-miR-3652,hsa-miR-6780a-5p,hsa-miR-7110-5p,,,,,
YME1L1,0.0444444444444444,0.039,0.465,0.325,4,hsa-miR-5698,hsa-miR-504-3p,hsa-miR-3652,hsa-miR-6780a-5p,,,,,
DDX3X,0.0444444444444444,0.145,0.652,0.511,4,hsa-miR-1224-5p,hsa-miR-1227-3p,hsa-miR-646,hsa-miR-4440,,,,,
MINOS1,0.0444444444444444,0.039,0.465,0.325,4,hsa-miR-6741-5p,hsa-miR-6776-5p,hsa-miR-6780a-5p,hsa-miR-940,,,,,
ELN,0.0444444444444444,0.000457,0.157,0.0952,4,hsa-miR-6819-5p,hsa-miR-4472,hsa-miR-4483,hsa-miR-342-5p,,,,,
UGGT1,0.0444444444444444,0.139,0.651,0.502,4,hsa-miR-1227-3p,hsa-miR-940,hsa-miR-5698,hsa-miR-6780a-5p,,,,,
C16orf58,0.0444444444444444,0.142,0.652,0.506,4,hsa-miR-4472,hsa-miR-7110-5p,hsa-miR-17-3p,hsa-miR-6776-5p,,,,,
C8orf58,0.0444444444444444,0.00377,0.231,0.164,4,hsa-miR-4456,hsa-miR-5572,hsa-miR-6730-5p,hsa-miR-6819-5p,,,,,
DYRK2,0.0444444444444444,0.145,0.652,0.511,4,hsa-miR-495-5p,hsa-miR-6780a-5p,hsa-miR-4472,hsa-miR-5698,,,,,
YOD1,0.0444444444444444,0.464,0.715,0.87,4,hsa-miR-6776-5p,hsa-miR-6741-5p,hsa-miR-320d,hsa-miR-320b,,,,,
MPP2,0.0444444444444444,0.0259,0.411,0.286,4,hsa-miR-342-5p,hsa-miR-6776-5p,hsa-miR-6793-5p,hsa-miR-6819-5p,,,,,
PTGR2,0.0444444444444444,0.0259,0.411,0.286,4,hsa-miR-3652,hsa-miR-504-3p,hsa-miR-6743-3p,hsa-miR-940,,,,,
